Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
EGtW,286.0,aberration,generic,N,13.0,5,10000.0,153.0,17.0,222.0,21.0,8.0,8.0,55.0,58.5
FToD,171.0,dragon,legendary,LL,13.0,5,10000.0,172.5,16.0,292.5,18.0,9.0,9.0,102.166664,102.166664
VGtM,138.0,fiend,generic,N,13.0,5,10000.0,178.5,16.0,222.5,16.0,10.0,10.0,95.333336,95.333336
MToF,182.0,humanoid,generic,N,13.0,5,10000.0,162.5,15.0,162.5,15.0,7.0,7.0,102.0,102.0
VRGtR,237.0,monstrosity,legendary,L,13.0,5,10000.0,170.0,16.0,260.0,18.0,9.0,13.0,75.0,75.0
MM,62.0,fiend,generic,N,13.0,5,10000.0,184.0,18.0,230.0,22.0,10.0,10.0,62.0,62.0
MToF,167.0,fiend,generic,N,13.0,5,10000.0,112.5,20.0,265.0,24.0,10.0,10.0,54.0,54.0
VGtM,181.0,aberration,generic,N,13.0,5,10000.0,325.5,16.0,325.5,20.0,13.0,13.0,69.333336,69.333336
PotA,113.0,monstrosity,generic,N,13.0,5,10000.0,181.5,18.0,181.5,18.0,14.0,14.0,97.0,97.0
MM,257.0,fiend,generic,N,13.0,5,10000.0,110.5,16.0,165.0,18.0,7.0,7.0,18.0,18.0
HotDQ,89.0,humanoid,unique,N,5.0,3,1800.0,93.5,19.0,113.0,19.0,7.0,7.0,21.333334,21.333334
MM,85.0,dragon,generic,N,13.0,5,10000.0,178.5,18.0,178.5,21.0,10.0,11.0,68.0,68.0
GGtR,220.0,monstrosity,generic,N,13.0,5,10000.0,216.0,18.0,216.0,18.0,11.0,11.0,74.0,74.0
MToF,236.0,aberration,generic,N,13.0,5,10000.0,153.0,17.0,266.3,19.0,11.0,11.0,73.666664,73.666664
MM,156.0,giant,generic,N,13.0,5,10000.0,230.0,16.0,230.0,18.0,14.0,14.0,76.0,76.0
MToF,231.0,monstrosity,generic,N,13.0,5,10000.0,255.0,18.0,318.8,18.0,8.0,11.0,51.0,51.0
FToD,221.0,dragon,legendary,L,13.0,5,10000.0,210.0,18.0,315.0,20.0,9.0,9.0,75.0,75.0
MToF,243.0,giant,generic,N,13.0,5,10000.0,172.5,15.0,252.5,15.0,11.0,11.0,82.0,82.0
MM,314.0,fiend,generic,N,13.0,5,10000.0,153.0,19.0,191.3,21.0,8.0,8.0,53.0,53.0
MM,297.0,undead,legendary,L,13.0,5,10000.0,144.5,16.0,367.5,18.0,9.0,9.0,50.0,50.0
MToF,139.0,fiend,generic,N,13.0,5,10000.0,157.5,18.0,196.3,20.0,9.0,9.0,102.0,102.0
MM,101.0,dragon,legendary,L,13.0,5,10000.0,200.0,18.0,290.0,20.0,11.0,11.0,112.333336,112.333336
EGtW,283.0,monstrosity,generic,N,12.0,4,8400.0,180.5,17.0,240.5,22.0,8.0,8.0,72.0,72.0
IDRotF,281.0,construct,unique,N,11.0,4,7200.0,147.0,17.0,220.5,21.0,11.0,11.0,51.333332,51.333332
GGtR,190.0,celestial,generic,N,12.0,4,8400.0,135.0,18.0,195.0,22.0,10.0,10.0,69.333336,69.333336
SKT,140.0,giant,unique,N,5.0,3,1800.0,105.0,9.0,160.0,9.0,8.0,8.0,36.0,36.0
SKT,173.0,monstrosity,unique,N,4.0,2,1100.0,60.0,11.0,70.0,11.0,6.0,6.0,50.0,50.0
MM,313.0,fiend,generic,N,12.0,4,8400.0,104.0,17.0,130.0,21.0,9.0,9.0,115.666664,115.666664
VGtM,210.0,humanoid,generic,N,12.0,4,8400.0,132.0,16.0,132.0,16.0,9.0,9.0,115.5,115.5
MM,342.0,humanoid,generic,N,12.0,4,8400.0,99.0,15.0,123.8,22.0,9.0,9.0,122.5,122.5
MOoT,212.0,celestial,legendary,L,12.0,4,8400.0,144.5,18.0,174.5,22.0,9.0,9.0,118.666664,118.666664
GGtR,193.0,elemental,generic,N,12.0,4,8400.0,142.5,16.0,178.1,16.0,10.0,10.0,105.0,105.0
MToF,121.0,undead,generic,N,12.0,4,8400.0,127.5,16.0,127.5,18.0,8.0,8.0,80.0,80.0
FToD,171.0,dragon,legendary,L,12.0,4,8400.0,172.5,16.0,277.5,18.0,9.0,9.0,84.833336,84.833336
SKT,96.0,dragon,unique,LL,23.0,7,50000.0,385.0,21.0,490.0,23.0,15.0,15.0,175.0,175.0
FToD,174.0,dragon,legendary,LL,12.0,4,8400.0,147.0,17.0,267.0,21.0,9.0,9.0,110.833336,110.833336
MToF,188.0,humanoid,generic,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,8.0,8.0,144.0,144.0
MToF,193.0,undead,generic,N,12.0,4,8400.0,63.0,9.0,237.0,19.0,8.0,8.0,86.0,86.0
MM,73.0,fiend,generic,N,12.0,4,8400.0,153.0,18.0,191.3,23.0,8.0,8.0,66.0,66.0
VGtM,148.0,giant,generic,N,12.0,4,8400.0,189.0,15.0,273.8,17.0,11.0,11.0,60.0,60.0
MToF,205.0,humanoid,generic,N,12.0,4,8400.0,180.0,18.0,180.0,21.0,8.0,8.0,84.0,84.0
MToF,209.0,monstrosity,generic,N,12.0,4,8400.0,189.0,19.0,189.0,19.0,8.0,8.0,77.0,77.0
MOoT,231.0,monstrosity,generic,N,12.0,4,8400.0,181.5,17.0,181.5,17.0,10.0,10.0,103.0,103.0
MOoT,218.0,construct,unique,N,23.0,7,50000.0,350.0,21.0,437.5,21.0,16.0,16.0,131.33333,131.33333
VGtM,163.0,celestial,legendary,L,12.0,4,8400.0,152.0,20.0,242.0,22.0,9.0,9.0,88.0,88.0
MToF,251.0,fiend,generic,N,12.0,4,8400.0,126.0,17.0,157.5,19.0,8.0,8.0,76.666664,76.666664
VRGtR,243.0,fiend,legendary,L,12.0,4,8400.0,161.0,17.0,311.0,19.0,10.0,10.0,61.0,61.0
EGtW,299.0,fey,legendary,L,12.0,4,8400.0,105.0,14.0,400.5,16.0,8.0,8.0,26.0,49.333332
GGtR,197.0,fiend,generic,N,12.0,4,8400.0,157.5,17.0,196.9,21.0,10.0,10.0,60.0,60.0
VGtM,220.0,humanoid,legendary,L,12.0,4,8400.0,229.5,18.0,239.0,22.0,9.0,9.0,60.0,60.0
VGtM,202.0,monstrosity,generic,N,12.0,4,8400.0,189.0,16.0,236.3,18.0,10.0,10.0,90.0,90.0
MToF,130.0,fiend,generic,N,11.0,4,7200.0,157.5,17.0,245.3,19.0,8.0,8.0,54.0,54.0
MToF,118.0,aberration,legendary,L,11.0,4,7200.0,114.0,17.0,174.0,17.0,7.0,7.0,120.0,120.0
MM,25.0,monstrosity,generic,N,11.0,4,7200.0,168.0,17.0,168.0,17.0,10.0,10.0,81.666664,81.666664
VGtM,146.0,giant,generic,N,11.0,4,7200.0,262.5,15.0,262.5,17.0,12.0,12.0,51.333332,51.333332
FToD,174.0,dragon,legendary,L,11.0,4,7200.0,147.0,17.0,237.0,21.0,9.0,9.0,92.166664,92.166664
MM,74.0,fiend,generic,N,11.0,4,7200.0,178.5,18.0,222.5,22.0,10.0,10.0,53.333332,53.333332
MOoT,224.0,giant,generic,N,11.0,4,7200.0,162.5,15.0,162.5,17.0,11.0,11.0,74.0,74.0
FToD,176.0,monstrosity,generic,N,11.0,4,7200.0,218.5,17.0,218.5,19.0,9.0,9.0,61.5,61.5
CM,123.0,monstrosity,unique,N,8.0,3,3900.0,90.0,14.0,120.0,16.0,7.0,7.0,64.0,64.0
FToD,183.0,construct,generic,N,11.0,4,7200.0,161.5,17.0,201.9,20.0,9.0,10.0,54.666668,54.666668
MToF,187.0,humanoid,generic,N,11.0,4,7200.0,150.0,17.0,150.0,19.0,9.0,10.0,73.0,73.0
SKT,198.0,giant,unique,N,10.0,4,5900.0,200.0,14.0,200.0,16.0,12.0,12.0,42.0,42.0
MM,143.0,elemental,generic,N,11.0,4,7200.0,187.5,18.0,187.5,20.0,10.0,10.0,40.0,40.0
SKT,192.0,giant,unique,N,11.0,4,7200.0,200.0,14.0,200.0,21.0,12.0,12.0,76.0,76.0
MM,144.0,elemental,generic,N,11.0,4,7200.0,161.0,17.0,161.0,19.0,9.0,9.0,45.0,45.0
MM,145.0,elemental,generic,N,11.0,4,7200.0,200.0,17.0,200.0,21.0,10.0,10.0,40.0,40.0
MM,146.0,elemental,generic,N,11.0,4,7200.0,229.5,17.0,286.3,21.0,10.0,10.0,42.0,42.0
VGtM,178.0,aberration,generic,N,11.0,4,7200.0,130.0,17.0,130.0,19.0,9.0,9.0,91.666664,91.666664
MOoT,221.0,fiend,generic,N,11.0,4,7200.0,133.0,18.0,226.3,20.0,8.0,8.0,79.0,79.0
ERftLW,308.0,celestial,generic,N,11.0,4,7200.0,142.5,18.0,177.5,20.0,10.0,10.0,61.333332,61.333332
MM,258.0,monstrosity,generic,N,11.0,4,7200.0,195.5,17.0,195.5,17.0,11.0,11.0,84.0,84.0
MM,260.0,monstrosity,generic,N,11.0,4,7200.0,248.0,15.0,248.0,17.0,13.0,13.0,50.0,50.0
PotA,143.0,monstrosity,generic,N,11.0,4,7200.0,93.5,20.0,213.5,20.0,7.0,7.0,54.0,54.0
BGDiA,230.0,fiend,unique,N,14.0,5,11500.0,297.5,15.0,371.9,17.0,14.0,14.0,44.0,44.0
MToF,226.0,humanoid,generic,N,11.0,4,7200.0,123.5,15.0,123.5,19.0,7.0,7.0,135.0,135.0
GGtR,183.0,monstrosity,legendary,L,11.0,4,7200.0,136.0,17.0,136.0,19.0,8.0,8.0,82.0,82.0
MM,282.0,monstrosity,legendary,LL,11.0,4,7200.0,136.0,17.0,170.0,22.0,8.0,8.0,65.0,65.0
MToF,232.0,monstrosity,generic,N,11.0,4,7200.0,225.0,17.0,281.3,17.0,8.0,10.0,54.666668,54.666668
MToF,244.0,giant,generic,N,11.0,4,7200.0,97.5,17.0,294.4,17.0,7.0,7.0,47.0,47.0
MToF,252.0,fiend,generic,N,11.0,4,7200.0,147.0,17.0,221.3,21.0,8.0,8.0,50.0,50.0
MM,13.0,aberration,legendary,LL,10.0,4,5900.0,135.0,17.0,135.0,19.0,9.0,9.0,98.0,98.0
EGtW,283.0,monstrosity,generic,N,10.0,4,5900.0,171.0,15.0,201.0,17.0,9.0,9.0,40.0,55.333332
VGtM,172.0,undead,generic,N,10.0,4,5900.0,120.0,15.0,240.0,24.0,8.0,8.0,72.0,72.0
MM,16.0,celestial,generic,N,10.0,4,5900.0,136.0,17.0,204.0,21.0,8.0,8.0,50.0,50.0
VGtM,124.0,aberration,generic,N,10.0,4,5900.0,161.5,16.0,249.0,16.0,8.0,8.0,58.0,58.0
FToD,192.0,dragon,generic,N,10.0,4,5900.0,178.5,19.0,178.5,21.0,9.0,9.0,52.666668,52.666668
VRGtR,233.0,undead,legendary,L,10.0,4,5900.0,135.0,16.0,175.0,16.0,8.0,8.0,102.5,102.5
MToF,195.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,213.0,21.0,7.0,7.0,25.0,25.0
WDH,199.0,humanoid,unique,N,6.0,3,2300.0,82.5,15.0,82.5,15.0,6.0,6.0,47.666668,47.666668
MToF,196.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,213.0,21.0,7.0,7.0,22.0,22.0
MToF,196.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,190.5,24.0,8.0,8.0,36.0,36.0
MToF,197.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,213.0,21.0,8.0,8.0,52.0,52.0
VGtM,145.0,monstrosity,generic,N,10.0,4,5900.0,184.0,14.0,184.0,14.0,10.0,10.0,47.666668,47.666668
EGtW,290.0,construct,generic,N,10.0,4,5900.0,161.5,18.0,242.3,18.0,9.0,9.0,38.666668,43.166668
ToA,221.0,elemental,generic,N,10.0,4,5900.0,147.0,17.0,183.8,17.0,8.0,8.0,47.0,47.0
MToF,204.0,humanoid,generic,N,10.0,4,5900.0,123.5,17.0,123.5,21.0,7.0,7.0,94.666664,94.666664
MToF,208.0,humanoid,generic,N,10.0,4,5900.0,112.5,18.0,127.0,25.0,8.0,8.0,73.666664,73.666664
MM,115.0,dragon,generic,N,10.0,4,5900.0,178.5,18.0,178.5,20.0,10.0,10.0,65.333336,65.333336
MM,234.0,monstrosity,generic,N,10.0,4,5900.0,127.5,18.0,127.5,18.0,8.0,8.0,84.0,84.0
MToF,169.0,fiend,generic,N,10.0,4,5900.0,105.0,17.0,180.0,21.0,10.0,14.0,39.0,39.0
MM,98.0,dragon,generic,N,10.0,4,5900.0,178.5,18.0,178.5,20.0,10.0,10.0,66.0,66.0
MM,278.0,aberration,generic,N,10.0,4,5900.0,170.0,18.0,250.0,20.0,9.0,9.0,54.0,54.0
MToF,234.0,aberration,generic,N,10.0,4,5900.0,136.5,16.0,271.5,16.0,9.0,9.0,38.666668,38.666668
VGtM,150.0,giant,generic,N,10.0,4,5900.0,161.0,18.0,176.0,18.0,10.0,10.0,38.0,38.0
MM,170.0,construct,generic,N,10.0,4,5900.0,178.5,17.0,223.1,19.0,10.0,10.0,39.0,39.0
IDRotF,310.0,construct,generic,N,10.0,4,5900.0,207.0,17.0,207.0,17.0,10.0,10.0,54.0,54.0
MM,65.0,fiend,generic,N,10.0,4,5900.0,136.0,15.0,170.0,19.0,6.0,6.0,52.0,52.0
MOoT,219.0,fiend,generic,N,9.0,4,5000.0,136.0,16.0,157.0,18.0,9.0,9.0,58.666668,58.666668
VGtM,209.0,humanoid,generic,N,9.0,4,5000.0,84.5,15.0,129.0,17.0,8.0,8.0,80.666664,80.666664
FToD,161.0,dragon,generic,N,9.0,4,5000.0,168.0,18.0,168.0,20.0,9.0,9.0,50.333332,50.333332
MM,91.0,dragon,generic,N,9.0,4,5000.0,152.0,18.0,152.0,20.0,9.0,9.0,66.666664,66.666664
MToF,144.0,fiend,unique,LL,26.0,8,90000.0,406.0,22.0,620.0,28.0,17.0,17.0,118.0,118.0
OotA,236.0,fiend,unique,LL,26.0,8,90000.0,493.0,22.0,732.5,28.0,17.0,17.0,172.0,172.0
VGtM,212.0,humanoid,generic,N,9.0,4,5000.0,143.0,18.0,163.0,20.0,9.0,9.0,50.0,50.0
MM,168.0,construct,generic,N,9.0,4,5000.0,133.0,14.0,270.0,17.0,8.0,8.0,32.0,32.0
MM,154.0,giant,generic,N,9.0,4,5000.0,200.0,14.0,200.0,16.0,12.0,12.0,42.0,42.0
CM,146.0,undead,generic,N,9.0,4,5000.0,104.0,15.0,134.0,17.0,12.0,12.0,45.166668,45.166668
MM,71.0,fiend,generic,N,9.0,4,5000.0,142.5,19.0,177.5,23.0,8.0,8.0,46.0,46.0
MToF,184.0,humanoid,generic,N,9.0,4,5000.0,162.5,16.0,162.5,19.0,8.0,8.0,58.0,58.0
GoS,235.0,undead,generic,N,9.0,4,5000.0,157.5,14.0,171.5,14.0,7.0,7.0,50.666668,50.666668
VGtM,214.0,humanoid,generic,N,9.0,4,5000.0,66.0,15.0,99.0,20.0,7.0,7.0,102.0,102.0
MM,154.0,giant,generic,N,9.0,4,5000.0,162.5,18.0,162.5,20.0,11.0,11.0,56.0,56.0
EGtW,288.0,undead,generic,N,9.0,4,5000.0,138.0,15.0,176.0,15.0,10.0,10.0,56.0,56.0
MM,58.0,fiend,generic,N,9.0,4,5000.0,157.5,17.0,235.5,21.0,9.0,9.0,46.0,46.0
MToF,224.0,humanoid,generic,N,9.0,4,5000.0,104.0,17.0,179.0,17.0,8.0,8.0,73.0,73.0
VGtM,153.0,humanoid,generic,N,9.0,4,5000.0,127.5,16.0,187.0,16.0,9.0,9.0,52.0,52.0
MToF,249.0,fiend,generic,N,9.0,4,5000.0,135.0,15.0,202.5,17.0,9.0,11.0,38.0,38.0
VRGtR,236.0,undead,generic,N,9.0,4,5000.0,119.0,16.0,173.0,18.0,8.0,8.0,57.0,57.0
VGtM,217.0,humanoid,generic,N,9.0,4,5000.0,66.0,15.0,121.5,15.0,7.0,7.0,50.0,50.0
MM,314.0,fiend,generic,N,9.0,4,5000.0,123.5,18.0,184.5,20.0,9.0,9.0,44.0,44.0
MOoT,239.0,undead,generic,N,9.0,4,5000.0,104.5,18.0,118.5,18.0,9.0,9.0,66.0,66.0
MToF,223.0,elemental,generic,N,9.0,4,5000.0,168.0,17.0,168.0,17.0,9.0,9.0,60.0,60.0
FToD,216.0,dragon,generic,N,9.0,4,5000.0,157.5,17.0,177.5,19.0,9.0,9.0,47.0,47.0
WDotMM,316.0,undead,generic,N,9.0,4,5000.0,78.0,14.0,117.0,18.0,8.0,12.0,36.0,36.0
MM,118.0,dragon,generic,N,9.0,4,5000.0,168.0,18.0,168.0,20.0,10.0,10.0,64.666664,64.666664
MM,277.0,aberration,generic,N,9.0,4,5000.0,127.5,18.0,235.5,20.0,7.0,7.0,46.0,46.0
MToF,232.0,monstrosity,generic,N,9.0,4,5000.0,112.5,16.0,168.0,16.0,7.0,9.0,61.0,61.0
MM,289.0,plant,generic,N,9.0,4,5000.0,138.0,16.0,207.0,16.0,10.0,10.0,44.0,44.0
MToF,244.0,giant,generic,N,9.0,4,5000.0,138.0,16.0,138.0,16.0,8.0,8.0,66.0,66.0
VGtM,175.0,aberration,generic,N,9.0,4,5000.0,127.5,15.0,127.5,19.0,9.0,9.0,58.333332,58.333332
VGtM,218.0,humanoid,generic,N,9.0,4,5000.0,117.0,18.0,117.0,18.0,7.0,7.0,69.333336,69.333336
MM,306.0,monstrosity,generic,N,9.0,4,5000.0,137.5,15.0,137.5,15.0,11.0,11.0,72.0,72.0
EGtW,284.0,monstrosity,generic,N,8.0,3,3900.0,133.0,15.0,133.0,17.0,8.0,8.0,49.0,62.5
MM,343.0,humanoid,generic,N,8.0,3,3900.0,78.0,15.0,78.0,17.0,6.0,6.0,76.0,83.166664
VGtM,211.0,humanoid,generic,N,8.0,3,3900.0,153.0,18.0,153.0,18.0,7.0,8.0,38.0,38.0
MM,108.0,dragon,generic,N,8.0,3,3900.0,142.5,18.0,142.5,22.0,8.0,8.0,63.333332,63.333332
MToF,247.0,fiend,generic,N,8.0,3,3900.0,120.0,16.0,180.0,18.0,7.0,7.0,40.0,40.0
MM,41.0,aberration,generic,N,8.0,3,3900.0,78.0,14.0,156.0,14.0,6.0,6.0,43.0,43.0
MToF,127.0,plant,generic,N,8.0,3,3900.0,127.5,12.0,160.0,13.0,5.0,5.0,69.0,69.0
GGtR,216.0,giant,generic,N,8.0,3,3900.0,115.0,14.0,115.0,16.0,10.0,10.0,69.0,69.0
ToA,218.0,humanoid,unique,N,5.0,3,1800.0,120.0,17.0,120.0,19.0,8.0,8.0,18.0,18.0
MToF,129.0,undead,generic,N,8.0,3,3900.0,110.0,16.0,165.0,16.0,6.0,6.0,32.666668,32.666668
MM,72.0,fiend,generic,N,8.0,3,3900.0,85.0,16.0,106.3,20.0,8.0,8.0,70.666664,70.666664
VGtM,213.0,humanoid,generic,N,8.0,3,3900.0,67.5,15.0,100.5,15.0,7.0,7.0,83.333336,83.333336
FToD,184.0,humanoid,generic,N,8.0,3,3900.0,93.5,18.0,113.5,21.0,7.0,9.0,73.333336,73.333336
MM,129.0,humanoid,generic,N,8.0,3,3900.0,71.5,16.0,71.5,18.0,6.0,6.0,80.666664,80.666664
FToD,197.0,dragon,generic,N,8.0,3,3900.0,142.5,17.0,142.5,20.0,8.0,8.0,45.333332,45.333332
FToD,199.0,aberration,generic,N,8.0,3,3900.0,119.0,16.0,119.0,18.0,6.0,6.0,70.333336,70.333336
BGDiA,236.0,construct,generic,N,8.0,3,3900.0,210.0,12.0,420.0,14.0,8.0,8.0,32.0,32.0
MM,136.0,giant,generic,N,8.0,3,3900.0,149.5,14.0,149.5,14.0,9.0,9.0,46.0,46.0
MM,155.0,giant,generic,N,8.0,3,3900.0,138.0,15.0,138.0,17.0,9.0,9.0,50.0,50.0
MM,160.0,humanoid,generic,N,8.0,3,3900.0,91.0,18.0,91.0,20.0,9.0,9.0,46.0,46.0
GGtR,215.0,undead,generic,N,8.0,3,3900.0,136.0,16.0,204.0,16.0,8.0,8.0,33.0,33.0
IDRotF,290.0,undead,generic,N,8.0,3,3900.0,93.5,17.0,225.8,17.0,8.0,8.0,41.0,41.0
HotDQ,90.0,humanoid,unique,N,3.0,2,700.0,52.5,16.0,52.5,21.0,5.0,5.0,23.833334,23.833334
PotA,209.0,humanoid,unique,N,7.0,3,2900.0,93.5,18.0,109.5,18.0,7.0,7.0,68.0,68.0
IDRotF,293.0,humanoid,generic,N,8.0,3,3900.0,161.5,12.0,343.0,12.0,8.0,8.0,32.0,32.0
MM,94.0,dragon,generic,N,8.0,3,3900.0,136.0,18.0,136.0,22.0,7.0,7.0,52.666668,52.666668
GGtR,201.0,giant,generic,N,8.0,3,3900.0,137.5,19.0,137.5,19.0,10.0,10.0,51.0,51.0
OotA,231.0,humanoid,unique,N,2.0,2,450.0,31.5,15.0,31.5,18.0,5.0,5.0,22.333334,22.333334
MM,60.0,fiend,generic,N,8.0,3,3900.0,136.5,16.0,170.0,21.0,7.0,7.0,37.0,37.0
FToD,204.0,monstrosity,generic,N,8.0,3,3900.0,123.5,14.0,123.5,15.0,8.0,9.0,49.333332,49.333332
EGtW,292.0,monstrosity,generic,N,8.0,3,3900.0,227.5,22.0,227.5,22.0,12.0,12.0,28.5,28.5
MToF,210.0,fiend,generic,N,8.0,3,3900.0,90.0,16.0,135.0,16.0,6.0,7.0,42.666668,42.666668
MM,190.0,monstrosity,generic,N,8.0,3,3900.0,172.5,15.0,172.5,15.0,8.0,8.0,50.0,50.0
VRGtR,248.0,humanoid,generic,N,8.0,3,3900.0,77.0,16.0,115.5,18.0,7.0,7.0,55.0,55.0
VRGtR,249.0,humanoid,generic,N,8.0,3,3900.0,91.0,16.0,121.0,18.0,7.0,7.0,55.0,55.0
VRGtR,249.0,humanoid,generic,N,8.0,3,3900.0,77.0,14.0,77.0,18.0,7.0,7.0,59.666668,64.666664
IDRotF,299.0,construct,generic,N,8.0,3,3900.0,67.5,14.0,135.0,16.0,6.0,11.0,52.0,52.0
MM,222.0,aberration,generic,N,8.0,3,3900.0,71.5,15.0,71.5,24.0,7.0,7.0,82.0,82.0
VGtM,71.0,aberration,generic,N,8.0,3,3900.0,71.5,15.0,71.5,19.0,7.0,7.0,52.666668,52.666668
FToD,213.0,dragon,generic,N,8.0,3,3900.0,144.5,18.0,144.5,20.0,7.0,7.0,54.0,54.0
MM,234.0,monstrosity,generic,N,8.0,3,3900.0,75.0,15.0,75.0,17.0,6.0,6.0,70.0,70.0
VRGtR,239.0,undead,generic,N,8.0,3,3900.0,85.5,17.0,148.5,19.0,8.0,8.0,39.5,39.5
VRGtR,242.0,fiend,legendary,L,8.0,3,3900.0,84.5,15.0,104.5,17.0,7.0,7.0,98.5,98.5
WDotMM,315.0,construct,generic,N,8.0,3,3900.0,94.5,19.0,141.0,19.0,7.0,7.0,51.0,51.0
FToD,291.0,dragon,generic,N,8.0,3,3900.0,123.5,16.0,123.5,17.0,7.0,8.0,53.666668,53.666668
VGtM,137.0,fiend,generic,N,8.0,3,3900.0,110.5,14.0,210.0,16.0,7.0,7.0,47.666668,47.666668
MM,277.0,aberration,generic,N,8.0,3,3900.0,127.5,16.0,196.3,18.0,7.0,7.0,50.0,50.0
IDRotF,309.0,beast,generic,N,8.0,3,3900.0,189.0,13.0,189.0,13.0,11.0,11.0,42.0,42.0
MToF,241.0,undead,generic,N,8.0,3,3900.0,127.5,18.0,190.5,18.0,7.0,7.0,43.666668,43.666668
MOoT,245.0,humanoid,generic,N,8.0,3,3900.0,105.0,15.0,135.0,17.0,7.0,7.0,76.0,76.0
WDotMM,154.0,giant,generic,N,8.0,3,3900.0,84.0,15.0,114.0,15.0,7.0,7.0,62.0,62.0
IDRotF,295.0,giant,generic,N,8.0,3,3900.0,115.0,16.0,145.0,16.0,7.0,7.0,66.0,66.0
MM,80.0,beast,generic,N,8.0,3,3900.0,136.5,13.0,136.5,13.0,10.0,10.0,53.0,53.0
VRGtR,250.0,monstrosity,generic,N,8.0,3,3900.0,95.0,17.0,95.0,17.0,8.0,8.0,71.0,71.0
GGtR,223.0,undead,generic,N,8.0,3,3900.0,90.0,16.0,270.0,19.0,7.0,7.0,29.0,29.0
ERftLW,315.0,construct,generic,N,8.0,3,3900.0,125.0,20.0,125.0,20.0,9.0,9.0,51.666668,51.666668
ToA,241.0,undead,generic,N,8.0,3,3900.0,136.5,11.0,150.0,11.0,10.0,10.0,53.0,53.0
BGDiA,38.0,humanoid,unique,N,4.0,2,1100.0,78.0,10.0,78.0,10.0,6.0,6.0,23.333334,23.333334
MToF,160.0,fiend,generic,N,7.0,3,2900.0,58.5,15.0,116.0,21.0,6.0,10.0,29.0,29.0
PotA,212.0,elemental,generic,N,7.0,3,2900.0,117.0,18.0,175.5,18.0,7.0,7.0,24.666666,24.666666
MM,323.0,beast,generic,N,7.0,3,2900.0,157.5,12.0,157.5,12.0,9.0,9.0,44.0,44.0
WDH,203.0,humanoid,unique,N,9.0,4,5000.0,144.5,16.0,154.0,18.0,8.0,8.0,48.0,48.0
MToF,130.0,fiend,generic,N,7.0,3,2900.0,84.0,16.0,126.0,18.0,8.0,8.0,43.333332,43.333332
MM,88.0,dragon,generic,N,7.0,3,2900.0,127.5,18.0,127.5,20.0,7.0,7.0,60.0,60.0
ERftLW,288.0,aberration,unique,LL,24.0,7,62000.0,325.5,21.0,475.0,25.0,15.0,15.0,208.33333,208.33333
IDRotF,270.0,humanoid,unique,N,4.0,2,1100.0,49.5,10.0,49.5,10.0,5.0,5.0,84.333336,84.333336
IDRotF,270.0,construct,unique,N,1.0,2,200.0,49.5,10.0,24.0,10.0,5.0,5.0,21.0,21.0
WBtW,230.0,plant,generic,N,7.0,3,2900.0,138.0,15.0,138.0,15.0,9.0,9.0,51.833332,51.833332
VRGtR,226.0,plant,generic,N,7.0,3,2900.0,92.0,16.0,140.0,18.0,7.0,9.0,33.0,33.0
MOoT,216.0,monstrosity,generic,N,7.0,3,2900.0,95.0,15.0,95.0,15.0,7.0,7.0,52.0,52.0
MM,111.0,dragon,generic,N,7.0,3,2900.0,119.0,17.0,119.0,19.0,7.0,7.0,51.333332,51.333332
MToF,248.0,fiend,generic,N,7.0,3,2900.0,119.0,15.0,238.0,17.0,6.0,6.0,30.666666,30.666666
VGtM,141.0,fiend,generic,N,7.0,3,2900.0,123.5,15.0,184.5,15.0,8.0,8.0,48.0,48.0
FToD,185.0,humanoid,generic,N,7.0,3,2900.0,85.0,18.0,105.0,22.0,8.0,8.0,56.666668,56.666668
RoT,89.0,humanoid,generic,N,7.0,3,2900.0,110.5,16.0,110.5,16.0,7.0,8.0,42.0,42.0
MM,129.0,humanoid,generic,N,7.0,3,2900.0,45.0,15.0,45.0,20.0,6.0,6.0,67.666664,67.666664
GGtR,230.0,humanoid,generic,N,7.0,3,2900.0,90.0,14.0,90.0,16.0,8.0,8.0,57.0,57.0
PotA,212.0,elemental,generic,N,7.0,3,2900.0,127.5,18.0,191.3,18.0,7.0,7.0,23.666666,23.666666
PotA,213.0,elemental,generic,N,7.0,3,2900.0,123.5,18.0,185.3,18.0,7.0,7.0,26.0,26.0
GGtR,231.0,humanoid,generic,N,7.0,3,2900.0,117.0,18.0,117.0,18.0,6.0,6.0,48.0,48.0
GGtR,208.0,elemental,generic,N,7.0,3,2900.0,60.0,16.0,120.0,16.0,7.0,7.0,46.0,46.0
TftYP,236.0,undead,generic,N,7.0,3,2900.0,115.0,17.0,115.0,20.0,8.0,8.0,45.0,45.0
MM,173.0,monstrosity,generic,N,7.0,3,2900.0,75.0,18.0,112.5,18.0,7.0,7.0,46.0,46.0
VGtM,160.0,fey,generic,N,7.0,3,2900.0,91.0,17.0,91.0,17.0,6.0,6.0,72.0,72.0
