,monster,id,CR,feature,mean,variance,standard deviation,sigma/mean
359,Kobold,16939-kobold,0.125,Sling,4.5,1.25,1.118034,0.248452
360,Winged Kobold,17210-winged-kobold,0.25,Dagger,5.5,1.25,1.118034,0.20327891
361,Winged Kobold,17210-winged-kobold,0.25,Dropped Rock,6.5,2.9166667,1.7078252,0.26274234
362,Kuo-toa,17166-kuo-toa,0.25,Bite,3.5,1.25,1.118034,0.31943828
363,Kuo-toa,17166-kuo-toa,0.25,Spear,5.5,5.25,2.291288,0.41659778
364,Lizardfolk,16946-lizardfolk,0.5,Bite,5.5,2.9166667,1.7078252,0.31051365
365,Lizardfolk,16946-lizardfolk,0.5,Heavy Club,5.5,2.9166667,1.7078252,0.31051365
366,Lizardfolk,16946-lizardfolk,0.5,Javelin,5.5,2.9166667,1.7078252,0.31051365
367,Lizardfolk,16946-lizardfolk,0.5,Spiked Shield,5.5,2.9166667,1.7078252,0.31051365
368,Lizard King/Queen,17172-lizard-king-queen,4.0,Bite,6.5,2.9166667,1.7078252,0.26274234
369,Lizard King/Queen,17172-lizard-king-queen,4.0,Claws,5.5,1.25,1.118034,0.20327891
370,Lizard King/Queen,17172-lizard-king-queen,4.0,Trident,7.5,5.25,2.291288,0.30550504
372,Werebear,17053-werebear,5.0,Bite,15.0,16.5,4.0620193,0.27080128
373,Werebear,17053-werebear,5.0,Claw,13.0,10.5,3.2403703,0.24925926
374,Werebear,17053-werebear,5.0,Greataxe,10.5,11.916667,3.4520526,0.3287669
375,Wereboar,17054-wereboar,4.0,Maul,10.0,5.8333335,2.4152296,0.24152295
376,Wereboar,17054-wereboar,4.0,Tusks,10.0,5.8333335,2.4152296,0.24152295
377,Wererat,17055-wererat,2.0,Bite,4.5,1.25,1.118034,0.248452
378,Wererat,17055-wererat,2.0,Shortsword,5.5,2.9166667,1.7078252,0.31051365
379,Wererat,17055-wererat,2.0,Hand Crossbow,5.5,2.9166667,1.7078252,0.31051365
380,Weretiger,17056-weretiger,4.0,Bite,8.5,8.25,2.8722813,0.33791545
381,Weretiger,17056-weretiger,4.0,Claw,7.5,5.25,2.291288,0.30550504
382,Weretiger,17056-weretiger,4.0,Scimitar,6.5,2.9166667,1.7078252,0.26274234
383,Weretiger,17056-weretiger,4.0,Longbow,6.5,5.25,2.291288,0.35250583
384,Werewolf,17057-werewolf,3.0,Bite,6.5,5.25,2.291288,0.35250583
385,Werewolf,17057-werewolf,3.0,Claws,7.0,2.5,1.5811388,0.22587697
386,Werewolf,17057-werewolf,3.0,Spear,6.5,5.25,2.291288,0.35250583
388,Magmin,16949-magmin,0.5,Touch,10.5,8.75,2.95804,0.28171808
389,Manticore,16951-manticore,3.0,Bite,7.5,5.25,2.291288,0.30550504
390,Manticore,16951-manticore,3.0,Claw,6.5,2.9166667,1.7078252,0.26274234
391,Manticore,16951-manticore,3.0,Tail Spike,7.5,5.25,2.291288,0.30550504
393,Medusa,16954-medusa,6.0,Snake Hair,18.5,12.916667,3.5939765,0.194269
394,Medusa,16954-medusa,6.0,Shortsword,5.5,2.9166667,1.7078252,0.31051365
395,Medusa,16954-medusa,6.0,Longbow,13.5,11.083333,3.329164,0.24660474
396,Mud Mephit,17173-mud-mephit,0.25,Fists,4.5,2.9166667,1.7078252,0.3795167
397,Merfolk,16955-merfolk,0.125,Spear,4.5,5.25,2.291288,0.50917506
398,Merrow,16956-merrow,2.0,Bite,8.5,5.25,2.291288,0.2695633
399,Merrow,16956-merrow,2.0,Claws,9.0,2.5,1.5811388,0.1756821
400,Merrow,16956-merrow,2.0,Harpoon,11.0,5.8333335,2.4152296,0.21956632
402,Mimic,16957-mimic,2.0,Pseudopod,7.5,5.25,2.291288,0.30550504
403,Mimic,16957-mimic,2.0,Bite,12.0,10.5,3.2403703,0.27003086
404,Minotaur,16958-minotaur,3.0,Greataxe,17.0,23.833334,4.8819394,0.2871729
405,Minotaur,16958-minotaur,3.0,Gore,13.0,10.5,3.2403703,0.24925926
406,Monodrone,17176-monodrone,0.125,Dagger,3.5,1.25,1.118034,0.31943828
407,Monodrone,17176-monodrone,0.125,Javelin,3.5,2.9166667,1.7078252,0.48795003
408,Duodrone,17180-duodrone,0.25,Fist,2.5,1.25,1.118034,0.4472136
409,Duodrone,17180-duodrone,0.25,Javelin,4.5,2.9166667,1.7078252,0.3795167
411,Tridrone,17177-tridrone,0.5,Fist,3.5,1.25,1.118034,0.31943828
412,Tridrone,17177-tridrone,0.5,Javelin,4.5,2.9166667,1.7078252,0.3795167
414,Quadrone,17178-quadrone,1.0,Fist,3.5,1.25,1.118034,0.31943828
415,Quadrone,17178-quadrone,1.0,Shortbow,5.5,2.9166667,1.7078252,0.31051365
417,Pentadrone,17179-pentadrone,2.0,Arm,5.5,2.9166667,1.7078252,0.31051365
419,Mummy,16961-mummy,3.0,Rotting Fist,20.5,14.583333,3.818813,0.18628356
420,Myconid Sprout,17181-myconid-sprout,0.0,Fist,4.0,2.5,1.5811388,0.3952847
421,Myconid Adult,17183-myconid-adult,0.5,Fist,10.0,5.0,2.236068,0.2236068
422,Myconid Sovereign,17184-myconid-sovereign,2.0,Fist,16.0,7.5,2.738613,0.1711633
423,Quaggoth Spore Servant,17182-quaggoth-spore-servant,1.0,Claw,6.5,2.9166667,1.7078252,0.26274234
425,Nightmare,16964-nightmare,3.0,Hooves,20.0,16.333334,4.041452,0.20207259
426,Nothic,17092-nothic,2.0,Claw,6.5,2.9166667,1.7078252,0.26274234
428,Ogre,16969-ogre,2.0,Greatclub,13.0,10.5,3.2403703,0.24925926
429,Ogre,16969-ogre,2.0,Javelin,11.0,5.8333335,2.4152296,0.21956632
430,Half-Ogre,17185-half-ogre,1.0,Battleaxe,14.0,16.5,4.0620193,0.29014423
431,Half-Ogre,17185-half-ogre,1.0,Javelin,10.0,5.8333335,2.4152296,0.24152295
432,Black Pudding,16808-black-pudding,4.0,Pseudopod,24.5,23.916666,4.8904667,0.19961089
433,Gelatinous Cube,16869-gelatinous-cube,2.0,Pseudopod,10.5,8.75,2.95804,0.28171808
434,Gray Ooze,16909-gray-ooze,0.5,Pseudopod,11.5,8.75,2.95804,0.25722086
435,Ochre Jelly,16967-ochre-jelly,2.0,Pseudopod,12.5,8.75,2.95804,0.2366432
436,Orc,16972-orc,0.5,Greataxe,9.5,11.916667,3.4520526,0.36337397
437,Orc,16972-orc,0.5,Javelin,6.5,2.9166667,1.7078252,0.26274234
438,Orog,17189-orog,2.0,Greataxe,10.5,11.916667,3.4520526,0.3287669
439,Orog,17189-orog,2.0,Javelin,7.5,2.9166667,1.7078252,0.22771002
441,Otyugh,16973-otyugh,5.0,Bite,12.0,10.5,3.2403703,0.27003086
442,Otyugh,16973-otyugh,5.0,Tentacle,12.0,10.5,3.2403703,0.27003086
443,Otyugh,16973-otyugh,5.0,Tentacle Slam,10.0,5.8333335,2.4152296,0.24152295
445,Owlbear,16975-owlbear,3.0,Beak,10.5,8.25,2.8722813,0.2735506
446,Owlbear,16975-owlbear,3.0,Claws,14.0,10.5,3.2403703,0.23145503
448,Pegasus,16977-pegasus,2.0,Hooves,11.0,5.8333335,2.4152296,0.21956632
449,Peryton,17190-peryton,2.0,Gore,7.5,5.25,2.291288,0.30550504
450,Peryton,17190-peryton,2.0,Talons,8.0,2.5,1.5811388,0.19764236
452,Purple Worm,16987-purple-worm,15.0,Bite,43.5,33.25,5.766281,0.1325582
453,Purple Worm,16987-purple-worm,15.0,Tail Stinger,61.5,43.75,6.6143785,0.10755087
455,Quaggoth,17193-quaggoth,2.0,Claw,6.5,2.9166667,1.7078252,0.26274234
457,Remorhaz,16995-remorhaz,11.0,Bite,50.5,58.25,7.632169,0.15113206
458,Remorhaz,16995-remorhaz,11.0,Swallow,21.0,17.5,4.1833,0.19920477
459,Young Remorhaz,17195-young-remorhaz,5.0,Bite,27.5,30.583334,5.53022,0.2010989
460,Revenant,17196-revenant,5.0,Fist,25.0,17.5,4.1833,0.16733201
462,Roc,16998-roc,11.0,Beak,27.0,21.0,4.582576,0.16972503
463,Roc,16998-roc,11.0,Talons,23.0,11.666667,3.4156504,0.14850654
465,Roper,16999-roper,5.0,Bite,22.0,21.0,4.582576,0.20829889
466,Rust Monster,17001-rust-monster,0.5,Bite,5.5,5.25,2.291288,0.41659778
467,Sahuagin,17003-sahuagin,0.5,Bite,3.5,1.25,1.118034,0.31943828
468,Sahuagin,17003-sahuagin,0.5,Claws,3.5,1.25,1.118034,0.31943828
469,Sahuagin,17003-sahuagin,0.5,Spear,5.5,5.25,2.291288,0.41659778
471,Sahuagin Baron,17198-sahuagin-baron,5.0,Bite,9.0,2.5,1.5811388,0.1756821
472,Sahuagin Baron,17198-sahuagin-baron,5.0,Claws,11.0,5.8333335,2.4152296,0.21956632
473,Sahuagin Baron,17198-sahuagin-baron,5.0,Trident,13.0,10.5,3.2403703,0.24925926
475,Fire Snake,17199-fire-snake,1.0,Bite,7.0,4.1666665,2.0412414,0.29160592
476,Fire Snake,17199-fire-snake,1.0,Tail,7.0,4.1666665,2.0412414,0.29160592
478,Salamander,17004-salamander,5.0,Spear,16.5,13.416667,3.6628768,0.22199254
479,Salamander,17004-salamander,5.0,Tail,18.0,11.666667,3.4156504,0.18975835
481,Satyr,17005-satyr,0.5,Ram,6.0,2.5,1.5811388,0.26352313
482,Satyr,17005-satyr,0.5,Shortsword,6.5,2.9166667,1.7078252,0.26274234
483,Satyr,17005-satyr,0.5,Shortbow,6.5,2.9166667,1.7078252,0.26274234
484,Scarecrow,17200-scarecrow,1.0,Claw,6.0,2.5,1.5811388,0.26352313
486,Shadow,17010-shadow,0.5,Strength Drain,9.0,5.8333335,2.4152296,0.26835883
487,Shambling Mound,17011-shambling-mound,5.0,Slam,13.0,10.5,3.2403703,0.24925926
488,Shield Guardian,17012-shield-guardian,7.0,Fist,11.0,5.8333335,2.4152296,0.21956632
490,Minotaur Skeleton,16959-minotaur-skeleton,2.0,Greataxe,17.0,23.833334,4.8819394,0.2871729
491,Minotaur Skeleton,16959-minotaur-skeleton,2.0,Gore,13.0,10.5,3.2403703,0.24925926
492,Warhorse Skeleton,17050-warhorse-skeleton,0.5,Hooves,11.0,5.8333335,2.4152296,0.21956632
493,Slaad Tadpole,17117-slaad-tadpole,0.125,Bite,4.5,1.25,1.118034,0.248452
494,Red Slaad,17116-red-slaad,5.0,Bite,8.0,2.5,1.5811388,0.19764236
495,Blue Slaad,17112-blue-slaad,7.0,Bite,12.0,5.8333335,2.4152296,0.20126912
496,Blue Slaad,17112-blue-slaad,7.0,Claw,12.0,5.8333335,2.4152296,0.20126912
498,Specter,17017-specter,1.0,Life Drain,10.5,8.75,2.95804,0.28171808
499,Stirge,17023-stirge,0.125,Blood Drain,5.5,1.25,1.118034,0.20327891
500,Succubus,17027-succubus,4.0,Claw,6.5,2.9166667,1.7078252,0.26274234
501,Succubus,17027-succubus,4.0,Draining Kiss,32.5,41.25,6.4226165,0.19761896
502,Thri-kreen,17203-thri-kreen,1.0,Bite,4.5,2.9166667,1.7078252,0.3795167
503,Thri-kreen,17203-thri-kreen,1.0,Claws,6.0,2.5,1.5811388,0.26352313
505,Treant,17037-treant,9.0,Slam,16.5,8.75,2.95804,0.17927514
506,Treant,17037-treant,9.0,Rock,28.0,33.0,5.7445626,0.20516296
508,Troglodyte,17204-troglodyte,0.25,Bite,4.5,1.25,1.118034,0.248452
509,Troglodyte,17204-troglodyte,0.25,Claw,4.5,1.25,1.118034,0.248452
511,Troll,17040-troll,5.0,Bite,7.5,2.9166667,1.7078252,0.22771002
512,Troll,17040-troll,5.0,Claw,11.0,5.8333335,2.4152296,0.21956632
514,Umber Hulk,17205-umber-hulk,5.0,Claw,9.5,5.25,2.291288,0.2411882
515,Umber Hulk,17205-umber-hulk,5.0,Mandibles,14.0,10.5,3.2403703,0.23145503
517,Vampire Spawn,17044-vampire-spawn,5.0,Claws,8.0,2.5,1.5811388,0.19764236
518,Vampire Spawn,17044-vampire-spawn,5.0,Bite,13.5,8.75,2.95804,0.21911407
519,Water Weird,17208-water-weird,3.0,Constrict,13.5,8.75,2.95804,0.21911407
520,Wight,17059-wight,3.0,Life Drain,5.5,2.9166667,1.7078252,0.31051365
521,Wight,17059-wight,3.0,Longsword,7.5,8.25,2.8722813,0.38297084
522,Wight,17059-wight,3.0,Longbow,6.5,5.25,2.291288,0.35250583
524,Will-o’-Wisp,17060-will-o-wisp,2.0,Shock,9.0,10.5,3.2403703,0.36004114
525,Wraith,17064-wraith,5.0,Life Drain,21.0,21.0,4.582576,0.2182179
526,Wyvern,17065-wyvern,6.0,Bite,11.0,5.8333335,2.4152296,0.21956632
527,Wyvern,17065-wyvern,6.0,Claws,13.0,10.5,3.2403703,0.24925926
528,Wyvern,17065-wyvern,6.0,Stinger,11.0,5.8333335,2.4152296,0.21956632
530,Xorn,17066-xorn,5.0,Claw,6.5,2.9166667,1.7078252,0.26274234
531,Xorn,17066-xorn,5.0,Bite,13.5,8.75,2.95804,0.21911407
533,Yeti,17096-yeti,3.0,Claw,11.0,5.8333335,2.4152296,0.21956632
534,Abominable Yeti,17105-abominable-yeti,9.0,Claw,21.0,11.666667,3.4156504,0.16265002
535,Abominable Yeti,17105-abominable-yeti,9.0,Cold Breath,90.0,105.0,10.246951,0.11385501
536,Ogre Zombie,16970-ogre-zombie,2.0,Morningstar,13.0,10.5,3.2403703,0.24925926
537,Beholder Zombie,17111-beholder-zombie,5.0,Bite,14.0,11.666667,3.4156504,0.24397501
538,Ape,16788-ape,0.5,Fist,6.5,2.9166667,1.7078252,0.26274234
539,Ape,16788-ape,0.5,Rock,6.5,2.9166667,1.7078252,0.26274234
541,Awakened Shrub,16791-awakened-shrub,0.0,Rake,1.5,1.25,1.118034,0.74535596
542,Awakened Tree,16792-awakened-tree,2.0,Slam,14.5,8.75,2.95804,0.20400275
543,Axe Beak,16793-axe-beak,0.25,Beak,6.5,5.25,2.291288,0.35250583
544,Baboon,16795-baboon,0.0,Bite,1.5,1.25,1.118034,0.74535596
545,Badger,16796-badger,0.0,Bite,1.0,0.0,0.0,0.0
546,Blink Dog,16809-blink-dog,0.25,Bite,4.5,2.9166667,1.7078252,0.3795167
547,Blood Hawk,16810-blood-hawk,0.125,Beak,4.5,1.25,1.118034,0.248452
548,Camel,16819-camel,0.125,Bite,2.5,1.25,1.118034,0.4472136
549,Crab,16833-crab,0.0,Claw,1.0,0.0,0.0,0.0
550,Death Dog,16838-death-dog,1.0,Bite,5.5,2.9166667,1.7078252,0.31051365
552,Deer,16839-deer,0.0,Bite,2.5,1.25,1.118034,0.4472136
553,Draft Horse,16844-draft-horse,0.25,Hooves,9.0,2.5,1.5811388,0.1756821
554,Eagle,16852-eagle,0.0,Talons,4.5,1.25,1.118034,0.248452
555,Elephant,16855-elephant,4.0,Gore,19.5,15.75,3.968627,0.20351933
556,Elephant,16855-elephant,4.0,Stomp,22.5,24.75,4.974937,0.22110832
557,Elk,16857-elk,0.25,Ram,6.5,2.9166667,1.7078252,0.26274234
558,Elk,16857-elk,0.25,Hooves,8.0,2.5,1.5811388,0.19764236
559,Flying Snake,16864-flying-snake,0.125,Bite,8.5,3.75,1.9364917,0.22782256
560,Giant Ape,16873-giant-ape,7.0,Fist,22.5,24.75,4.974937,0.22110832
561,Giant Ape,16873-giant-ape,7.0,Rock,30.5,20.416666,4.518481,0.1481469
563,Giant Badger,16874-giant-badger,0.25,Bite,4.5,2.9166667,1.7078252,0.3795167
564,Giant Badger,16874-giant-badger,0.25,Claws,6.0,2.5,1.5811388,0.26352313
566,Giant Bat,16875-giant-bat,0.25,Bite,5.5,2.9166667,1.7078252,0.31051365
567,Giant Boar,16876-giant-boar,2.0,Tusk,10.0,5.8333335,2.4152296,0.24152295
568,Giant Centipede,16877-giant-centipede,0.25,Bite,15.0,10.0,3.1622777,0.21081851
569,Giant Constrictor Snake,16878-giant-constrictor-snake,2.0,Bite,11.0,5.8333335,2.4152296,0.21956632
570,Giant Constrictor Snake,16878-giant-constrictor-snake,2.0,Constrict,13.0,10.5,3.2403703,0.24925926
571,Giant Crab,16879-giant-crab,0.125,Claw,4.5,2.9166667,1.7078252,0.3795167
572,Giant Crocodile,16880-giant-crocodile,5.0,Bite,21.5,24.75,4.974937,0.23139243
573,Giant Crocodile,16880-giant-crocodile,5.0,Tail,14.0,10.5,3.2403703,0.23145503
575,Giant Elk,16882-giant-elk,2.0,Ram,11.0,5.8333335,2.4152296,0.21956632
576,Giant Elk,16882-giant-elk,2.0,Hooves,22.0,21.0,4.582576,0.20829889
577,Giant Fire Beetle,16883-giant-fire-beetle,0.0,Bite,2.5,2.9166667,1.7078252,0.68313
578,Giant Frog,16884-giant-frog,0.25,Bite,4.5,2.9166667,1.7078252,0.3795167
579,Giant Frog,16884-giant-frog,0.25,Swallow,5.0,2.5,1.5811388,0.31622776
580,Giant Goat,16885-giant-goat,0.5,Ram,8.0,2.5,1.5811388,0.19764236
581,Giant Hyena,16886-giant-hyena,1.0,Bite,10.0,5.8333335,2.4152296,0.24152295
582,Giant Lizard,16887-giant-lizard,0.25,Bite,6.5,5.25,2.291288,0.35250583
583,Giant Octopus,16888-giant-octopus,1.0,Tentacles,10.0,5.8333335,2.4152296,0.24152295
584,Giant Owl,16889-giant-owl,0.25,Talons,8.0,5.8333335,2.4152296,0.3019037
585,Giant Poisonous Snake,16890-giant-poisonous-snake,0.25,Bite,17.0,10.0,3.1622777,0.18601634
586,Giant Rat,16891-giant-rat,0.125,Bite,4.5,1.25,1.118034,0.248452
587,Giant Scorpion,16892-giant-scorpion,3.0,Claw,6.5,5.25,2.291288,0.35250583
588,Giant Scorpion,16892-giant-scorpion,3.0,Sting,29.5,41.25,6.4226165,0.2177158
590,Giant Sea Horse,16893-giant-sea-horse,0.5,Ram,4.5,2.9166667,1.7078252,0.3795167
591,Giant Shark,16894-giant-shark,5.0,Bite,22.5,24.75,4.974937,0.22110832
592,Giant Toad,16896-giant-toad,1.0,Bite,13.0,16.5,4.0620193,0.31246302
593,Giant Toad,16896-giant-toad,1.0,Swallow,10.5,8.75,2.95804,0.28171808
594,Giant Vulture,16897-giant-vulture,1.0,Beak,7.0,2.5,1.5811388,0.22587697
595,Giant Vulture,16897-giant-vulture,1.0,Talons,9.0,5.8333335,2.4152296,0.26835883
597,Giant Wasp,16898-giant-wasp,0.5,Sting,16.0,11.666667,3.4156504,0.21347815
598,Giant Weasel,16899-giant-weasel,0.125,Bite,5.5,1.25,1.118034,0.20327891
599,Giant Wolf Spider,16900-giant-wolf-spider,0.25,Bite,11.5,8.75,2.95804,0.25722086
600,Goat,16906-goat,0.0,Ram,3.5,1.25,1.118034,0.31943828
601,Hunter Shark,16928-hunter-shark,2.0,Bite,13.0,10.5,3.2403703,0.24925926
602,Hyena,16930-hyena,0.0,Bite,3.5,2.9166667,1.7078252,0.48795003
603,Jackal,16936-jackal,0.0,Bite,1.5,1.25,1.118034,0.74535596
604,Killer Whale,16937-killer-whale,3.0,Bite,21.5,14.583333,3.818813,0.17761922
605,Lizard,16945-lizard,0.0,Bite,1.0,0.0,0.0,0.0
606,Mammoth,16950-mammoth,6.0,Gore,25.0,21.0,4.582576,0.18330303
607,Mammoth,16950-mammoth,6.0,Stomp,29.0,33.0,5.7445626,0.19808836
608,Octopus,16968-octopus,0.0,Tentacles,1.0,0.0,0.0,0.0
609,Phase Spider,16978-phase-spider,3.0,Bite,25.5,29.25,5.408327,0.21209125
610,Polar Bear,16983-polar-bear,2.0,Bite,9.5,5.25,2.291288,0.2411882
611,Polar Bear,16983-polar-bear,2.0,Claws,12.0,5.8333335,2.4152296,0.20126912
613,Pony,16984-pony,0.125,Hooves,7.0,2.5,1.5811388,0.22587697
614,Quipper,16989-quipper,0.0,Bite,1.0,0.0,0.0,0.0
615,Rhinoceros,16996-rhinoceros,2.0,Gore,14.0,10.5,3.2403703,0.23145503
616,Saber-Toothed Tiger,17002-saber-toothed-tiger,2.0,Bite,10.5,8.25,2.8722813,0.2735506
617,Saber-Toothed Tiger,17002-saber-toothed-tiger,2.0,Claw,12.0,5.8333335,2.4152296,0.20126912
618,Scorpion,17006-scorpion,0.0,Sting,5.5,5.25,2.291288,0.41659778
619,Spider,17018-spider,0.0,Bite,3.5,1.25,1.118034,0.31943828
620,Swarm of Bats,17028-swarm-of-bats,0.25,Bites,5.0,2.5,1.5811388,0.31622776
621,Swarm of Insects,17029-swarm-of-insects,0.5,Bites,10.0,5.0,2.236068,0.2236068
622,Swarm of Poisonous Snakes,17030-swarm-of-poisonous-snakes,2.0,Bites,7.0,5.8333335,2.4152296,0.34503278
623,Swarm of Quippers,17031-swarm-of-quippers,1.0,Bites,14.0,11.666667,3.4156504,0.24397501
624,Swarm of Rats,17032-swarm-of-rats,0.25,Bites,7.0,5.8333335,2.4152296,0.34503278
625,Swarm of Ravens,17033-swarm-of-ravens,0.25,Beaks,7.0,5.8333335,2.4152296,0.34503278
626,Vulture,17048-vulture,0.0,Beak,2.5,1.25,1.118034,0.4472136
627,Weasel,17052-weasel,0.0,Bite,1.0,0.0,0.0,0.0
628,Winter Wolf,17061-winter-wolf,3.0,Bite,11.0,5.8333335,2.4152296,0.21956632
629,Winter Wolf,17061-winter-wolf,3.0,Cold Breath,36.0,42.0,6.4807405,0.18002057
630,Worg,17063-worg,0.5,Bite,10.0,5.8333335,2.4152296,0.24152295
631,Banderhobb,17217-banderhobb,5.0,Bite,22.5,14.583333,3.818813,0.16972503
632,Banderhobb,17217-banderhobb,5.0,Tongue,10.5,8.75,2.95804,0.28171808
633,Banderhobb,17217-banderhobb,5.0,Swallow,10.5,8.75,2.95804,0.28171808
634,Death Kiss,17219-death-kiss,10.0,Tentacle,14.5,8.75,2.95804,0.20400275
635,Gauth,17220-gauth,6.0,Bite,9.0,10.5,3.2403703,0.36004114
636,Gazer,17221-gazer,0.5,Bite,1.0,0.0,0.0,0.0
637,Bodak,17223-bodak,6.0,Fist,13.5,11.75,3.4278274,0.25391313
638,Boggle,2556122-boggle,0.125,Pummel,2.5,2.9166667,1.7078252,0.68313
639,Catoblepas,17225-catoblepas,5.0,Tail,21.5,14.583333,3.818813,0.17761922
640,Cave Fisher,17226-cave-fisher,3.0,Claw,10.0,5.8333335,2.4152296,0.24152295
642,Chitine,17227-chitine,0.5,Dagger,4.5,1.25,1.118034,0.248452
644,Cranium Rat,17229-cranium-rat,0.0,Bite,1.0,0.0,0.0,0.0
645,Darkling,2557737-darkling,0.5,Dagger,12.5,7.0833335,2.6614532,0.21291625
646,Darkling Elder,2557774-darkling-elder,2.0,Shortsword,17.0,11.666667,3.4156504,0.2009206
647,Deep Scion,17233-deep-scion,3.0,Battleaxe,9.5,8.25,2.8722813,0.3023454
648,Deep Scion,17233-deep-scion,3.0,Bite,6.5,1.25,1.118034,0.17200524
649,Deep Scion,17233-deep-scion,3.0,Claw,7.5,2.9166667,1.7078252,0.22771002
651,Maw Demon,17235-maw-demon,1.0,Bite,11.0,10.5,3.2403703,0.29457912
652,Shoosuva,17236-shoosuva,8.0,Bite,26.0,33.0,5.7445626,0.22094472
653,Shoosuva,17236-shoosuva,8.0,Tail Stinger,13.0,10.5,3.2403703,0.24925926
655,Devourer,17237-devourer,13.0,Claw,33.0,23.333334,4.830459,0.14637755
656,Devourer,17237-devourer,13.0,Soul Rend,88.0,132.0,11.489125,0.13055824
657,Brontosaurus,17239-brontosaurus,5.0,Stomp,27.5,26.25,5.1234756,0.18630819
658,Brontosaurus,17239-brontosaurus,5.0,Tail,32.0,31.5,5.612486,0.17539018
659,Deinonychus,17240-deinonychus,1.0,Bite,6.5,5.25,2.291288,0.35250583
660,Deinonychus,17240-deinonychus,1.0,Claw,6.5,5.25,2.291288,0.35250583
662,Dimetrodon,17238-dimetrodon,0.25,Bite,9.0,5.8333335,2.4152296,0.26835883
663,Hadrosaurus,17241-hadrosaurus,0.25,Tail,7.5,8.25,2.8722813,0.38297084
664,Quetzalcoatlus,17242-quetzalcoatlus,2.0,Bite,12.5,8.75,2.95804,0.2366432
665,Stegosaurus,17244-stegosaurus,4.0,Tail,26.0,17.5,4.1833,0.16089615
666,Velociraptor,17243-velociraptor,0.25,Bite,5.5,2.9166667,1.7078252,0.31051365
667,Velociraptor,17243-velociraptor,0.25,Claws,4.5,1.25,1.118034,0.248452
669,Firenewt Warrior,17246-firenewt-warrior,0.5,Scimitar,4.5,2.9166667,1.7078252,0.3795167
671,Giant Strider,17247-giant-strider,1.0,Bite,8.5,5.25,2.291288,0.2695633
672,Flail Snail,17249-flail-snail,3.0,Flail Tentacle,6.5,2.9166667,1.7078252,0.26274234
674,Froghemoth,17250-froghemoth,10.0,Tentacle,19.5,15.75,3.968627,0.20351933
675,Froghemoth,17250-froghemoth,10.0,Bite,33.0,33.5,5.7879186,0.17539147
676,Fire Giant Dreadnought,17252-fire-giant-dreadnought,14.0,Fireshield,36.0,23.333334,4.830459,0.13417941
677,Fire Giant Dreadnought,17252-fire-giant-dreadnought,14.0,Rock,30.0,33.0,5.7445626,0.19148542
678,Fire Giant Dreadnought,17252-fire-giant-dreadnought,14.0,Shield Charge,29.0,17.5,4.1833,0.14425173
680,Mouth of Grolantor,17254-mouth-of-grolantor,6.0,Bite,15.5,8.75,2.95804,0.19084129
681,Mouth of Grolantor,17254-mouth-of-grolantor,6.0,Fist,18.5,15.75,3.968627,0.21452038
682,Stone Giant Dreamwalker,17255-stone-giant-dreamwalker,10.0,Greatclub,19.5,15.75,3.968627,0.20351933
683,Stone Giant Dreamwalker,17255-stone-giant-dreamwalker,10.0,Rock,28.0,33.0,5.7445626,0.20516296
685,Girallon,17257-girallon,4.0,Bite,7.5,2.9166667,1.7078252,0.22771002
686,Girallon,17257-girallon,4.0,Claw,7.5,2.9166667,1.7078252,0.22771002
688,Flind,17258-flind,9.0,Flail of Madness,10.5,8.25,2.8722813,0.2735506
689,Flind,17258-flind,9.0,Flail of Pain,32.5,41.25,6.4226165,0.19761896
690,Flind,17258-flind,9.0,Flail of Paralysis,10.5,8.25,2.8722813,0.2735506
691,Flind,17258-flind,9.0,Longbow,4.5,5.25,2.291288,0.50917506
693,Gnoll Flesh Gnawer,17259-gnoll-flesh-gnawer,1.0,Bite,4.5,1.25,1.118034,0.248452
694,Gnoll Flesh Gnawer,17259-gnoll-flesh-gnawer,1.0,Shortsword,5.5,2.9166667,1.7078252,0.31051365
696,Gnoll Hunter,17260-gnoll-hunter,0.5,Bite,4.5,1.25,1.118034,0.248452
697,Gnoll Hunter,17260-gnoll-hunter,0.5,Spear,6.5,5.25,2.291288,0.35250583
698,Gnoll Witherling,17261-gnoll-witherling,0.25,Bite,4.5,1.25,1.118034,0.248452
699,Gnoll Witherling,17261-gnoll-witherling,0.25,Club,4.5,1.25,1.118034,0.248452
701,Grung,17262-grung,0.25,Dagger,9.5,3.75,1.9364917,0.20384122
702,Grung Elite Warrior,17263-grung-elite-warrior,2.0,Dagger,10.5,3.75,1.9364917,0.18442778
703,Grung Elite Warrior,17263-grung-elite-warrior,2.0,Shortbow,11.5,5.4166665,2.3273733,0.20238028
704,Guard Drake,17265-guard-drake,2.0,Bite,7.5,5.25,2.291288,0.30550504
705,Guard Drake,17265-guard-drake,2.0,Tail,6.5,2.9166667,1.7078252,0.26274234
707,Kobold Dragonshield,17276-kobold-dragonshield,1.0,Spear,5.5,5.25,2.291288,0.41659778
708,Kobold Inventor,17277-kobold-inventor,0.25,Dagger,4.5,1.25,1.118034,0.248452
709,Kobold Inventor,17277-kobold-inventor,0.25,Sling,4.5,1.25,1.118034,0.248452
710,Leucrotta,17280-leucrotta,3.0,Bite,8.5,5.25,2.291288,0.2695633
711,Leucrotta,17280-leucrotta,3.0,Hooves,11.0,5.8333335,2.4152296,0.21956632
