Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,AC,adj AC,HP,adj HP,AC adjustments,AB,adj AB,DPR,adj DPR,Save DC
FToD,176.0,monstrosity,huge,generic,N,11.0,4,7200.0,5.0,1.0,5.0,-2.0,1.0,1.0,False,False,False,False,False,False,5,1,5,-2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,218.5,218.5,[],9.0,9.0,61.5,61.5,17.0
MM,84.0,undead,huge,legendary,L,17.0,6,18000.0,7.0,0.0,6.0,3.0,2.0,4.0,False,True,True,False,True,True,7,6,12,3,8,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,23.0,225.0,315.0,"['4 saves', 'magic resistance']",13.0,13.0,126.0,126.0,20.0
FToD,177.0,monstrosity,large,generic,N,4.0,2,1100.0,4.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,True,False,6,0,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,57.0,57.0,['2 saves'],6.0,8.0,41.5,41.5,13.0
FToD,178.0,monstrosity,medium,generic,N,0.5,2,100.0,1.0,0.0,1.0,-1.0,-1.0,0.0,False,False,False,False,False,False,1,0,1,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,22.0,22.0,[],3.0,3.0,9.0,9.0,
FToD,178.0,monstrosity,medium,generic,N,3.0,2,700.0,0.0,3.0,2.0,-1.0,1.0,0.0,False,True,False,False,False,False,0,5,2,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,39.0,44.0,['1 saves'],5.0,5.0,27.333334,27.333334,12.0
FToD,179.0,monstrosity,medium,generic,N,2.0,2,450.0,2.0,0.0,0.0,0.0,0.0,2.0,False,False,False,True,True,True,2,0,0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,40.5,40.5,['3 saves'],4.0,4.0,27.0,27.0,10.0
FToD,180.0,monstrosity,medium,generic,N,6.0,3,2300.0,1.0,2.0,3.0,2.0,0.0,3.0,False,False,False,True,True,True,1,2,3,5,3,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,67.5,67.5,['3 saves'],6.0,6.0,40.0,40.0,14.0
FToD,181.0,undead,huge,legendary,L,17.0,6,18000.0,-5.0,1.0,4.0,6.0,4.0,6.0,False,True,False,True,True,True,-5,7,4,12,10,12,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,19.0,168.0,258.0,['4 saves'],12.0,12.0,120.0,120.0,20.0
DSotDQ,118.0,monstrosity,medium,generic,N,3.0,2,700.0,0.0,3.0,2.0,1.0,1.0,0.0,False,True,False,False,False,False,0,5,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,39.0,39.0,['1 saves'],,,,,
MPMotM,98.0,fiend,large,generic,N,7.0,3,2900.0,5.0,2.0,4.0,1.0,0.0,0.0,False,False,False,False,False,False,5,2,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,123.5,185.3,[],8.0,8.0,48.0,48.0,
VGtM,141.0,fiend,large,legacy,N,7.0,3,2900.0,5.0,2.0,4.0,1.0,0.0,0.0,False,False,False,False,False,False,5,2,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,123.5,185.3,[],8.0,8.0,48.0,48.0,
DSotDQ,201.0,dragon,large,generic,N,3.0,2,700.0,3.0,2.0,1.0,-1.0,1.0,0.0,False,False,False,False,False,False,3,2,1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,58.5,58.5,[],,,,,
DSotDQ,200.0,humanoid,medium,generic,N,3.0,2,700.0,3.0,2.0,2.0,1.0,2.0,1.0,False,True,False,False,True,False,3,4,2,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,65.0,65.0,['2 saves'],,,,,
DSotDQ,200.0,humanoid,medium,generic,N,1.0,2,200.0,2.0,1.0,1.0,0.0,0.0,0.0,False,False,False,False,False,False,2,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,22.0,22.0,[],,,,,
FToD,188.0,humanoid,medium,generic,N,5.0,3,1800.0,1.0,0.0,3.0,2.0,3.0,0.0,False,False,True,False,True,False,1,0,6,2,6,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,75.0,91.5,['2 saves'],6.0,6.0,48.666668,48.666668,
FToD,188.0,humanoid,medium,generic,N,5.0,3,1800.0,1.0,0.0,3.0,2.0,3.0,0.0,False,False,True,False,True,False,1,0,6,2,6,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,75.0,75.0,['2 saves'],4.0,4.0,56.0,56.0,
FToD,189.0,humanoid,medium,generic,N,3.0,2,700.0,4.0,4.0,2.0,0.0,1.0,2.0,True,True,True,False,False,False,6,6,4,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,45.5,45.5,['3 saves'],6.0,7.0,22.5,30.0,
FToD,189.0,humanoid,small,generic,N,2.0,2,450.0,0.0,2.0,1.0,1.0,0.0,3.0,False,True,False,False,False,True,0,4,1,1,0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,36.0,46.5,['2 saves'],5.0,5.0,27.0,27.0,
FToD,189.0,humanoid,small,generic,N,2.0,2,450.0,0.0,2.0,1.0,1.0,0.0,3.0,False,True,False,False,False,True,0,4,1,1,0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,36.0,46.5,['2 saves'],5.0,5.0,27.0,27.0,
MM,119.0,dragon,gargantuan,generic,N,17.0,6,18000.0,7.0,0.0,5.0,0.0,1.0,1.0,False,True,True,False,True,False,7,6,11,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,341.0,341.0,['3 saves'],13.0,13.0,73.333336,73.333336,18.0
FToD,192.0,dragon,large,generic,N,4.0,2,1100.0,3.0,0.0,2.0,-1.0,0.0,0.0,False,True,True,False,True,False,3,2,4,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,90.0,['3 saves'],5.0,5.0,19.333334,19.333334,12.0
FToD,191.0,dragon,gargantuan,legendary,L,24.0,7,62000.0,9.0,1.0,9.0,2.0,4.0,2.0,False,True,True,False,True,False,9,8,16,2,11,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,24.0,409.5,499.5,['3 saves'],16.0,16.0,169.0,169.0,24.0
FToD,191.0,dragon,gargantuan,legendary,LL,25.0,8,75000.0,9.0,1.0,9.0,2.0,4.0,2.0,False,True,True,False,True,False,9,8,16,2,11,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,24.0,409.5,499.5,['3 saves'],16.0,16.0,197.0,197.0,24.0
FToD,192.0,dragon,huge,generic,N,10.0,4,5900.0,5.0,0.0,4.0,0.0,1.0,1.0,False,True,True,False,True,False,5,4,8,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,178.5,178.5,['3 saves'],9.0,9.0,52.666668,52.666668,16.0
ToA,218.0,humanoid,medium,unique,N,5.0,3,1800.0,2.0,1.0,3.0,2.0,3.0,4.0,False,False,False,False,True,True,2,1,3,2,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,120.0,120.0,"['2 saves', 'shield']",8.0,8.0,18.0,18.0,
FToD,182.0,ooze,large,generic,N,5.0,3,1800.0,4.0,-2.0,3.0,-4.0,1.0,0.0,False,False,False,False,False,False,4,-2,3,-4,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,68.0,102.0,[],7.0,7.0,54.0,54.0,14.0
FToD,183.0,construct,large,generic,N,11.0,4,7200.0,5.0,0.0,3.0,-4.0,0.0,0.0,False,False,False,False,False,False,5,0,3,-4,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,20.0,161.5,201.9,['magic resistance'],9.0,10.0,54.666668,54.666668,
FToD,184.0,humanoid,medium,generic,N,8.0,3,3900.0,4.0,1.0,4.0,1.0,2.0,3.0,False,False,True,True,True,True,4,1,7,4,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,93.5,113.5,['4 saves'],7.0,9.0,73.333336,73.333336,15.0
FToD,185.0,humanoid,medium,generic,N,7.0,3,2900.0,5.0,0.0,4.0,0.0,1.0,3.0,True,False,True,False,True,True,8,0,7,0,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,85.0,105.0,['4 saves'],8.0,8.0,56.666668,56.666668,15.0
FToD,185.0,humanoid,medium,generic,N,6.0,3,2300.0,2.0,3.0,3.0,4.0,2.0,1.0,False,False,True,True,True,True,2,3,6,7,5,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,75.0,95.0,['4 saves'],7.0,7.0,58.0,58.0,14.0
HotDQ,89.0,humanoid,medium,generic,N,1.0,2,200.0,-1.0,3.0,1.0,0.0,0.0,1.0,False,False,False,False,True,False,-1,3,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,16.5,16.5,['1 saves'],5.0,6.0,19.0,19.0,
RoT,89.0,humanoid,medium,generic,N,5.0,3,1800.0,0.0,3.0,2.0,1.0,1.0,2.0,False,False,False,False,True,False,0,3,2,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,78.0,78.0,['1 saves'],5.0,6.0,36.0,36.0,
FToD,187.0,monstrosity,huge,generic,N,6.0,3,2300.0,4.0,2.0,3.0,-3.0,1.0,-2.0,True,False,True,False,False,False,7,2,6,-3,1,-2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,17.0,66.5,96.5,"['2 saves', 'stench']",7.0,7.0,46.666668,46.666668,14.0
FToD,186.0,monstrosity,large,generic,N,3.0,2,700.0,3.0,0.0,2.0,0.0,0.0,-2.0,True,False,True,False,False,False,5,0,4,0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,52.5,52.5,['2 saves'],5.0,5.0,26.0,26.0,13.0
FToD,190.0,dragon,large,generic,N,2.0,2,450.0,3.0,2.0,1.0,-1.0,1.0,0.0,False,False,False,False,False,False,3,2,1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,58.5,58.5,[],5.0,5.0,20.0,20.0,
RoT,89.0,humanoid,medium,generic,N,7.0,3,2900.0,0.0,4.0,2.0,1.0,1.0,3.0,False,False,False,False,True,False,0,4,2,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,110.5,110.5,['1 saves'],7.0,8.0,42.0,42.0,
RoT,90.0,humanoid,medium,generic,N,2.0,2,450.0,0.0,3.0,1.0,0.0,0.0,1.0,False,False,False,False,True,False,0,3,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,33.0,33.0,['1 saves'],5.0,6.0,25.0,25.0,
HotDQ,88.0,dragon,medium,generic,N,0.5,2,100.0,1.0,2.0,2.0,-3.0,0.0,-2.0,False,False,False,False,False,False,1,2,2,-3,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,22.0,22.0,[],4.0,5.0,6.3333335,6.3333335,
HotDQ,90.0,humanoid,medium,unique,N,3.0,2,700.0,4.0,2.0,2.0,3.0,0.0,-1.0,True,False,True,False,False,False,6,2,4,3,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,52.5,52.5,"['2 saves', 'shield']",5.0,5.0,23.833334,23.833334,13.0
PotA,209.0,humanoid,medium,unique,N,7.0,3,2900.0,4.0,0.0,4.0,0.0,-1.0,1.0,False,False,False,False,False,False,4,0,4,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,93.5,109.5,[],7.0,7.0,68.0,68.0,
TftYP,233.0,undead,medium,generic,N,1.0,2,200.0,2.0,0.0,3.0,0.0,1.0,0.0,False,False,False,False,True,False,2,0,3,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,37.5,44.0,['1 saves'],4.0,4.0,12.0,12.0,
MM,57.0,fiend,small,generic,N,0.25,2,50.0,0.0,0.0,1.0,-3.0,-1.0,-4.0,False,False,False,False,False,False,0,0,1,-3,-1,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,18.0,18.0,[],2.0,2.0,8.5,8.5,
MM,120.0,monstrosity,large,generic,N,6.0,3,2300.0,3.0,3.0,4.0,1.0,2.0,1.0,False,False,False,False,False,False,3,3,4,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,123.5,123.5,[],6.0,6.0,33.0,33.0,13.0
OotA,231.0,humanoid,small,unique,N,2.0,2,450.0,0.0,3.0,1.0,0.0,-3.0,3.0,False,False,False,False,False,False,0,3,1,0,-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,31.5,31.5,"['magic resistance', 'parry']",5.0,5.0,22.333334,22.333334,
MM,128.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,2.0,0.0,0.0,0.0,1.0,False,False,False,False,False,False,0,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,13.5,13.5,[],4.0,4.0,5.5,5.5,
MPMotM,99.0,humanoid,medium,generic,N,13.0,5,10000.0,0.0,3.0,2.0,4.0,2.0,3.0,False,False,True,True,False,True,0,3,7,9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,162.5,162.5,"['3 saves', 'web']",8.0,8.0,130.5,130.5,15.0
MToF,182.0,humanoid,medium,legacy,N,13.0,5,10000.0,0.0,3.0,2.0,4.0,2.0,3.0,False,False,True,True,False,True,0,3,7,9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,162.5,162.5,"['3 saves', 'web']",7.0,7.0,102.0,102.0,
MM,128.0,humanoid,medium,generic,N,5.0,3,1800.0,1.0,4.0,2.0,0.0,1.0,1.0,False,True,True,False,True,False,1,7,5,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,71.5,71.5,"['3 saves', 'parry']",7.0,7.0,34.0,34.0,
MPMotM,100.0,humanoid,medium,generic,N,18.0,6,20000.0,2.0,5.0,3.0,4.0,2.0,4.0,False,True,True,False,False,True,2,11,9,4,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,240.0,240.0,['3 saves'],10.0,10.0,128.0,128.0,18.0
MToF,183.0,humanoid,medium,legacy,N,18.0,6,20000.0,2.0,5.0,3.0,4.0,2.0,4.0,False,True,True,False,False,True,2,11,9,4,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,225.0,225.0,"['3 saves', 'shield', 'counterspell']",11.0,11.0,119.0,119.0,18.0
WDH,201.0,humanoid,medium,generic,N,4.0,2,1100.0,1.0,4.0,2.0,0.0,1.0,2.0,False,True,True,False,True,False,1,6,4,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,84.5,84.5,['3 saves'],6.0,6.0,20.0,20.0,
MPMotM,101.0,humanoid,medium,generic,N,9.0,4,5000.0,2.0,4.0,2.0,1.0,2.0,1.0,False,True,True,False,True,False,2,8,6,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,162.5,162.5,"['3 saves', 'parry']",8.0,8.0,49.5,49.5,13.0
MToF,184.0,humanoid,medium,legacy,N,9.0,4,5000.0,2.0,4.0,2.0,1.0,2.0,1.0,False,True,True,False,True,False,2,8,6,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,162.5,162.5,"['3 saves', 'parry']",8.0,8.0,49.5,59.5,13.0
MPMotM,102.0,humanoid,medium,generic,N,14.0,5,11500.0,0.0,2.0,2.0,3.0,5.0,5.0,False,False,True,False,True,True,0,2,7,3,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,149.5,149.5,['3 saves'],10.0,10.0,89.0,89.0,
MToF,184.0,humanoid,medium,legacy,N,14.0,5,11500.0,1.0,2.0,2.0,3.0,5.0,5.0,False,False,True,False,True,True,1,2,7,3,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,143.0,143.0,"['3 saves', 'magic resistance']",10.0,10.0,98.0,98.0,18.0
MM,129.0,humanoid,medium,generic,N,7.0,3,2900.0,-1.0,2.0,0.0,3.0,1.0,1.0,False,False,False,False,False,False,-1,2,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,45.0,45.0,['shield'],6.0,6.0,67.666664,67.666664,14.0
MToF,186.0,humanoid,medium,legacy,L,20.0,6,25000.0,1.0,4.0,3.0,3.0,5.0,6.0,False,False,True,False,True,True,1,4,9,3,11,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,21.0,262.5,262.5,"['3 saves', 'magic resistance']",10.0,10.0,170.0,170.0,19.0
MPMotM,104.0,humanoid,medium,legendary,LL,20.0,6,25000.0,1.0,4.0,3.0,3.0,5.0,6.0,False,False,True,False,True,True,1,4,9,3,11,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,20.0,247.5,362.5,"['3 saves', 'web']",10.0,10.0,142.83333,159.16667,19.0
MM,129.0,humanoid,medium,generic,N,8.0,3,3900.0,0.0,2.0,1.0,1.0,3.0,4.0,False,False,True,False,True,True,0,2,4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,71.5,71.5,['3 saves'],6.0,6.0,80.666664,80.666664,14.0
MPMotM,105.0,humanoid,medium,generic,N,11.0,4,7200.0,2.0,5.0,3.0,1.0,2.0,1.0,False,True,True,False,True,False,2,9,7,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,150.0,150.0,['3 saves'],9.0,11.0,82.5,82.5,
MToF,187.0,humanoid,medium,legacy,N,11.0,4,7200.0,2.0,5.0,3.0,1.0,2.0,1.0,False,True,True,False,True,False,2,9,7,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,150.0,150.0,['3 saves'],9.0,11.0,73.0,73.0,
GoS,233.0,undead,medium,generic,N,3.0,2,700.0,1.0,3.0,3.0,-4.0,-1.0,-3.0,False,True,False,False,False,False,1,5,3,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,75.0,82.0,['1 saves'],5.0,5.0,21.0,21.0,
GoS,234.0,undead,medium,generic,N,4.0,2,1100.0,2.0,3.0,3.0,-1.0,-1.0,3.0,False,True,True,False,False,False,2,5,5,-1,-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,18.0,67.5,74.5,['2 saves'],5.0,9.0,28.0,28.0,
GoS,235.0,undead,medium,generic,N,2.0,2,450.0,3.0,-1.0,3.0,-4.0,-1.0,-3.0,False,False,False,False,False,False,3,-1,3,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,45.0,52.0,[],5.0,5.0,14.0,14.0,
GoS,235.0,undead,medium,generic,N,9.0,4,5000.0,3.0,1.0,3.0,-1.0,2.0,1.0,False,False,True,False,True,False,3,1,7,-1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,157.5,171.5,['2 saves'],7.0,7.0,50.666668,50.666668,15.0
MM,346.0,humanoid,medium,generic,N,2.0,2,450.0,0.0,1.0,1.0,1.0,2.0,0.0,False,False,False,False,False,False,0,1,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,27.5,27.5,[],4.0,4.0,23.333334,23.333334,12.0
GGtR,230.0,humanoid,medium,generic,N,7.0,3,2900.0,0.0,2.0,3.0,0.0,5.0,2.0,False,True,True,False,True,False,0,5,6,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,90.0,90.0,['3 saves'],8.0,8.0,57.0,57.0,16.0
MM,121.0,fey,medium,generic,N,1.0,2,200.0,0.0,1.0,0.0,2.0,2.0,4.0,False,False,False,False,False,False,0,1,0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,22.5,22.5,['magic resistance'],6.0,6.0,8.0,8.0,
MM,122.0,humanoid,medium,generic,N,1.0,2,200.0,2.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,2,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,26.0,26.0,[],4.0,4.0,11.0,11.0,
MPMotM,107.0,humanoid,medium,generic,N,12.0,4,8400.0,5.0,-3.0,4.0,2.0,2.0,1.0,False,False,True,False,True,False,5,-3,8,2,6,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,23.0,119.0,119.0,"['2 saves', 'magic resistance']",9.0,9.0,103.5,108.166664,16.0
MToF,188.0,humanoid,medium,legacy,N,12.0,4,8400.0,5.0,-3.0,4.0,2.0,2.0,1.0,False,False,True,False,True,False,5,-3,8,2,6,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,23.0,119.0,119.0,"['2 saves', 'counterspell', 'magic resistance']",8.0,8.0,144.0,148.66667,16.0
MPMotM,112.0,construct,medium,generic,N,2.0,2,450.0,3.0,-2.0,1.0,-3.0,-3.0,-3.0,False,False,False,False,False,False,3,-2,1,-3,-3,-3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,33.0,33.0,[],5.0,5.0,16.5,26.5,
MToF,188.0,construct,medium,legacy,N,2.0,2,450.0,3.0,-2.0,1.0,-3.0,-3.0,-3.0,False,False,False,False,False,False,3,-2,1,-3,-3,-3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,33.0,33.0,[],5.0,5.0,16.5,21.833334,
MPMotM,107.0,humanoid,medium,generic,N,2.0,2,450.0,2.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,2,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,26.0,26.0,[],4.0,4.0,23.0,39.5,
MToF,189.0,humanoid,medium,legacy,N,2.0,2,450.0,2.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,2,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,26.0,26.0,[],4.0,4.0,13.0,29.5,
