Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Drow,MM,128.0,humanoid,generic,N,0.25,2,50.0,13.5,15.0,13.5,17.0,4.0,4.0,5.5,5.5
Drow Arachnomancer,MPMotM,99.0,humanoid,generic,N,13.0,5,10000.0,162.5,15.0,162.5,17.0,8.0,8.0,130.5,130.5
Drow Arachnomancer,MToF,182.0,humanoid,legacy,N,13.0,5,10000.0,162.5,15.0,162.5,17.0,7.0,7.0,102.0,102.0
Drow Elite Warrior,MM,128.0,humanoid,generic,N,5.0,3,1800.0,71.5,18.0,71.5,21.0,7.0,7.0,34.0,34.0
Drow Favored Consort,MPMotM,100.0,humanoid,generic,N,18.0,6,20000.0,240.0,18.0,240.0,23.0,10.0,10.0,128.0,128.0
Drow Favored Consort,MToF,183.0,humanoid,legacy,N,18.0,6,20000.0,225.0,18.0,225.0,25.0,11.0,11.0,119.0,119.0
Drow Gunslinger,WDH,201.0,humanoid,generic,N,4.0,2,1100.0,84.5,18.0,84.5,18.0,6.0,6.0,20.0,20.0
Drow House Captain,MPMotM,101.0,humanoid,generic,N,9.0,4,5000.0,162.5,16.0,162.5,23.0,8.0,8.0,49.5,49.5
Drow House Captain,MToF,184.0,humanoid,legacy,N,9.0,4,5000.0,162.5,16.0,162.5,19.0,8.0,8.0,49.5,59.5
Drow Inquisitor,MPMotM,102.0,humanoid,generic,N,14.0,5,11500.0,149.5,16.0,149.5,18.0,10.0,10.0,89.0,89.0
Drow Inquisitor,MToF,184.0,humanoid,legacy,N,14.0,5,11500.0,143.0,16.0,143.0,20.0,10.0,10.0,98.0,98.0
Drow Mage,MM,129.0,humanoid,generic,N,7.0,3,2900.0,45.0,15.0,45.0,20.0,6.0,6.0,67.666664,67.666664
Drow Matron Mother,MToF,186.0,humanoid,legacy,L,20.0,6,25000.0,262.5,17.0,262.5,21.0,10.0,10.0,170.0,170.0
Drow Matron Mother,MPMotM,104.0,humanoid,legendary,LL,20.0,6,25000.0,247.5,17.0,362.5,20.0,10.0,10.0,142.83333,159.16667
Drow Priestess of Lolth,MM,129.0,humanoid,generic,N,8.0,3,3900.0,71.5,16.0,71.5,18.0,6.0,6.0,80.666664,80.666664
Drow Shadowblade,MPMotM,105.0,humanoid,generic,N,11.0,4,7200.0,150.0,17.0,150.0,21.0,9.0,11.0,82.5,82.5
Drow Shadowblade,MToF,187.0,humanoid,legacy,N,11.0,4,7200.0,150.0,17.0,150.0,19.0,9.0,11.0,73.0,73.0
Drowned Ascetic,GoS,233.0,undead,generic,N,3.0,2,700.0,75.0,13.0,82.0,13.0,5.0,5.0,21.0,21.0
Drowned Assassin,GoS,234.0,undead,generic,N,4.0,2,1100.0,67.5,14.0,74.5,18.0,5.0,9.0,28.0,28.0
Drowned Blade,GoS,235.0,undead,generic,N,2.0,2,450.0,45.0,10.0,52.0,10.0,5.0,5.0,14.0,14.0
Drowned Master,GoS,235.0,undead,generic,N,9.0,4,5000.0,157.5,14.0,171.5,14.0,7.0,7.0,50.666668,50.666668
Druid,MM,346.0,humanoid,generic,N,2.0,2,450.0,27.5,16.0,27.5,16.0,4.0,4.0,23.333334,23.333334
Druid of the Old Ways,GGtR,230.0,humanoid,generic,N,7.0,3,2900.0,90.0,14.0,90.0,16.0,8.0,8.0,57.0,57.0
Dryad,MM,121.0,fey,generic,N,1.0,2,200.0,22.5,16.0,22.5,18.0,6.0,6.0,8.0,8.0
Duergar,MM,122.0,humanoid,generic,N,1.0,2,200.0,26.0,16.0,26.0,16.0,4.0,4.0,11.0,11.0
Duergar Despot,MPMotM,107.0,humanoid,generic,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,9.0,9.0,103.5,108.166664
Duergar Despot,MToF,188.0,humanoid,legacy,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,8.0,8.0,144.0,148.66667
Duergar Hammerer,MPMotM,112.0,construct,generic,N,2.0,2,450.0,33.0,17.0,33.0,17.0,5.0,5.0,16.5,26.5
Duergar Hammerer,MToF,188.0,construct,legacy,N,2.0,2,450.0,33.0,17.0,33.0,17.0,5.0,5.0,16.5,21.833334
Duergar Kavalrachni,MPMotM,107.0,humanoid,generic,N,2.0,2,450.0,26.0,16.0,26.0,16.0,4.0,4.0,23.0,39.5
Duergar Kavalrachni,MToF,189.0,humanoid,legacy,N,2.0,2,450.0,26.0,16.0,26.0,16.0,4.0,4.0,13.0,29.5
Duergar Mind Master,MPMotM,108.0,humanoid,generic,N,2.0,2,450.0,39.0,14.0,39.0,21.0,5.0,7.0,23.0,23.0
Duergar Mind Master,MToF,189.0,humanoid,legacy,N,2.0,2,450.0,39.0,14.0,39.0,14.0,5.0,5.0,32.0,32.0
Duergar Screamer,MPMotM,112.0,construct,generic,N,3.0,2,700.0,38.5,15.0,38.5,15.0,6.0,6.0,24.5,35.0
Duergar Screamer,MToF,190.0,construct,legacy,N,3.0,2,700.0,38.5,15.0,38.5,15.0,6.0,6.0,24.5,32.666668
Duergar Soulblade,MPMotM,109.0,humanoid,generic,N,1.0,2,200.0,27.0,14.0,27.0,14.0,5.0,5.0,17.0,17.0
Duergar Spy,TftYP,234.0,humanoid,generic,N,2.0,2,450.0,33.0,15.0,33.0,15.0,5.0,5.0,33.0,33.0
Duergar Stone Guard,MPMotM,110.0,humanoid,generic,N,2.0,2,450.0,39.0,18.0,39.0,18.0,6.0,7.0,22.0,22.0
Duergar Stone Guard,MToF,191.0,humanoid,legacy,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,6.0,11.0,11.0
Duergar Stone Guard,OotA,227.0,humanoid,legacy,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,6.0,11.0,11.0
Duergar Warlord,MPMotM,111.0,humanoid,generic,N,6.0,3,2300.0,75.0,20.0,75.0,20.0,7.0,7.0,61.5,76.5
Duergar Warlord,MToF,192.0,humanoid,legacy,N,6.0,3,2300.0,75.0,20.0,75.0,20.0,7.0,7.0,61.5,71.5
Duergar Xarrorn,MPMotM,111.0,humanoid,generic,N,2.0,2,450.0,26.0,18.0,26.0,18.0,5.0,5.0,20.0,20.0
Duergar Xarrorn,MToF,193.0,humanoid,legacy,N,2.0,2,450.0,26.0,18.0,26.0,18.0,5.0,5.0,20.0,20.0
Duergar Xarrorn,OotA,228.0,humanoid,legacy,N,2.0,2,450.0,26.0,18.0,26.0,18.0,5.0,5.0,20.0,20.0
Duke Thalamra Vanthampur,BGDiA,38.0,humanoid,unique,N,4.0,2,1100.0,78.0,10.0,78.0,10.0,6.0,6.0,23.333334,23.333334
Dullahan,VRGtR,233.0,undead,legendary,L,10.0,4,5900.0,135.0,16.0,175.0,16.0,8.0,8.0,102.5,102.5
Duodrone,MM,225.0,construct,generic,N,0.25,2,50.0,11.0,15.0,11.0,15.0,3.0,3.0,9.0,9.0
Durnan,WDH,203.0,humanoid,unique,N,9.0,4,5000.0,144.5,16.0,154.0,18.0,8.0,8.0,48.0,48.0
Dusk Hag,ERftLW,292.0,fey,generic,N,6.0,3,2300.0,82.5,17.0,82.5,20.0,7.0,7.0,46.333332,46.333332
Dust Hulk,BPGotG,131.0,elemental,generic,N,5.0,3,1800.0,68.0,16.0,68.0,18.0,7.0,7.0,39.0,39.0
Dybbuk,MPMotM,113.0,fiend,generic,N,4.0,2,1100.0,37.5,14.0,143.8,16.0,6.0,6.0,13.0,13.0
Dybbuk,MToF,132.0,fiend,legacy,N,4.0,2,1100.0,37.5,14.0,74.0,16.0,6.0,6.0,13.0,13.0
Dyrrn,ERftLW,288.0,aberration,unique,LL,24.0,7,62000.0,325.5,21.0,475.0,25.0,15.0,15.0,208.33333,208.33333
Dzaan,IDRotF,270.0,humanoid,unique,N,4.0,2,1100.0,49.5,10.0,49.5,10.0,5.0,5.0,84.333336,84.333336
Dzaan's Simulacrum,IDRotF,270.0,construct,unique,N,1.0,2,200.0,49.5,10.0,24.0,10.0,5.0,5.0,21.0,21.0
"Eagle, Giant",MM,324.0,beast,generic,N,1.0,2,200.0,26.0,13.0,26.0,13.0,5.0,5.0,16.5,16.5
Earth Elemental,MM,124.0,elemental,generic,N,5.0,3,1800.0,126.0,17.0,189.0,17.0,8.0,8.0,28.0,28.0
Earth Elemental Myrmidon,MPMotM,122.0,elemental,generic,N,7.0,3,2900.0,127.5,18.0,191.3,18.0,7.0,7.0,25.666666,25.666666
Earth Elemental Myrmidon,MToF,202.0,elemental,legacy,N,7.0,3,2900.0,127.5,18.0,191.3,18.0,7.0,7.0,23.833334,23.833334
Earth Elemental Myrmidon,PotA,212.0,elemental,legacy,N,7.0,3,2900.0,127.5,18.0,191.3,18.0,7.0,7.0,23.833334,23.833334
Eater of Hope,MOoT,220.0,fiend,generic,N,6.0,3,2300.0,90.0,17.0,90.0,19.0,7.0,7.0,37.333332,37.333332
Eater of Knowledge,PAitM:MPP,29.0,aberration,generic,N,6.0,3,2300.0,102.0,15.0,102.0,17.0,7.0,7.0,29.666666,33.0
Eblis,ToA,219.0,monstrosity,generic,N,1.0,2,200.0,26.0,13.0,26.0,15.0,5.0,5.0,10.0,10.0
Echo of Demogorgon,BPGotG,132.0,fiend,generic,N,6.0,3,2300.0,85.0,14.0,127.5,16.0,9.0,9.0,52.0,52.0
Egg Hunter Adult,FToD,193.0,monstrosity,generic,N,5.0,3,1800.0,52.0,16.0,88.0,20.0,8.0,8.0,35.0,35.0
Egg Hunter Hatchling,FToD,193.0,monstrosity,generic,N,2.0,2,450.0,28.0,14.0,38.0,14.0,5.0,5.0,20.0,20.0
Eidolon,MPMotM,114.0,undead,generic,N,12.0,4,8400.0,63.0,9.0,246.9,19.0,8.0,8.0,86.0,86.0
Eidolon,MToF,193.0,undead,legacy,N,12.0,4,8400.0,63.0,9.0,246.9,19.0,8.0,8.0,86.0,86.0
"Eladrin, Autumn",MPMotM,115.0,fey,generic,N,10.0,4,5900.0,165.0,19.0,206.3,21.0,7.0,7.0,60.0,60.0
"Eladrin, Autumn",MToF,195.0,fey,legacy,N,10.0,4,5900.0,127.5,19.0,239.1,21.0,7.0,7.0,25.5,25.5
"Eladrin, Spring",MPMotM,116.0,fey,generic,N,10.0,4,5900.0,165.0,19.0,206.3,21.0,7.0,7.0,60.0,60.0
"Eladrin, Spring",MToF,196.0,fey,legacy,N,10.0,4,5900.0,127.5,19.0,239.1,21.0,7.0,7.0,24.0,24.0
"Eladrin, Summer",MPMotM,116.0,fey,generic,N,10.0,4,5900.0,165.0,19.0,206.3,22.0,8.0,8.0,48.0,48.0
"Eladrin, Summer",MToF,196.0,fey,legacy,N,10.0,4,5900.0,127.5,19.0,239.1,22.0,8.0,8.0,39.0,39.0
"Eladrin, Winter",MPMotM,117.0,fey,generic,N,10.0,4,5900.0,165.0,19.0,206.3,21.0,7.0,7.0,53.0,53.0
"Eladrin, Winter",MToF,197.0,fey,legacy,N,10.0,4,5900.0,127.5,19.0,239.1,21.0,8.0,8.0,52.166668,52.166668
Elder Brain,MPMotM,120.0,aberration,legendary,LL,14.0,5,11500.0,210.0,10.0,360.0,14.0,7.0,7.0,76.0,91.833336
Elder Brain,VGtM,174.0,aberration,legacy,LL,14.0,5,11500.0,210.0,10.0,360.0,14.0,7.0,7.0,94.666664,123.166664
Elder Brain Dragon,FToD,194.0,aberration,legendary,L,22.0,7,41000.0,350.0,17.0,470.0,19.0,15.0,15.0,150.83333,150.83333
Elder Tempest,MPMotM,121.0,elemental,legendary,L,23.0,7,50000.0,264.0,19.0,480.0,21.0,16.0,16.0,132.66667,132.66667
Elder Tempest,MToF,200.0,elemental,legacy,L,23.0,7,50000.0,264.0,19.0,480.0,21.0,16.0,16.0,132.66667,132.66667
Elephant,MM,322.0,beast,generic,N,4.0,2,1100.0,76.0,12.0,76.0,12.0,8.0,8.0,28.333334,28.333334
Elizar Dryflagon,PotA,202.0,humanoid,unique,N,5.0,3,1800.0,71.5,14.0,71.5,14.0,7.0,7.0,56.0,56.0
Elk,MM,322.0,beast,generic,N,0.25,2,50.0,13.0,10.0,13.0,10.0,5.0,5.0,9.833333,9.833333
"Elk, Giant",MM,325.0,beast,generic,N,2.0,2,450.0,42.5,14.0,42.5,14.0,6.0,6.0,22.0,22.0
Elkhorn,TWBtW,224.0,humanoid,unique,N,2.0,2,450.0,52.5,18.0,64.5,18.0,2.0,3.0,12.333333,12.333333
Emerald Dragon Wyrmling,FToD,197.0,dragon,generic,N,2.0,2,450.0,39.0,16.0,39.0,21.0,4.0,4.0,19.0,19.0
"Emerald Dragon, Adult",FToD,196.0,dragon,legendary,L,14.0,5,11500.0,207.0,18.0,297.0,21.0,11.0,11.0,89.5,89.5
"Emerald Dragon, Adult",FToD,196.0,dragon,legendary,LL,15.0,5,13000.0,207.0,18.0,297.0,24.0,11.0,14.0,96.833336,96.833336
"Emerald Dragon, Ancient",FToD,195.0,dragon,legendary,L,21.0,7,33000.0,332.5,20.0,422.5,24.0,14.0,14.0,117.0,117.0
"Emerald Dragon, Ancient",FToD,195.0,dragon,legendary,LL,22.0,7,41000.0,332.5,20.0,422.5,27.0,14.0,17.0,124.333336,124.333336
"Emerald Dragon, Young",FToD,197.0,dragon,generic,N,8.0,3,3900.0,142.5,17.0,142.5,20.0,8.0,8.0,45.333332,45.333332
Emerald Greatwyrm,FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
Empyrean,MM,130.0,celestial,legendary,L,23.0,7,50000.0,313.5,22.0,504.4,26.0,17.0,17.0,135.66667,135.66667
Encephalon Cluster,PaBTSO,205.0,aberration,legendary,L,10.0,4,5900.0,110.5,13.0,170.5,15.0,10.0,10.0,82.5,82.5
Encephalon Gemmule,PaBTSO,206.0,aberration,generic,N,3.0,2,700.0,54.0,14.0,54.0,16.0,6.0,6.0,24.0,24.0
Enchanting Infiltrator,TBoMT,46.0,fey,legendary,L,11.0,4,7200.0,156.0,18.0,306.0,18.0,9.0,9.0,64.0,76.666664
Enchanting Infiltrator,TBoMT,46.0,fey,legendary,LL,12.0,4,8400.0,156.0,18.0,306.0,18.0,9.0,9.0,80.0,92.666664
Endelyn Moongrave,TWBtW,217.0,fey,unique,N,6.0,3,2300.0,114.0,17.0,114.0,19.0,6.0,6.0,34.0,34.0
Equinal Guardinal,PAitM:MPP,33.0,celestial,generic,N,6.0,3,2300.0,93.5,15.0,93.5,15.0,9.0,10.0,37.666668,37.666668
Erinyes,MM,73.0,fiend,generic,N,12.0,4,8400.0,153.0,18.0,191.3,23.0,8.0,8.0,66.0,66.0
Esthetic,SAiS:BAM,20.0,aberration,generic,N,12.0,4,8400.0,217.0,14.0,217.0,14.0,11.0,11.0,85.0,85.0
Eternal Flame Guardian,PotA,200.0,humanoid,generic,N,2.0,2,450.0,45.5,17.0,45.5,17.0,4.0,4.0,17.333334,17.333334
Eternal Flame Priest,PotA,200.0,humanoid,generic,N,3.0,2,700.0,52.0,15.0,52.0,15.0,5.0,5.0,46.666668,46.666668
Ettercap,MM,131.0,monstrosity,generic,N,2.0,2,450.0,44.0,13.0,44.0,13.0,4.0,4.0,17.0,17.0
Ettin,MM,132.0,giant,generic,N,4.0,2,1100.0,85.0,12.0,85.0,12.0,7.0,7.0,28.0,28.0
Ettin Ceremorph,BPGotG,133.0,aberration,generic,N,8.0,3,3900.0,104.5,15.0,104.5,17.0,7.0,7.0,47.333332,58.333332
Euryale,TBoMT,189.0,monstrosity,unique,L,18.0,6,20000.0,297.5,17.0,387.5,19.0,11.0,11.0,84.666664,95.666664
Expeditious Messenger,ERftLW,293.0,construct,generic,N,0.125,2,25.0,7.0,13.0,7.0,15.0,5.0,5.0,5.5,5.5
Eye Monger,SAiS:BAM,21.0,aberration,generic,N,10.0,4,5900.0,149.5,17.0,149.5,17.0,9.0,9.0,35.333332,35.333332
Eyedrake,FToD,199.0,aberration,generic,N,8.0,3,3900.0,119.0,16.0,119.0,18.0,6.0,6.0,70.333336,70.333336
Ezmerelda d'Avenir,CoS,230.0,humanoid,unique,N,8.0,3,3900.0,82.5,17.0,82.5,22.0,8.0,8.0,58.0,58.0
Faerie Dragon,MM,133.0,dragon,generic,N,2.0,2,450.0,14.0,15.0,14.0,21.0,7.0,11.0,1.0,1.0
Faerie Dragon (Younger),MM,133.0,dragon,generic,N,1.0,2,200.0,14.0,15.0,14.0,21.0,7.0,11.0,1.0,1.0
False Lich,VEoR,220.0,undead,legendary,L,21.0,7,33000.0,199.5,18.0,361.9,22.0,14.0,14.0,138.5,175.16667
Farastu Demodand,PAitM:MPP,26.0,fiend,generic,N,11.0,4,7200.0,195.0,17.0,243.8,19.0,9.0,11.0,68.5,68.5
Fastieth,ERftLW,289.0,beast,generic,N,0.25,2,50.0,9.0,14.0,9.0,15.0,6.0,6.0,8.5,8.5
Fate Hag,TBoMT,176.0,fey,legendary,L,4.0,2,1100.0,71.5,14.0,91.5,16.0,6.0,6.0,24.0,24.0
Fated Shaker,PAitM:MPP,56.0,humanoid,generic,N,5.0,3,1800.0,76.5,16.0,76.5,16.0,6.0,6.0,45.0,45.0
Fathomer,PotA,207.0,humanoid,generic,N,2.0,2,450.0,52.0,13.0,82.0,13.0,4.0,4.0,13.333333,13.333333
Feathergale Knight,PotA,189.0,humanoid,generic,N,1.0,2,200.0,33.0,16.0,33.0,16.0,4.0,4.0,14.0,14.0
Felidar,GGtR,199.0,celestial,generic,N,5.0,3,1800.0,93.5,17.0,93.5,19.0,7.0,7.0,35.666668,35.666668
Fensir Devourer,BPGotG,135.0,celestial,generic,N,8.0,3,3900.0,138.0,17.0,168.0,17.0,8.0,8.0,43.0,43.0
Fensir Skirmisher,BPGotG,135.0,giant,generic,N,6.0,3,2300.0,94.5,15.0,124.5,15.0,7.0,7.0,45.0,45.0
Feral Ashenwight,PaBTSO,204.0,undead,generic,N,5.0,3,1800.0,65.0,16.0,65.0,16.0,7.0,7.0,15.0,15.0
Ferrumach Rilmani,PAitM:MPP,44.0,celestial,generic,N,9.0,4,5000.0,136.0,18.0,136.0,18.0,8.0,8.0,72.0,72.0
Feyr,SAiS:BAM,22.0,aberration,generic,N,5.0,3,1800.0,88.0,16.0,115.5,17.0,6.0,6.0,25.5,25.5
Fiendish Auger,PaBTSO,206.0,construct,generic,N,5.0,3,1800.0,85.5,15.0,85.5,15.0,9.0,9.0,36.666668,36.666668
Firbolg Primeval Warden,BPGotG,136.0,humanoid,generic,N,4.0,2,1100.0,65.0,16.0,65.0,20.0,5.0,5.0,31.0,31.0
Firbolg Wanderer,BPGotG,137.0,humanoid,generic,N,5.0,3,1800.0,90.0,16.0,90.0,18.0,6.0,6.0,35.0,35.0
Fire Elemental,MM,125.0,elemental,generic,N,5.0,3,1800.0,102.0,13.0,153.0,13.0,6.0,8.0,31.0,36.5
Fire Elemental Myrmidon,MPMotM,123.0,elemental,generic,N,7.0,3,2900.0,123.5,18.0,185.3,18.0,7.0,7.0,29.5,29.5
Fire Elemental Myrmidon,MToF,203.0,elemental,legacy,N,7.0,3,2900.0,123.5,18.0,185.3,18.0,7.0,7.0,28.0,28.0
Fire Elemental Myrmidon,PotA,213.0,elemental,legacy,N,7.0,3,2900.0,117.0,18.0,175.5,18.0,7.0,7.0,28.0,28.0
Fire Giant,MM,154.0,giant,generic,N,9.0,4,5000.0,162.5,18.0,162.5,20.0,11.0,11.0,56.0,56.0
Fire Giant Dreadnought,MPMotM,124.0,giant,generic,N,14.0,5,11500.0,187.5,21.0,187.5,23.0,13.0,13.0,81.333336,81.333336
Fire Giant Dreadnought,VGtM,147.0,giant,legacy,N,14.0,5,11500.0,187.5,21.0,187.5,23.0,13.0,13.0,84.333336,84.333336
Fire Giant Forgecaller,BPGotG,138.0,giant,legendary,L,18.0,6,20000.0,312.5,18.0,402.5,22.0,13.0,13.0,94.5,94.5
Fire Giant of Evil Fire,BPGotG,139.0,giant,generic,N,10.0,4,5900.0,150.0,18.0,150.0,18.0,11.0,11.0,53.0,67.0
Fire Hellion,BPGotG,140.0,fiend,generic,N,11.0,4,7200.0,175.0,18.0,175.0,20.0,11.0,11.0,63.0,63.0
Firefist,GGtR,231.0,humanoid,generic,N,7.0,3,2900.0,117.0,18.0,117.0,18.0,6.0,6.0,48.0,48.0
Firegaunt,BPGotG,137.0,undead,generic,N,11.0,4,7200.0,175.0,15.0,175.0,17.0,11.0,11.0,66.333336,73.666664
Firemane Angel,GGtR,190.0,celestial,generic,N,12.0,4,8400.0,135.0,18.0,195.0,22.0,10.0,10.0,69.333336,69.333336
Firenewt Warlock of Imix,MPMotM,125.0,elemental,generic,N,1.0,2,200.0,33.0,13.0,38.0,13.0,4.0,4.0,16.5,16.5
Firenewt Warlock of Imix,VGtM,143.0,humanoid,legacy,N,1.0,2,200.0,33.0,13.0,38.0,13.0,4.0,4.0,20.5,20.5
Firenewt Warrior,MPMotM,125.0,elemental,generic,N,0.5,2,100.0,27.5,13.0,27.5,13.0,3.0,3.0,9.0,9.0
Firenewt Warrior,VGtM,142.0,humanoid,legacy,N,0.5,2,100.0,22.0,16.0,22.0,16.0,3.0,3.0,9.0,9.0
First-Year Student,SACoC,191.0,humanoid,generic,N,0.5,2,100.0,33.0,11.0,33.0,13.0,3.0,3.0,7.5,8.166667
Fist of Bane,BGDiA,232.0,humanoid,generic,N,0.5,2,100.0,22.0,18.0,22.0,20.0,5.0,5.0,6.0,6.0
Flail Snail,MPMotM,126.0,elemental,generic,N,3.0,2,700.0,52.5,16.0,52.5,18.0,5.0,5.0,27.5,32.166668
Flail Snail,VGtM,144.0,elemental,legacy,N,3.0,2,700.0,52.5,16.0,52.5,18.0,5.0,5.0,16.25,20.916666
Flameskull,MM,134.0,undead,generic,N,4.0,2,1100.0,40.5,13.0,80.0,20.0,5.0,5.0,32.666668,32.666668
Flamewrath,PotA,201.0,humanoid,generic,N,6.0,3,2300.0,105.0,15.0,105.0,15.0,6.0,6.0,65.0,65.0
Fleecemane Lion,MOoT,223.0,monstrosity,legendary,L,3.0,2,700.0,45.0,15.0,67.5,17.0,6.0,6.0,31.666666,31.666666
Flesh Colossus,BPGotG,141.0,construct,generic,N,20.0,6,25000.0,280.0,14.0,350.0,16.0,13.0,15.0,78.0,105.0
Flesh Golem,MM,169.0,construct,generic,N,5.0,3,1800.0,93.5,9.0,187.0,11.0,7.0,7.0,26.0,26.0
"Flesh Golem, Damaged",EGtW,248.0,construct,unique,N,1.0,2,200.0,5.0,9.0,10.0,11.0,7.0,7.0,13.0,13.0
"Flesh Golem, Fiendish",BGDiA,236.0,construct,generic,N,8.0,3,3900.0,210.0,12.0,420.0,14.0,8.0,8.0,32.0,32.0
Flesh Meld,PaBTSO,207.0,aberration,generic,N,7.0,3,2900.0,95.0,12.0,95.0,15.0,8.0,8.0,32.0,42.5
Flind,MPMotM,127.0,fiend,generic,N,9.0,4,5000.0,127.5,16.0,157.5,16.0,9.0,9.0,48.0,58.0
Flind,VGtM,153.0,humanoid,legacy,N,9.0,4,5000.0,127.5,16.0,187.5,16.0,9.0,9.0,53.5,63.5
Flumph,MM,135.0,aberration,generic,N,0.125,2,25.0,7.0,12.0,7.0,12.0,4.0,4.0,8.666667,8.666667
Flux Blastseeker,GGtR,242.0,humanoid,generic,N,5.0,3,1800.0,55.0,15.0,55.0,15.0,8.0,8.0,63.0,63.0
Fluxcharger,GGtR,208.0,elemental,generic,N,7.0,3,2900.0,60.0,16.0,120.0,16.0,7.0,7.0,46.0,46.0
Flying Dagger,BGDiA,30.0,construct,generic,N,0.125,2,25.0,7.5,17.0,7.5,17.0,3.0,3.0,3.0,3.0
Flying Horror,GGtR,203.0,aberration,generic,N,3.0,2,700.0,49.5,16.0,49.5,16.0,7.0,7.0,22.0,22.0
Flying Rocking Horse,TWBtW,121.0,construct,generic,N,0.125,2,25.0,22.0,15.0,22.0,15.0,2.0,2.0,3.5,3.5
Flying Snake,MM,322.0,beast,generic,N,0.125,2,25.0,5.0,14.0,5.0,16.0,6.0,6.0,8.5,8.5
Flying Sword,MM,20.0,construct,generic,N,0.25,2,50.0,17.5,17.0,17.5,17.0,3.0,3.0,5.5,5.5
Fomorian,MM,136.0,giant,generic,N,8.0,3,3900.0,149.5,14.0,149.5,14.0,9.0,9.0,46.0,46.0
Fomorian Deep Crawler,BPGotG,142.0,giant,generic,N,10.0,4,5900.0,184.0,14.0,184.0,14.0,10.0,12.0,66.0,66.0
Fomorian Noble,BPGotG,143.0,giant,generic,N,15.0,5,13000.0,253.0,17.0,253.0,19.0,11.0,11.0,82.5,110.0
Fomorian Warlock of the Dark,BPGotG,144.0,giant,legendary,L,12.0,4,8400.0,207.0,15.0,297.0,16.0,10.0,10.0,87.333336,87.333336
Fractal Mascot,SACoC,192.0,construct,generic,N,0.25,2,50.0,27.0,12.0,27.0,12.0,3.0,3.0,6.0,6.0
Fraternity of Order Law Bender,PAitM:MPP,57.0,humanoid,generic,N,9.0,4,5000.0,137.5,15.0,137.5,17.0,8.0,8.0,61.5,82.0
Fraz-Urb’luu,MPMotM,129.0,fiend,unique,L,23.0,7,50000.0,337.5,18.0,534.4,22.0,16.0,16.0,141.0,141.0
Fraz-Urb’luu,MToF,146.0,fiend,legacy,L,23.0,7,50000.0,337.5,18.0,534.4,22.0,16.0,16.0,124.5,124.5
Fraz-Urb’luu,MPMotM,129.0,fiend,unique,LL,24.0,7,62000.0,337.5,18.0,534.4,22.0,16.0,16.0,207.0,207.0
Fraz-Urb’luu,MToF,146.0,fiend,legacy,LL,24.0,7,62000.0,337.5,18.0,534.4,22.0,16.0,16.0,190.5,190.5
Fraz-Urb’luu,OotA,238.0,fiend,unique,LL,23.0,7,50000.0,350.0,18.0,550.0,22.0,16.0,16.0,269.0,269.0
Froghemoth,MPMotM,130.0,monstrosity,generic,N,10.0,4,5900.0,161.0,14.0,161.0,14.0,10.0,10.0,61.5,75.5
Froghemoth,VGtM,145.0,monstrosity,legacy,N,10.0,4,5900.0,184.0,14.0,184.0,14.0,10.0,10.0,61.5,75.5
Froghemoth Elder,QftIS,198.0,monstrosity,legendary,LL,15.0,5,13000.0,207.0,14.0,297.0,16.0,12.0,12.0,85.5,92.5
Frontline Medic,GGtR,231.0,humanoid,generic,N,0.25,2,50.0,19.5,20.0,19.5,24.0,4.0,4.0,5.5,5.5
Frost Druid,IDRotF,288.0,humanoid,generic,N,5.0,3,1800.0,67.5,13.0,67.5,13.0,6.0,6.0,48.666668,48.666668
Frost Giant,MM,155.0,giant,generic,N,8.0,3,3900.0,138.0,15.0,138.0,17.0,9.0,9.0,50.0,50.0
Frost Giant Everlasting One,MPMotM,131.0,giant,generic,N,12.0,4,8400.0,189.0,15.0,273.8,17.0,11.0,11.0,61.0,61.0
Frost Giant Everlasting One,VGtM,148.0,giant,legacy,N,12.0,4,8400.0,189.0,15.0,273.8,17.0,11.0,11.0,61.0,61.0
Frost Giant Ice Shaper,BPGotG,145.0,giant,legendary,L,17.0,6,18000.0,310.5,16.0,400.5,20.0,12.0,12.0,108.0,108.0
Frost Giant of Evil Water,BPGotG,146.0,giant,generic,N,11.0,4,7200.0,172.5,16.0,172.5,18.0,10.0,10.0,73.0,78.5
Frost Giant Skeleton,IDRotF,288.0,undead,generic,N,6.0,3,2300.0,102.0,14.0,102.0,14.0,9.0,9.0,50.0,50.0
Frost Giant Zombie,EGtW,288.0,undead,generic,N,9.0,4,5000.0,138.0,15.0,176.0,15.0,10.0,10.0,56.0,56.0
Frost Salamander,MPMotM,132.0,elemental,generic,N,9.0,4,5000.0,168.0,17.0,168.0,17.0,9.0,9.0,62.0,62.0
Frost Salamander,MToF,223.0,elemental,legacy,N,9.0,4,5000.0,168.0,17.0,168.0,17.0,9.0,9.0,62.0,62.0
