Book,Page,Size,Type,CR,PB,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
Fizban's Treasury of Dragons,189,Medium,Humanoid,3.0,2,18,18,14,10,13,14,4,4,2,0,1,2,6,6,4,0,1,2
Fizban's Treasury of Dragons,189,Small,Humanoid,2.0,2,10,14,12,13,11,17,0,2,1,1,0,3,0,4,1,1,0,5
Basic Rules,303,Gargantuan,Dragon,17.0,6,25,10,20,10,12,12,7,0,5,0,1,1,7,6,11,0,7,1
Fizban's Treasury of Dragons,192,Large,Dragon,4.0,2,17,10,15,8,10,10,3,0,2,-1,0,0,3,2,4,-1,2,0
,,Medium,Humanoid,5.0,3,15,13,17,14,16,18,2,1,3,2,3,4,2,1,3,2,6,7
Fizban's Treasury of Dragons,182,Large,Ooze,5.0,3,18,6,17,2,12,10,4,-2,3,-4,1,0,4,-2,3,-4,1,0
Fizban's Treasury of Dragons,183,Large,Construct,11.0,4,20,10,17,3,11,10,5,0,3,-4,0,0,5,0,3,-4,0,0
Fizban's Treasury of Dragons,184,Medium,Humanoid,8.0,3,19,13,18,12,14,17,4,1,4,1,2,3,4,1,7,4,5,6
Fizban's Treasury of Dragons,185,Medium,Humanoid,6.0,3,14,16,17,18,14,12,2,3,3,4,2,1,2,3,6,7,5,4
Fizban's Treasury of Dragons,185,Medium,Humanoid,7.0,3,20,11,18,10,12,16,5,0,4,0,1,3,8,0,7,0,4,6
,,Medium,Humanoid,1.0,2,9,16,13,11,10,12,-1,3,1,0,0,1,-1,3,1,0,2,1
,,Medium,Humanoid,5.0,3,11,16,14,12,12,14,0,3,2,1,1,2,0,3,2,1,3,2
Fizban's Treasury of Dragons,187,Huge,Monstrosity,6.0,3,18,14,17,5,12,6,4,2,3,-3,1,-2,7,2,6,-3,1,-2
Fizban's Treasury of Dragons,186,Large,Monstrosity,3.0,2,16,11,14,10,10,6,3,0,2,0,0,-2,5,0,4,0,0,-2
Fizban's Treasury of Dragons,190,Large,Dragon,2.0,2,16,15,12,8,13,10,3,2,1,-1,1,0,3,2,1,-1,1,0
,,Medium,Humanoid,7.0,3,11,18,14,13,12,16,0,4,2,1,1,3,0,4,2,1,4,3
,,Medium,Humanoid,2.0,2,11,16,13,11,11,13,0,3,1,0,0,1,0,3,1,0,2,1
,,Medium,Humanoid,3.0,2,18,14,14,16,10,8,4,2,2,3,0,-1,6,2,4,3,0,-1
Princes of the Apocalypse,209,Medium,Humanoid,7.0,3,19,10,18,11,8,12,4,0,4,0,-1,1,4,0,4,0,-1,1
,,Medium,Undead,1.0,2,15,11,16,10,12,10,2,0,3,0,1,0,2,0,3,0,3,0
Basic Rules,270,Small,Fiend,0.25,2,11,11,12,5,8,3,0,0,1,-3,-1,-4,0,0,1,-3,-1,-4
Basic Rules,304,Large,Monstrosity,6.0,3,16,16,18,13,14,12,3,3,4,1,2,1,3,3,4,1,2,1
,,Small,Humanoid,2.0,2,11,16,13,10,5,16,0,3,1,0,-3,3,0,3,1,0,-3,3
Basic Rules,307,Medium,Humanoid,0.25,2,10,14,10,11,11,12,0,2,0,0,0,1,0,2,0,0,0,1
Mordenkainen’s Tome of Foes,182,Medium,Humanoid,13.0,5,11,17,14,19,14,16,0,3,2,4,2,3,0,3,7,9,2,8
Mordenkainen Presents: Monsters of the Multiverse,99,Medium,Humanoid,13.0,5,11,17,14,19,14,16,0,3,2,4,2,3,0,3,7,9,2,8
Monster Manual,128,Medium,Humanoid,5.0,3,13,18,14,11,13,12,1,4,2,0,1,1,1,7,5,0,4,1
Mordenkainen’s Tome of Foes,183,Medium,Humanoid,18.0,6,15,20,16,18,15,18,2,5,3,4,2,4,2,11,9,4,2,10
Mordenkainen Presents: Monsters of the Multiverse,100,Medium,Humanoid,18.0,6,15,20,16,18,15,18,2,5,3,4,2,4,2,11,9,4,2,10
,,Medium,Humanoid,4.0,2,13,18,14,11,13,14,1,4,2,0,1,2,1,6,4,0,3,2
Mordenkainen’s Tome of Foes,184,Medium,Humanoid,9.0,4,14,19,15,12,14,13,2,4,2,1,2,1,2,8,6,1,6,1
Mordenkainen Presents: Monsters of the Multiverse,101,Medium,Humanoid,9.0,4,14,19,15,12,14,13,2,4,2,1,2,1,2,8,6,1,6,1
Mordenkainen Presents: Monsters of the Multiverse,102,Medium,Humanoid,14.0,5,12,15,14,16,21,20,1,2,2,3,5,5,1,2,7,3,10,10
Mordenkainen’s Tome of Foes,184,Medium,Humanoid,14.0,5,12,15,14,16,21,20,1,2,2,3,5,5,1,2,7,3,10,10
Monster Manual,129,Medium,Humanoid,7.0,3,9,14,10,17,13,12,-1,2,0,3,1,1,-1,2,0,3,1,1
Mordenkainen’s Tome of Foes,186,Medium,Humanoid,20.0,6,12,18,16,17,21,22,1,4,3,3,5,6,1,4,9,3,11,12
Mordenkainen Presents: Monsters of the Multiverse,104,Medium,Humanoid,20.0,6,12,18,16,17,21,22,1,4,3,3,5,6,1,4,9,3,11,12
Monster Manual,129,Medium,Humanoid,8.0,3,10,14,12,13,17,18,0,2,1,1,3,4,0,2,4,1,6,7
Mordenkainen’s Tome of Foes,187,Medium,Humanoid,11.0,4,14,21,16,12,14,13,2,5,3,1,2,1,2,9,7,1,6,1
Mordenkainen Presents: Monsters of the Multiverse,105,Medium,Humanoid,11.0,4,14,21,16,12,14,13,2,5,3,1,2,1,2,9,7,1,6,1
,,Medium,Plant,0.125,2,10,14,10,2,6,1,0,2,0,-4,-2,-5,0,2,0,-4,-2,-5
,,Medium,Undead,3.0,2,12,16,16,3,9,5,1,3,3,-4,-1,-3,1,5,3,-4,-1,-3
,,Medium,Undead,4.0,2,15,16,16,9,9,16,2,3,3,-1,-1,3,2,5,5,-1,-1,3
,,Medium,Undead,2.0,2,16,8,16,3,9,5,3,-1,3,-4,-1,-3,3,-1,3,-4,-1,-3
,,Medium,Undead,9.0,4,17,12,16,9,14,12,3,1,3,-1,2,1,3,1,7,-1,6,1
Basic Rules,398,Medium,Humanoid,2.0,2,10,12,13,12,15,11,0,1,1,1,2,0,0,1,1,1,2,0
Guildmasters' Guide to Ravnica,239,Medium,Humanoid,7.0,3,11,15,16,10,20,14,0,2,3,0,5,2,0,5,6,0,8,2
Basic Rules,304,Medium,Fey,1.0,2,10,12,11,14,15,18,0,1,0,2,2,4,0,1,0,2,2,4
Basic Rules,305,Medium,Humanoid,1.0,2,14,11,14,11,10,9,2,0,2,0,0,-1,2,0,2,0,0,-1
Mordenkainen’s Tome of Foes,188,Medium,Humanoid,12.0,4,20,5,19,15,14,13,5,-3,4,2,2,1,5,-3,8,2,6,1
Mordenkainen Presents: Monsters of the Multiverse,107,Medium,Humanoid,12.0,4,20,5,19,15,14,13,5,-3,4,2,2,1,5,-3,8,2,6,1
Mordenkainen Presents: Monsters of the Multiverse,112,Medium,Construct,2.0,2,17,7,12,5,5,5,3,-2,1,-3,-3,-3,3,-2,1,-3,-3,-3
Mordenkainen’s Tome of Foes,188,Medium,Construct,2.0,2,17,7,12,5,5,5,3,-2,1,-3,-3,-3,3,-2,1,-3,-3,-3
,,Medium,Humanoid,2.0,2,14,11,14,11,10,9,2,0,2,0,0,-1,2,0,2,0,0,-1
Mordenkainen Presents: Monsters of the Multiverse,107,Medium,Humanoid,2.0,2,14,11,14,11,10,9,2,0,2,0,0,-1,2,0,2,0,0,-1
Mordenkainen’s Tome of Foes,189,Medium,Humanoid,2.0,2,11,17,14,15,10,12,0,3,2,2,0,1,0,3,2,2,2,1
Mordenkainen Presents: Monsters of the Multiverse,108,Medium,Humanoid,2.0,2,11,17,14,15,10,12,0,3,2,2,0,1,0,3,2,2,2,1
Mordenkainen Presents: Monsters of the Multiverse,112,Medium,Construct,3.0,2,18,7,12,5,5,5,4,-2,1,-3,-3,-3,4,-2,1,-3,-3,-3
Mordenkainen’s Tome of Foes,190,Medium,Construct,3.0,2,18,7,12,5,5,5,4,-2,1,-3,-3,-3,4,-2,1,-3,-3,-3
,,Medium,Humanoid,1.0,2,11,16,10,11,10,12,0,3,0,0,0,1,0,3,0,0,0,1
Mordenkainen Presents: Monsters of the Multiverse,109,Medium,Humanoid,1.0,2,16,16,10,11,10,12,3,3,0,0,0,1,3,3,0,0,0,1
,,Medium,Plant,0.5,2,14,11,14,2,6,1,2,0,2,-4,-2,-5,2,0,2,-4,-2,-5
,,Medium,Humanoid,2.0,2,10,16,12,12,10,13,0,3,1,1,0,1,0,3,1,1,0,1
,,Medium,Humanoid,2.0,2,18,11,14,11,10,9,4,0,2,0,0,-1,4,0,2,0,0,-1
Mordenkainen Presents: Monsters of the Multiverse,110,Medium,Humanoid,2.0,2,18,11,14,11,10,9,4,0,2,0,0,-1,4,0,2,0,0,-1
Mordenkainen Presents: Monsters of the Multiverse,111,Medium,Humanoid,6.0,3,18,11,17,12,12,14,4,0,3,1,1,2,4,0,3,1,1,2
Mordenkainen’s Tome of Foes,192,Medium,Humanoid,6.0,3,18,11,17,12,12,14,4,0,3,1,1,2,4,0,3,1,1,2
,,Medium,Humanoid,2.0,2,16,11,14,11,10,9,3,0,2,0,0,-1,3,0,2,0,0,-1
Mordenkainen Presents: Monsters of the Multiverse,111,Medium,Humanoid,2.0,2,16,11,14,11,10,9,3,0,2,0,0,-1,3,0,2,0,0,-1
Baldur's Gate: Descent into Avernus,38,Medium,Humanoid,4.0,2,17,10,15,13,16,18,3,0,2,1,3,4,3,0,2,1,3,4
Van Richten’s Guide to Ravenloft,233,Medium,Undead,10.0,4,18,14,16,11,15,16,4,2,3,0,2,3,4,2,7,0,2,3
Monster Manual,225,Medium,Construct,0.25,2,11,13,12,6,10,7,0,1,1,-2,0,-2,0,1,1,-2,0,-2
,,Medium,Humanoid,9.0,4,18,15,18,13,12,10,4,2,4,1,1,0,8,2,8,1,1,0
Eberron: Rising from the Last War,292,Medium,Fey,6.0,3,11,14,12,17,16,18,0,2,1,3,3,4,0,2,1,6,6,4
Basic Rules,330,Small,Elemental,0.5,2,5,14,10,9,11,10,-3,2,0,-1,0,0,-3,2,0,-1,0,0
Mordenkainen Presents: Monsters of the Multiverse,113,Medium,Fiend,4.0,2,6,19,16,16,15,14,-2,4,3,3,2,2,-2,4,3,3,2,2
Mordenkainen’s Tome of Foes,132,Medium,Fiend,4.0,2,6,19,16,16,15,14,-2,4,3,3,2,2,-2,4,3,3,2,2
Eberron: Rising from the Last War,288,Medium,Aberration,24.0,7,26,21,22,26,23,24,8,5,6,8,6,7,8,5,6,15,13,14
Icewind Dale: Rime of the Frostmaiden,270,Medium,Construct,1.0,2,10,11,12,16,13,15,0,0,1,3,1,2,0,0,1,5,3,2
Basic Rules,124,Small,Beast,0.0,2,6,15,10,2,14,7,-2,2,0,-4,2,-2,-2,2,0,-4,2,-2
Basic Rules,125,Large,Elemental,5.0,3,20,8,20,5,10,5,5,-1,5,-3,0,-3,5,-1,5,-3,0,-3
Princes of the Apocalypse,212,Medium,Elemental,7.0,3,18,10,17,8,10,10,4,0,3,-1,0,0,4,0,3,-1,0,0
Mordenkainen Presents: Monsters of the Multiverse,122,Medium,Elemental,7.0,3,18,10,17,8,10,10,4,0,3,-1,0,0,4,0,3,-1,0,0
Mythic Odysseys of Theros,220,Large,Fiend,6.0,3,19,17,14,12,11,16,4,3,2,1,0,3,4,3,5,1,0,6
,,Large,Monstrosity,1.0,2,11,16,12,12,14,11,0,3,1,1,2,0,0,3,1,1,2,0
Basic Rules,310,Large,Elemental,11.0,4,22,12,24,16,15,16,6,1,7,3,2,3,6,1,7,7,6,7
Fizban's Treasury of Dragons,193,Small,Monstrosity,5.0,3,14,20,16,3,13,5,2,5,3,-4,1,-3,2,8,3,-4,4,-3
Fizban's Treasury of Dragons,193,Tiny,Monstrosity,2.0,2,8,17,13,1,10,5,-1,3,1,-5,0,-3,-1,5,1,-5,2,-3
Mordenkainen Presents: Monsters of the Multiverse,114,Medium,Undead,12.0,4,7,8,9,14,19,16,-2,-1,-1,2,4,3,-2,-1,-1,2,8,3
Mordenkainen’s Tome of Foes,193,Medium,Undead,12.0,4,7,8,9,14,19,16,-2,-1,-1,2,4,3,-2,-1,-1,2,8,3
Volo's Guide to Monsters,174,Large,Aberration,14.0,5,15,10,20,21,19,24,2,0,5,5,4,7,2,0,5,10,9,12
Mordenkainen Presents: Monsters of the Multiverse,120,Large,Aberration,14.0,5,15,10,20,21,19,24,2,0,5,5,4,7,2,0,5,10,9,12
Fizban's Treasury of Dragons,194,Gargantuan,Aberration,22.0,7,27,13,25,21,19,24,8,1,7,5,4,7,8,1,14,12,11,14
Mordenkainen Presents: Monsters of the Multiverse,199,Huge,Ooze,10.0,4,15,16,21,22,13,18,2,3,5,6,1,4,2,3,5,10,1,8
Mordenkainen’s Tome of Foes,219,Huge,Ooze,10.0,4,15,16,21,22,13,18,2,3,5,6,1,4,2,3,5,10,1,8
Mordenkainen’s Tome of Foes,200,Gargantuan,Elemental,23.0,7,23,28,23,2,21,18,6,9,6,-4,5,4,6,9,6,-4,12,11
Mordenkainen Presents: Monsters of the Multiverse,121,Gargantuan,Elemental,23.0,7,23,28,23,2,21,18,6,9,6,-4,5,4,6,9,6,-4,12,11
Monstrous Compendium Volume One: Spelljammer Creatures,6,Medium,Undead,15.0,5,11,18,16,19,14,12,0,4,3,4,2,1,0,4,3,9,7,1
Basic Rules,125,Huge,Beast,4.0,2,22,9,17,3,11,6,6,-1,3,-4,0,-2,6,-1,3,-4,0,-2
Princes of the Apocalypse,202,Medium,Humanoid,5.0,3,13,15,14,11,18,10,1,2,2,0,4,0,1,2,2,0,4,0
Basic Rules,125,Large,Beast,0.25,2,16,10,12,2,10,6,3,0,1,-4,0,-2,3,0,1,-4,0,-2
The Wild Beyond the Witchlight,224,Medium,Humanoid,2.0,2,9,13,16,9,10,11,-1,1,3,-1,0,0,1,1,5,-1,0,0
Fizban's Treasury of Dragons,197,Medium,Dragon,2.0,2,15,12,15,14,12,14,2,1,2,2,1,2,2,3,4,2,3,4
Monster Manual,130,Huge,Celestial,23.0,7,30,21,30,21,22,27,10,5,10,5,6,8,17,5,10,12,13,15
Volo's Guide to Monsters,213,Medium,Humanoid,5.0,3,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,6,4,0
Mordenkainen Presents: Monsters of the Multiverse,261,Medium,Humanoid,5.0,3,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,6,4,0
The Wild Beyond the Witchlight,217,Medium,Fey,6.0,3,20,13,20,13,10,17,5,1,5,1,0,3,5,1,8,4,3,6
Basic Rules,276,Medium,Fiend,12.0,4,18,16,18,14,14,18,4,3,4,2,2,4,4,7,8,2,6,8
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,20,Gargantuan,Aberration,12.0,4,24,8,20,1,10,1,7,-1,5,-5,0,-5,7,-1,5,-5,0,-5
Princes of the Apocalypse,200,Medium,Humanoid,2.0,2,15,13,14,8,11,13,2,1,2,-1,0,1,2,1,2,-1,0,1
Princes of the Apocalypse,200,Medium,Humanoid,3.0,2,12,15,14,10,11,16,1,2,2,0,0,3,1,2,2,0,0,3
Basic Rules,308,Medium,Monstrosity,2.0,2,14,15,13,7,12,8,2,2,1,-2,1,-1,2,2,1,-2,1,-1
Basic Rules,308,Large,Giant,4.0,2,21,8,17,6,10,8,5,-1,3,-2,0,-1,5,-1,3,-2,0,-1
Lost Mine of Phandelver,57,Medium,Humanoid,1.0,2,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,5,3,0
Volo's Guide to Monsters,214,Medium,Humanoid,9.0,4,9,14,12,17,12,11,-1,2,1,3,1,0,-1,2,1,7,5,0
Mordenkainen Presents: Monsters of the Multiverse,262,Medium,Humanoid,9.0,4,9,14,12,17,12,11,-1,2,1,3,1,0,-1,2,1,7,5,0
Eberron: Rising from the Last War,293,Tiny,Construct,0.125,2,6,16,13,8,12,7,-2,3,1,-1,1,-2,-2,3,1,-1,1,-2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,21,Large,Aberration,10.0,4,21,6,23,7,13,7,5,-2,6,-2,1,-2,5,-2,6,-2,1,-2
Infernal Machine Rebuild,64,Medium,Undead,9.0,4,16,14,18,18,17,18,3,2,4,4,3,4,7,2,8,4,7,8
Fizban's Treasury of Dragons,199,Large,Aberration,8.0,3,16,10,16,14,14,16,3,0,3,2,2,3,3,0,6,2,5,3
Curse of Strahd,230,Medium,Humanoid,8.0,3,14,19,16,16,11,17,2,4,3,3,0,3,2,4,3,3,3,3
,,Medium,Humanoid,4.0,2,14,15,16,11,16,15,2,2,3,0,3,2,2,4,3,0,5,2
Eberron: Rising from the Last War,289,Medium,Beast,0.25,2,12,18,10,4,11,4,1,4,0,-3,0,-3,1,4,0,-3,0,-3
Princes of the Apocalypse,207,Medium,Humanoid,2.0,2,14,11,14,11,11,15,2,0,2,0,0,2,2,0,2,0,0,2
Princes of the Apocalypse,189,Medium,Humanoid,1.0,2,14,14,12,11,10,14,2,2,1,0,0,2,2,2,1,0,0,2
Guildmasters' Guide to Ravnica,199,Large,Celestial,5.0,3,19,16,17,10,17,14,4,3,3,0,3,2,4,6,3,0,6,5
,,Large,Monstrosity,1.0,2,15,16,14,2,10,3,2,3,2,-4,0,-4,2,3,2,-4,0,-4
Mordenkainen Presents: Monsters of the Multiverse,231,Large,Monstrosity,1.0,2,15,16,14,2,10,3,2,3,2,-4,0,-4,2,3,2,-4,0,-4
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,22,Large,Aberration,5.0,3,16,16,11,14,14,11,3,3,0,2,2,0,3,3,0,5,5,0
,,Medium,Humanoid,5.0,3,16,10,16,10,15,14,3,0,3,0,2,2,3,0,3,0,2,2
Baldur's Gate: Descent into Avernus,236,Large,Construct,8.0,3,20,9,20,7,10,5,5,-1,5,-2,0,-3,5,-1,5,-2,0,-3
Basic Rules,126,Large,Elemental,5.0,3,10,17,16,6,10,7,0,3,3,-2,0,-2,0,3,3,-2,0,-2
Princes of the Apocalypse,213,Medium,Elemental,7.0,3,13,18,15,9,10,10,1,4,2,-1,0,0,1,4,2,-1,0,0
Mordenkainen Presents: Monsters of the Multiverse,123,Medium,Elemental,7.0,3,13,18,15,9,10,10,1,4,2,-1,0,0,1,4,2,-1,0,0
Basic Rules,126,Huge,Giant,9.0,4,25,9,23,10,14,13,7,-1,6,0,2,1,7,3,10,0,2,5
Mordenkainen Presents: Monsters of the Multiverse,124,Huge,Giant,14.0,5,27,9,23,8,10,11,8,-1,6,-1,0,0,8,4,11,-1,0,5
Volo's Guide to Monsters,147,Huge,Giant,14.0,5,27,9,23,8,10,11,8,-1,6,-1,0,0,8,4,11,-1,0,5
Monster Manual,265,Medium,Elemental,1.0,2,12,14,11,7,10,8,1,2,0,-2,0,-1,1,2,0,-2,0,-1
Guildmasters' Guide to Ravnica,231,Medium,Humanoid,7.0,3,16,10,14,11,17,13,3,0,2,0,3,1,3,0,5,0,6,1
Guildmasters' Guide to Ravnica,190,Medium,Celestial,12.0,4,22,15,17,12,14,23,6,2,3,1,2,6,10,2,3,1,6,10
Volo's Guide to Monsters,143,Medium,Humanoid,1.0,2,13,11,12,9,11,14,1,0,1,-1,0,2,1,0,1,-1,0,2
Mordenkainen Presents: Monsters of the Multiverse,125,Medium,Elemental,1.0,2,13,11,12,9,11,14,1,0,1,-1,0,2,1,0,1,-1,0,2
Mordenkainen Presents: Monsters of the Multiverse,125,Medium,Elemental,0.5,2,10,13,12,7,11,8,0,1,1,-2,0,-1,0,1,1,-2,0,-1
Volo's Guide to Monsters,142,Medium,Humanoid,0.5,2,10,13,12,7,11,8,0,1,1,-2,0,-1,0,1,1,-2,0,-1
Strixhaven: A Curriculum of Chaos,191,Medium or Small,Humanoid,0.5,2,8,12,13,12,10,11,-1,1,1,1,0,0,-1,1,1,1,0,0
Baldur's Gate: Descent into Avernus,232,Medium,Humanoid,0.5,2,16,11,13,10,12,11,3,0,1,0,1,0,3,0,1,0,1,0
Acquisitions Incorporated,200,Medium,Humanoid,4.0,2,10,14,10,17,13,13,0,2,0,3,1,1,0,2,0,5,3,1
Mordenkainen Presents: Monsters of the Multiverse,126,Large,Elemental,3.0,2,17,5,20,3,10,5,3,-3,5,-4,0,-3,3,-3,5,-4,0,-3
Volo's Guide to Monsters,144,Large,Elemental,3.0,2,17,5,20,3,10,5,3,-3,5,-4,0,-3,3,-3,5,-4,0,-3
Basic Rules,127,Tiny,Undead,4.0,2,1,17,14,16,10,11,-5,3,2,3,0,0,-5,3,2,3,0,0
Princes of the Apocalypse,201,Medium,Humanoid,6.0,3,10,14,16,11,10,16,0,2,3,0,0,3,0,2,3,0,0,3
Mythic Odysseys of Theros,223,Large,Monstrosity,3.0,2,19,16,14,6,14,10,4,3,2,-2,2,0,6,3,4,-2,2,0
Basic Rules,127,Medium,Construct,5.0,3,19,9,18,6,10,5,4,-1,4,-2,0,-3,4,-1,4,-2,0,-3
Volo's Guide to Monsters,153,Medium,Humanoid,9.0,4,20,10,19,11,13,12,5,0,4,0,1,1,5,0,8,0,5,1
Mordenkainen Presents: Monsters of the Multiverse,127,Medium,Fiend,9.0,4,20,14,19,11,13,12,5,2,4,0,1,1,5,2,8,0,5,1
Mythic Odysseys of Theros,222,Medium,Undead,3.0,2,8,18,13,11,12,10,-1,4,1,0,1,0,-1,4,1,0,1,0
Monster Manual,135,Small,Aberration,0.125,2,6,15,10,14,14,11,-2,2,0,2,2,0,-2,2,0,2,2,0
Guildmasters' Guide to Ravnica,242,Medium,Humanoid,5.0,3,10,15,12,20,9,14,0,2,1,5,-1,2,0,5,1,8,-1,2
Guildmasters' Guide to Ravnica,208,Large,Elemental,7.0,3,15,18,15,6,10,7,2,4,2,-2,0,-2,2,4,2,-2,0,-2
Guildmasters' Guide to Ravnica,203,Medium,Aberration,3.0,2,9,20,12,2,15,16,-1,5,1,-4,2,3,-1,5,1,-4,2,3
,,Small,Beast,0.0,2,8,14,11,5,12,6,-1,2,0,-3,1,-2,-1,2,0,-3,1,-2
The Wild Beyond the Witchlight,121,Medium,Construct,0.125,2,10,10,13,1,3,1,0,0,1,-5,-4,-5,0,0,1,-5,-4,-5
Basic Rules,128,Tiny,Beast,0.125,2,4,18,11,2,12,5,-3,4,0,-4,1,-3,-3,4,0,-4,1,-3
Basic Rules,128,Small,Construct,0.25,2,12,15,11,1,5,1,1,2,0,-5,-3,-5,1,4,0,-5,-3,-5
Mordenkainen's Fiendish Folio Volume 1,10,Huge,Giant,11.0,4,27,10,22,12,16,16,8,0,6,1,3,3,8,0,10,1,7,7
Monster Manual,136,Huge,Giant,8.0,3,23,10,20,9,14,6,6,0,5,-1,2,-2,6,0,5,-1,2,-2
Mordenkainen's Fiendish Folio Volume 1,9,Medium,Fey,3.0,2,14,16,17,12,11,18,2,3,3,1,0,4,2,3,3,1,0,4
Icewind Dale: Rime of the Frostmaiden,288,Tiny,Beast,0.0,2,2,16,11,3,12,6,-4,3,0,-4,1,-2,-4,3,0,-4,1,-2
Strixhaven: A Curriculum of Chaos,192,Small,Construct,0.25,2,12,14,13,7,10,5,1,2,1,-2,0,-3,1,2,1,-2,0,-3
Monstrous Compendium Volume One: Spelljammer Creatures,7,Large,Construct,9.0,4,1,13,16,18,18,11,-5,1,3,4,4,0,-5,1,3,4,4,0
Mordenkainen Presents: Monsters of the Multiverse,129,Large,Fiend,23.0,7,29,12,25,26,24,26,9,1,7,8,7,8,9,8,14,15,14,8
,,Large,Fiend,23.0,7,29,12,25,26,24,26,9,1,7,8,7,8,9,8,14,15,14,8
Basic Rules,128,Tiny,Beast,0.0,2,1,13,8,1,8,3,-5,1,-1,-5,-1,-4,-5,1,-1,-5,-1,-4
Volo's Guide to Monsters,145,Huge,Monstrosity,10.0,4,23,13,20,2,12,5,6,1,5,-4,1,-3,6,1,9,-4,5,-3
Mordenkainen Presents: Monsters of the Multiverse,130,Huge,Monstrosity,10.0,4,23,13,20,2,12,5,6,1,5,-4,1,-3,6,1,9,-4,5,-3
Guildmasters' Guide to Ravnica,231,Medium,Humanoid,0.25,2,15,10,14,10,13,12,2,0,2,0,1,1,2,0,2,0,1,1
Icewind Dale: Rime of the Frostmaiden,288,Medium,Humanoid,5.0,3,12,13,16,10,16,9,1,1,3,0,3,-1,1,1,3,3,6,-1
Basic Rules,128,Huge,Giant,8.0,3,23,9,21,9,10,12,6,-1,5,-1,0,1,6,-1,8,-1,3,4
Mordenkainen Presents: Monsters of the Multiverse,131,Huge,Giant,12.0,4,25,9,24,9,10,12,7,-1,7,-1,0,1,11,-1,11,-1,4,1
Volo's Guide to Monsters,148,Huge,Giant,12.0,4,25,9,24,9,10,12,7,-1,7,-1,0,1,11,-1,11,-1,4,1
Icewind Dale: Rime of the Frostmaiden,288,Huge,Undead,6.0,3,23,9,15,6,8,5,6,-1,2,-2,-1,-3,6,-1,2,-2,-1,-3
Explorer's Guide to Wildemount,288,Huge,Undead,9.0,4,23,6,21,3,6,5,6,-2,5,-4,-2,-3,6,-2,5,-4,2,-3
Mordenkainen Presents: Monsters of the Multiverse,132,Huge,Elemental,9.0,4,20,12,18,7,11,7,5,1,4,-2,0,-2,5,1,8,-2,4,-2
Mordenkainen’s Tome of Foes,223,Huge,Elemental,9.0,4,20,12,18,7,11,7,5,1,4,-2,0,-2,5,1,8,-2,4,-2
Explorer's Guide to Wildemount,289,Gargantuan,Monstrosity,17.0,6,28,8,22,1,5,5,9,-1,6,-5,-3,-3,9,-1,12,-5,3,-3
,,Medium,Humanoid,2.0,2,14,10,13,11,18,15,2,0,1,0,4,2,2,0,1,0,6,4
Monstrous Compendium Volume One: Spelljammer Creatures,8,Medium,Plant,0.125,2,12,10,14,1,6,1,1,0,2,-5,-2,-5,1,0,2,-5,-2,-5
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,23,Large,Aberration,4.0,2,16,10,15,12,15,7,3,0,2,1,2,-2,3,0,2,1,2,-2
Strixhaven: A Curriculum of Chaos,193,Gargantuan,Dragon,23.0,7,26,14,25,18,20,26,8,2,7,4,5,8,8,9,14,4,12,15
Monster Manual,139,Medium,Elemental,6.0,3,20,14,20,11,12,11,5,2,5,0,1,0,5,2,5,0,1,0
Van Richten’s Guide to Ravenloft,234,Medium,Undead,6.0,3,8,14,10,10,12,18,-1,2,0,0,1,4,-1,2,0,0,4,4
Critical Role: Call of the Netherdeep,188,Medium,Humanoid,3.0,2,8,14,8,16,15,11,-1,2,-1,3,2,0,-1,2,-1,5,4,0
Critical Role: Call of the Netherdeep,190,Medium,Humanoid,5.0,3,8,14,10,18,15,11,-1,2,0,4,2,0,-1,2,0,7,5,0
Critical Role: Call of the Netherdeep,193,Medium,Humanoid,8.0,3,8,14,10,20,15,11,-1,2,0,5,2,0,-1,2,0,8,5,0
Icewind Dale: Rime of the Frostmaiden,301,Medium,Construct,3.0,2,10,18,18,12,10,7,0,4,4,1,0,-2,0,4,4,1,0,-2
Guildmasters' Guide to Ravnica,243,Medium,Humanoid,5.0,3,10,17,14,19,10,13,0,3,2,4,0,1,0,6,2,4,0,1
Guildmasters' Guide to Ravnica,209,Medium,Elemental,1.0,2,14,10,17,3,10,5,2,0,3,-4,0,-3,2,0,3,-4,0,-3
Princes of the Apocalypse,208,Medium,Humanoid,9.0,4,15,15,16,12,18,13,2,2,3,1,4,1,2,2,3,1,4,1
,,Medium,Humanoid,15.0,5,16,16,18,12,20,14,3,3,4,1,5,2,3,3,4,1,5,2
Basic Rules,129,Medium,Elemental,2.0,2,15,11,16,6,11,7,2,0,3,-2,0,-2,2,0,3,-2,0,-2
,,Medium,Humanoid,2.0,2,11,14,12,11,12,17,0,2,1,0,1,3,0,4,1,0,1,5
