Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder
Chitine,VGtM,131.0,monstrosity,legacy,N,0.5,2,100.0,18.0,14.0,18.0,14.0,4.0,4.0,13.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Choldrith,MPMotM,77.0,monstrosity,generic,N,3.0,2,700.0,66.0,15.0,66.0,16.0,5.0,5.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Choldrith,VGtM,132.0,monstrosity,legacy,N,3.0,2,700.0,66.0,15.0,66.0,16.0,5.0,5.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clockwork Bronze Scout,MPMotM,79.0,construct,generic,N,1.0,2,200.0,36.0,13.0,36.0,17.0,5.0,5.0,15.333333,15.333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Bronze Scout,MToF,125.0,construct,legacy,N,1.0,2,200.0,18.0,13.0,18.0,17.0,5.0,5.0,15.333333,15.333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Iron Cobra,MPMotM,79.0,construct,generic,N,4.0,2,1100.0,91.0,13.0,101.0,15.0,5.0,5.0,6.5,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Iron Cobra,MToF,125.0,construct,legacy,N,4.0,2,1100.0,45.5,13.0,111.0,15.0,5.0,5.0,6.5,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Oaken Bolter,MPMotM,80.0,construct,generic,N,5.0,3,1800.0,117.0,16.0,117.0,18.0,7.0,7.0,31.666666,31.666666,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Oaken Bolter,MToF,126.0,construct,legacy,N,5.0,3,1800.0,58.5,16.0,117.0,18.0,7.0,7.0,31.666666,31.666666,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Stone Defender,MPMotM,80.0,construct,generic,N,4.0,2,1100.0,105.0,16.0,105.0,20.0,6.0,6.0,11.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Clockwork Stone Defender,MToF,126.0,construct,legacy,N,4.0,2,1100.0,52.5,16.0,105.0,20.0,6.0,6.0,11.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Cloud Giant Smiling One,MPMotM,81.0,giant,generic,N,11.0,4,7200.0,250.0,15.0,250.0,17.0,12.0,12.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cloud Giant Smiling One,VGtM,146.0,giant,legacy,N,11.0,4,7200.0,262.5,15.0,262.5,17.0,12.0,12.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Corpse Flower,MPMotM,82.0,plant,generic,N,8.0,3,3900.0,127.5,12.0,160.5,13.0,5.0,5.0,58.5,58.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Corpse Flower,MToF,127.0,plant,legacy,N,8.0,3,3900.0,127.5,12.0,160.5,13.0,5.0,5.0,69.0,69.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darkling,MPMotM,84.0,fey,generic,N,0.5,2,100.0,13.5,14.0,13.5,14.0,5.0,5.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darkling,VGtM,134.0,fey,legacy,N,0.5,2,100.0,13.5,14.0,13.5,14.0,5.0,5.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darkling Elder,MPMotM,84.0,fey,generic,N,2.0,2,450.0,27.5,15.0,27.5,15.0,5.0,5.0,27.0,31.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darkling Elder,VGtM,134.0,fey,legacy,N,2.0,2,450.0,27.5,15.0,27.5,15.0,5.0,5.0,27.0,31.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Death Kiss,MPMotM,85.0,aberration,generic,N,10.0,4,5900.0,142.5,15.0,208.5,17.0,8.0,8.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Death Kiss,VGtM,124.0,aberration,legacy,N,10.0,4,5900.0,161.5,16.0,227.5,18.0,8.0,8.0,58.5,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Deathlock,MPMotM,86.0,undead,generic,N,4.0,2,1100.0,36.0,15.0,72.0,15.0,5.0,5.0,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deathlock,MToF,128.0,undead,legacy,N,4.0,2,1100.0,36.0,15.0,72.0,15.0,5.0,5.0,22.333334,22.333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deathlock Mastermind,MPMotM,87.0,undead,generic,N,8.0,3,3900.0,110.0,16.0,165.0,18.0,6.0,6.0,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deathlock Mastermind,MToF,129.0,undead,legacy,N,8.0,3,3900.0,110.0,16.0,165.0,16.0,6.0,6.0,34.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deathlock Wight,MPMotM,87.0,undead,generic,N,3.0,2,700.0,37.5,15.0,75.0,15.0,5.0,5.0,24.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deathlock Wight,MToF,128.0,undead,legacy,N,3.0,2,700.0,37.5,15.0,75.0,15.0,5.0,5.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Deep Rothé,MPMotM,71.0,beast,generic,N,0.25,2,50.0,13.0,10.0,13.0,10.0,6.0,6.0,7.5,9.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deep Rothé,VGtM,207.0,beast,legacy,N,0.25,2,50.0,13.0,10.0,13.0,10.0,6.0,6.0,7.5,9.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deep Scion,MPMotM,88.0,monstrosity,generic,N,3.0,2,700.0,67.5,11.0,67.5,11.0,6.0,6.0,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deep Scion,VGtM,135.0,humanoid,legacy,N,3.0,2,700.0,67.5,11.0,67.5,11.0,6.0,6.0,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deinonychus,MPMotM,95.0,beast,generic,N,1.0,2,200.0,26.0,13.0,26.0,13.0,4.0,5.0,19.5,21.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deinonychus,VGtM,139.0,beast,legacy,N,1.0,2,200.0,26.0,13.0,26.0,13.0,4.0,5.0,19.5,21.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Demogorgon,MPMotM,90.0,fiend,unique,LL,26.0,8,90000.0,464.0,22.0,730.0,26.0,17.0,17.0,119.0,119.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Demogorgon,MToF,144.0,fiend,legacy,LL,26.0,8,90000.0,406.0,22.0,657.5,26.0,17.0,17.0,119.0,119.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Derro,MPMotM,91.0,aberration,generic,N,0.25,2,50.0,13.5,13.0,13.5,15.0,4.0,4.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Derro,MToF,159.0,aberration,legacy,N,0.25,2,50.0,13.5,13.0,13.5,15.0,4.0,4.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Derro Savant,MPMotM,92.0,aberration,generic,N,3.0,2,700.0,36.0,13.0,36.0,15.0,4.0,4.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Derro Savant,MToF,159.0,humanoid,legacy,N,3.0,2,700.0,36.0,13.0,36.0,15.0,4.0,4.0,46.666668,46.666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Devourer,MPMotM,93.0,undead,generic,N,13.0,5,10000.0,189.0,16.0,236.3,16.0,10.0,10.0,95.333336,95.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Devourer,VGtM,138.0,fiend,legacy,N,13.0,5,10000.0,178.5,16.0,223.1,16.0,10.0,10.0,95.333336,95.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Dhergoloth,MPMotM,94.0,fiend,generic,N,7.0,3,2900.0,119.0,15.0,178.5,17.0,6.0,6.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Dhergoloth,MToF,248.0,fiend,legacy,N,7.0,3,2900.0,119.0,15.0,178.5,17.0,6.0,6.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Dimetrodon,MPMotM,95.0,beast,generic,N,0.25,2,50.0,19.5,12.0,19.5,12.0,4.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dimetrodon,VGtM,139.0,beast,legacy,N,0.25,2,50.0,19.5,12.0,19.5,12.0,4.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dolphin,MPMotM,97.0,beast,generic,N,0.125,2,25.0,11.0,12.0,11.0,12.0,4.0,4.0,5.5,6.6666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dolphin,VGtM,208.0,beast,legacy,N,0.125,2,25.0,11.0,12.0,11.0,12.0,4.0,4.0,5.5,6.6666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Draegloth,MPMotM,98.0,fiend,generic,N,7.0,3,2900.0,123.5,15.0,185.3,15.0,8.0,8.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Draegloth,VGtM,141.0,fiend,legacy,N,7.0,3,2900.0,123.5,15.0,185.3,15.0,8.0,8.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Drow Arachnomancer,MPMotM,99.0,humanoid,generic,N,13.0,5,10000.0,162.5,15.0,162.5,17.0,8.0,8.0,130.5,130.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Drow Arachnomancer,MToF,182.0,humanoid,legacy,N,13.0,5,10000.0,162.5,15.0,162.5,17.0,7.0,7.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Drow Favored Consort,MPMotM,100.0,humanoid,generic,N,18.0,6,20000.0,240.0,18.0,240.0,23.0,10.0,10.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow Favored Consort,MToF,183.0,humanoid,legacy,N,18.0,6,20000.0,225.0,18.0,225.0,25.0,11.0,11.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow House Captain,MPMotM,101.0,humanoid,generic,N,9.0,4,5000.0,162.5,16.0,162.5,23.0,8.0,8.0,49.5,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow House Captain,MToF,184.0,humanoid,legacy,N,9.0,4,5000.0,162.5,16.0,162.5,19.0,8.0,8.0,49.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow Inquisitor,MPMotM,102.0,humanoid,generic,N,14.0,5,11500.0,149.5,16.0,149.5,18.0,10.0,10.0,89.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow Inquisitor,MToF,184.0,humanoid,legacy,N,14.0,5,11500.0,143.0,16.0,143.0,20.0,10.0,10.0,98.0,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow Shadowblade,MPMotM,105.0,humanoid,generic,N,11.0,4,7200.0,150.0,17.0,150.0,21.0,9.0,11.0,82.5,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Drow Shadowblade,MToF,187.0,humanoid,legacy,N,11.0,4,7200.0,150.0,17.0,150.0,19.0,9.0,11.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Duergar Despot,MPMotM,107.0,humanoid,generic,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,9.0,9.0,103.5,108.166664,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Despot,MToF,188.0,humanoid,legacy,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,8.0,8.0,144.0,148.66667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Hammerer,MPMotM,112.0,construct,generic,N,2.0,2,450.0,33.0,17.0,33.0,17.0,5.0,5.0,16.5,26.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Hammerer,MToF,188.0,construct,legacy,N,2.0,2,450.0,33.0,17.0,33.0,17.0,5.0,5.0,16.5,21.833334,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Kavalrachni,MPMotM,107.0,humanoid,generic,N,2.0,2,450.0,26.0,16.0,26.0,16.0,4.0,4.0,23.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Kavalrachni,MToF,189.0,humanoid,legacy,N,2.0,2,450.0,26.0,16.0,26.0,16.0,4.0,4.0,13.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Mind Master,MPMotM,108.0,humanoid,generic,N,2.0,2,450.0,39.0,14.0,39.0,21.0,5.0,7.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Mind Master,MToF,189.0,humanoid,legacy,N,2.0,2,450.0,39.0,14.0,39.0,14.0,5.0,5.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Screamer,MPMotM,112.0,construct,generic,N,3.0,2,700.0,38.5,15.0,38.5,15.0,6.0,6.0,24.5,35.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Screamer,MToF,190.0,construct,legacy,N,3.0,2,700.0,38.5,15.0,38.5,15.0,6.0,6.0,24.5,32.666668,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Duergar Stone Guard,MPMotM,110.0,humanoid,generic,N,2.0,2,450.0,39.0,18.0,39.0,18.0,6.0,7.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Stone Guard,MToF,191.0,humanoid,legacy,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,6.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Warlord,MPMotM,111.0,humanoid,generic,N,6.0,3,2300.0,75.0,20.0,75.0,20.0,7.0,7.0,61.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Warlord,MToF,192.0,humanoid,legacy,N,6.0,3,2300.0,75.0,20.0,75.0,20.0,7.0,7.0,61.5,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Xarrorn,MPMotM,111.0,humanoid,generic,N,2.0,2,450.0,26.0,18.0,26.0,18.0,5.0,5.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Duergar Xarrorn,MToF,193.0,humanoid,legacy,N,2.0,2,450.0,26.0,18.0,26.0,18.0,5.0,5.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
