source.book,source.page,size,type,cr,legacy,damage immunities,damage resistances,damage vulnerabilities,damage modifiers.acid,damage modifiers.bludgeoning,damage modifiers.cold,damage modifiers.fire,damage modifiers.force,damage modifiers.lightning,damage modifiers.necrotic,damage modifiers.piercing,damage modifiers.poison,damage modifiers.psychic,damage modifiers.radiant,damage modifiers.slashing,damage modifiers.thunder
Basic Rules,124,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,188,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,189,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,189,Small,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,303,Gargantuan,Dragon,17.0,False,,fire,,,,,R,,,,,,,,,
Fizban's Treasury of Dragons,192,Large,Dragon,4.0,False,,fire,,,,,R,,,,,,,,,
Tomb of Annihilation,,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,182,Large,Ooze,5.0,False,,"acid, cold, fire, lightning, poison",,R,,R,R,,R,,,R,,,,
Fizban's Treasury of Dragons,183,Large,Construct,11.0,False,poison,,,,,,,,,,,I,,,,
Fizban's Treasury of Dragons,184,Medium,Humanoid,8.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,185,Medium,Humanoid,6.0,False,,psychic,,,,,,,,,,,R,,,
Fizban's Treasury of Dragons,185,Medium,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Hoard of the Dragon Queen,,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Rise of Tiamat,,Medium,Humanoid,5.0,False,,"one of the following: acid, cold, fire, lightning, or poison",,R,,R,R,,R,,,R,,,,
Fizban's Treasury of Dragons,187,Huge,Monstrosity,6.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,186,Large,Monstrosity,3.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,190,Large,Dragon,2.0,False,,,,,,,,,,,,,,,,
Rise of Tiamat,,Medium,Humanoid,7.0,False,,"one of the following: acid, cold, fire, lightning, or poison",,R,,R,R,,R,,,R,,,,
Rise of Tiamat,,Medium,Humanoid,2.0,False,,"one of the following: acid, cold, fire, lightning, or poison",,R,,R,R,,R,,,R,,,,
Hoard of the Dragon Queen,,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,209,Medium,Humanoid,7.0,False,,"cold, poison",,,,R,,,,,,R,,,,
Dead in Thay,,Medium,Undead,1.0,False,poison,,,,,,,,,,,I,,,,
Basic Rules,270,Small,Fiend,0.25,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Basic Rules,304,Large,Monstrosity,6.0,False,,,,,,,,,,,,,,,,
Out of the Abyss,,Small,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,307,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,182,Medium,Humanoid,13.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,99,Medium,Humanoid,13.0,False,,poison,,,,,,,,,,R,,,,
Monster Manual,128,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,183,Medium,Humanoid,18.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,100,Medium,Humanoid,18.0,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,184,Medium,Humanoid,9.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,101,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,102,Medium,Humanoid,14.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,184,Medium,Humanoid,14.0,True,,,,,,,,,,,,,,,,
Monster Manual,129,Medium,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,186,Medium,Humanoid,20.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,104,Medium,Humanoid,20.0,False,,,,,,,,,,,,,,,,
Monster Manual,129,Medium,Humanoid,8.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,187,Medium,Humanoid,11.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,105,Medium,Humanoid,11.0,False,,,,,,,,,,,,,,,,
Out of the Abyss,,Medium,Plant,0.125,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Undead,3.0,False,poison,,,,,,,,,,,I,,,,
Ghosts of Saltmarsh,,Medium,Undead,4.0,False,poison,,,,,,,,,,,I,,,,
Ghosts of Saltmarsh,,Medium,Undead,2.0,False,poison,,,,,,,,,,,I,,,,
Ghosts of Saltmarsh,,Medium,Undead,9.0,False,poison,,,,,,,,,,,I,,,,
Basic Rules,398,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,239,Medium,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Basic Rules,304,Medium,Fey,1.0,False,,,,,,,,,,,,,,,,
Basic Rules,305,Medium,Humanoid,1.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen’s Tome of Foes,188,Medium,Humanoid,12.0,True,poison,,,,,,,,,,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,107,Medium,Humanoid,12.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,112,Medium,Construct,2.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen’s Tome of Foes,188,Medium,Construct,2.0,True,poison,,,,,,,,,,,I,,,,
Out of the Abyss,,Medium,Humanoid,2.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,107,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen’s Tome of Foes,189,Medium,Humanoid,2.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,108,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,112,Medium,Construct,3.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen’s Tome of Foes,190,Medium,Construct,3.0,True,poison,,,,,,,,,,,I,,,,
Out of the Abyss,,Medium,Humanoid,1.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,109,Medium,Humanoid,1.0,False,,poison,,,,,,,,,,R,,,,
Out of the Abyss,,Medium,Plant,0.5,False,,poison,,,,,,,,,,R,,,,
The Forge of Fury,,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Out of the Abyss,,Medium,Humanoid,2.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,110,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,111,Medium,Humanoid,6.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen’s Tome of Foes,192,Medium,Humanoid,6.0,True,,poison,,,,,,,,,,R,,,,
Out of the Abyss,,Medium,Humanoid,2.0,True,,poison,,,,,,,,,,R,,,,
Mordenkainen Presents: Monsters of the Multiverse,111,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Baldur's Gate: Descent into Avernus,38,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Van Richten’s Guide to Ravenloft,233,Medium,Undead,10.0,False,,"cold, lightning, poison",,,,R,,,R,,,R,,,,
Monster Manual,225,Medium,Construct,0.25,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,292,Medium,Fey,6.0,False,,,,,,,,,,,,,,,,
Basic Rules,330,Small,Elemental,0.5,False,poison,,fire,,,,V,,,,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,113,Medium,Fiend,4.0,False,poison,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,,R-N,I,,,R-N,R
Mordenkainen’s Tome of Foes,132,Medium,Fiend,4.0,True,poison,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,,R-N,I,,,R-N,R
Eberron: Rising from the Last War,288,Medium,Aberration,24.0,False,,"poison, psychic",,,,,,,,,,R,R,,,
Icewind Dale: Rime of the Frostmaiden,270,Medium,Construct,1.0,False,,,,,,,,,,,,,,,,
Basic Rules,124,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
Basic Rules,125,Large,Elemental,5.0,False,poison,"bludgeoning, piercing, and slashing from nonmagical attacks",thunder,,R-N,,,,,,R-N,I,,,R-N,V
Princes of the Apocalypse,212,Medium,Elemental,7.0,True,poison,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,122,Medium,Elemental,7.0,False,poison,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,I,,,R-N,
Mythic Odysseys of Theros,220,Large,Fiend,6.0,False,poison,"cold, necrotic",,,,R,,,,R,,I,,,,
Tomb of Annihilation,,Large,Monstrosity,1.0,False,,,,,,,,,,,,,,,,
Basic Rules,310,Large,Elemental,11.0,False,fire,,,,,,I,,,,,,,,,
Fizban's Treasury of Dragons,193,Small,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,193,Tiny,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,114,Medium,Undead,12.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Mordenkainen’s Tome of Foes,193,Medium,Undead,12.0,True,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Volo's Guide to Monsters,174,Large,Aberration,14.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,120,Large,Aberration,14.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,194,Gargantuan,Aberration,22.0,False,psychic,,,,,,,,,,,,I,,,
Mordenkainen Presents: Monsters of the Multiverse,199,Huge,Ooze,10.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,219,Huge,Ooze,10.0,True,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,200,Gargantuan,Elemental,23.0,True,"lightning, poison, thunder","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,I,,R-N,I,,,R-N,I
Mordenkainen Presents: Monsters of the Multiverse,121,Gargantuan,Elemental,23.0,False,"lightning, poison, thunder","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,I,,R-N,I,,,R-N,I
Monstrous Compendium Volume One: Spelljammer Creatures,6,Medium,Undead,15.0,False,,"necrotic, poison",,,,,,,,R,,R,,,,
Basic Rules,125,Huge,Beast,4.0,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,202,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Basic Rules,125,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,224,Medium,Humanoid,2.0,False,,poison,,,,,,,,,,R,,,,
Fizban's Treasury of Dragons,197,Medium,Dragon,2.0,False,,"fire, psychic",,,,,R,,,,,,R,,,
Monster Manual,130,Huge,Celestial,23.0,False,"bludgeoning, piercing, and slashing from nonmagical attacks",,,,I-N,,,,,,I-N,,,,I-N,
Volo's Guide to Monsters,213,Medium,Humanoid,5.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,261,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,217,Medium,Fey,6.0,False,,,,,,,,,,,,,,,,
Basic Rules,276,Medium,Fiend,12.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Spelljammer: Adventures in Space ,20,Gargantuan,Aberration,12.0,False,acid,,,I,,,,,,,,,,,,
Princes of the Apocalypse,200,Medium,Humanoid,2.0,False,,fire,,,,,R,,,,,,,,,
Princes of the Apocalypse,200,Medium,Humanoid,3.0,False,,fire,,,,,R,,,,,,,,,
Basic Rules,308,Medium,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,308,Large,Giant,4.0,False,,,,,,,,,,,,,,,,
Lost Mine of Phandelver,57,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,214,Medium,Humanoid,9.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,262,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,293,Tiny,Construct,0.125,False,poison,,,,,,,,,,,I,,,,
Spelljammer: Adventures in Space ,21,Large,Aberration,10.0,False,,,,,,,,,,,,,,,,
Infernal Machine Rebuild,64,Medium,Undead,9.0,False,poison,"necrotic, psychic",,,,,,,,R,,I,R,,,
Fizban's Treasury of Dragons,199,Large,Aberration,8.0,False,,,,,,,,,,,,,,,,
Curse of Strahd,230,Medium,Humanoid,8.0,False,,,,,,,,,,,,,,,,
Dragon of Icespire Peak,,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,289,Medium,Beast,0.25,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,207,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,189,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,199,Large,Celestial,5.0,False,,,,,,,,,,,,,,,,
Out of the Abyss,,Large,Monstrosity,1.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,231,Large,Monstrosity,1.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,22,Large,Aberration,5.0,False,,,,,,,,,,,,,,,,
Locathah Rising,,Medium,Humanoid,5.0,False,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Baldur's Gate: Descent into Avernus,236,Large,Construct,8.0,False,"lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t adamantine or silvered","cold, fire",,,I-NA,R,R,,I,,I-NA,I,,,I-NA,
Basic Rules,126,Large,Elemental,5.0,False,"fire, poison","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,I,,,,R-N,I,,,R-N,
Princes of the Apocalypse,213,Medium,Elemental,7.0,True,"fire, poison","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,I,,,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,123,Medium,Elemental,7.0,False,"fire, poison","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,I,,,,R-N,I,,,R-N,
Basic Rules,126,Huge,Giant,9.0,False,fire,,,,,,I,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,124,Huge,Giant,14.0,False,fire,,,,,,I,,,,,,,,,
Volo's Guide to Monsters,147,Huge,Giant,14.0,True,fire,,,,,,I,,,,,,,,,
Monster Manual,265,Medium,Elemental,1.0,False,fire,"bludgeoning, piercing, and slashing from nonmagical attacks",cold,,R-N,V,I,,,,R-N,,,,R-N,
Guildmasters' Guide to Ravnica,231,Medium,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,190,Medium,Celestial,12.0,False,,"fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,R,,,,R-N,,,R,R-N,
Volo's Guide to Monsters,143,Medium,Humanoid,1.0,True,fire,,,,,,I,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,125,Medium,Elemental,1.0,False,fire,,,,,,I,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,125,Medium,Elemental,0.5,False,fire,,,,,,I,,,,,,,,,
Volo's Guide to Monsters,142,Medium,Humanoid,0.5,True,fire,,,,,,I,,,,,,,,,
Strixhaven: A Curriculum of Chaos,191,Medium or Small,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,232,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Acquisitions Incorporated,200,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,126,Large,Elemental,3.0,False,"fire, poison",,,,,,I,,,,,I,,,,
Volo's Guide to Monsters,144,Large,Elemental,3.0,True,"fire, poison",,,,,,I,,,,,I,,,,
Basic Rules,127,Tiny,Undead,4.0,False,"cold, fire, poison","lightning, necrotic, piercing",,,,I,I,,R,R,R,I,,,,
Princes of the Apocalypse,201,Medium,Humanoid,6.0,False,fire,,,,,,I,,,,,,,,,
Mythic Odysseys of Theros,223,Large,Monstrosity,3.0,False,,,,,,,,,,,,,,,,
Basic Rules,127,Medium,Construct,5.0,False,"lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t adamantine",,,,I-NA,,,,I,,I-NA,I,,,I-NA,
Volo's Guide to Monsters,153,Medium,Humanoid,9.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,127,Medium,Fiend,9.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,222,Medium,Undead,3.0,False,poison,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,R,R-N,I,,,R-N,
Monster Manual,135,Small,Aberration,0.125,False,,,psychic,,,,,,,,,,V,,,
Guildmasters' Guide to Ravnica,242,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,208,Large,Elemental,7.0,False,"lightning, poison","thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,I,,R-N,I,,,R-N,R
Guildmasters' Guide to Ravnica,203,Medium,Aberration,3.0,False,,,radiant,,,,,,,,,,,V,,
Tomb of Annihilation,,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,121,Medium,Construct,0.125,False,"poison, psychic",,,,,,,,,,,I,I,,,
Basic Rules,128,Tiny,Beast,0.125,False,,,,,,,,,,,,,,,,
Basic Rules,128,Small,Construct,0.25,False,"poison, psychic",,,,,,,,,,,I,I,,,
Mordenkainen's Fiendish Folio Volume 1,10,Huge,Giant,11.0,False,,,,,,,,,,,,,,,,
Monster Manual,136,Huge,Giant,8.0,False,,,,,,,,,,,,,,,,
Mordenkainen's Fiendish Folio Volume 1,9,Medium,Fey,3.0,False,,,,,,,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,288,Tiny,Beast,0.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,192,Small,Construct,0.25,False,poison,,,,,,,,,,,I,,,,
Monstrous Compendium Volume One: Spelljammer Creatures,7,Large,Construct,9.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,129,Large,Fiend,23.0,False,"poison; bludgeoning, piercing, and slashing that is nonmagical","cold, fire, lightning",,,I-N,R,R,,R,,I-N,I,,,I-N,
Out of the Abyss,,Large,Fiend,23.0,True,"poison; bludgeoning, piercing, and slashing that is nonmagical","cold, fire, lightning",,,I-N,R,R,,R,,I-N,I,,,I-N,
Basic Rules,128,Tiny,Beast,0.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,145,Huge,Monstrosity,10.0,True,,"fire, lightning",,,,,R,,R,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,130,Huge,Monstrosity,10.0,False,,"fire, lightning",,,,,R,,R,,,,,,,
Guildmasters' Guide to Ravnica,231,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,288,Medium,Humanoid,5.0,False,,cold,,,,R,,,,,,,,,,
Basic Rules,128,Huge,Giant,8.0,False,cold,,,,,I,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,131,Huge,Giant,12.0,False,cold,,,,,I,,,,,,,,,,
Volo's Guide to Monsters,148,Huge,Giant,12.0,True,cold,,,,,I,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,288,Huge,Undead,6.0,False,"cold, poison",,bludgeoning,,V,I,,,,,,I,,,,
Explorer's Guide to Wildemount,288,Huge,Undead,9.0,False,"cold, poison",,,,,I,,,,,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,132,Huge,Elemental,9.0,False,cold,,fire,,,I,V,,,,,,,,,
Mordenkainen’s Tome of Foes,223,Huge,Elemental,9.0,True,cold,,fire,,,I,V,,,,,,,,,
Explorer's Guide to Wildemount,289,Gargantuan,Monstrosity,17.0,False,cold,,fire,,,I,V,,,,,,,,,
Hoard of the Dragon Queen,,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Monstrous Compendium Volume One: Spelljammer Creatures,8,Medium,Plant,0.125,False,,,fire,,,,V,,,,,,,,,
Spelljammer: Adventures in Space ,23,Large,Aberration,4.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,193,Gargantuan,Dragon,23.0,False,"cold, fire",lightning,,,,I,I,,R,,,,,,,
Monster Manual,139,Medium,Elemental,6.0,False,poison,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,I,,,R-N,
Van Richten’s Guide to Ravenloft,234,Medium,Undead,6.0,False,"necrotic, poison","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,I,R-N,I,,,R-N,
Critical Role: Call of the Netherdeep,188,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,190,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,193,Medium,Humanoid,8.0,False,,,,,,,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,301,Medium,Construct,3.0,False,"lightning, poison",,,,,,,,I,,,I,,,,
Guildmasters' Guide to Ravnica,243,Medium,Humanoid,5.0,False,,"lightning, thunder",,,,,,,R,,,,,,,R
Guildmasters' Guide to Ravnica,209,Medium,Elemental,1.0,False,poison,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,,,R,,R-N,I,,,R-N,
Princes of the Apocalypse,208,Medium,Humanoid,9.0,False,,cold,,,,R,,,,,,,,,,
Locathah Rising,,Medium,Humanoid,15.0,False,,cold,,,,R,,,,,,,,,,
Basic Rules,129,Medium,Elemental,2.0,False,poison,"bludgeoning, piercing, and slashing from nonmagical attacks that aren’t adamantine",,,R-NA,,,,,,R-NA,I,,,R-NA,
Lost Laboratory of Kwalish,,Medium,Humanoid,2.0,False,,"cold, fire",,,,R,R,,,,,,,,,
Monster Manual,138,Large,Plant,0.5,False,poison,,,,,,,,,,,I,,,,
Volo's Guide to Monsters,125,Medium,Aberration,6.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,133,Medium,Aberration,6.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,134,Tiny,Aberration,0.5,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,126,Tiny,Aberration,0.5,True,,,,,,,,,,,,,,,,
Explorer's Guide to Wildemount,290,Large,Construct,10.0,False,"fire, poison, psychic","bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,I,,,,R-N,I,I,,R-N,
Basic Rules,337,Large,Ooze,2.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,202,Large,Monstrosity,5.0,False,,psychic,,,,,,,,,,,R,,,
The Tortle Package,,Small,Elemental,0.25,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,172,Huge,Fiend,22.0,True,"cold, fire, poison","bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,I,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,136,Huge,Fiend,22.0,False,"cold, fire, poison","bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,I,I,,,,R-NS,I,,,R-NS,
Princes of the Apocalypse,209,Large,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Basic Rules,311,Medium,Undead,2.0,False,poison,necrotic,,,,,,,,R,,I,,,,
Basic Rules,129,Medium,Undead,4.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Fizban's Treasury of Dragons,203,Huge,Undead,17.0,False,"acid, cold, necrotic, poison","bludgeoning, piercing, slashing",,I,R,I,,,,I,R,I,,,R,
Mythic Odysseys of Theros,222,Medium,Undead,5.0,False,poison,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,R,R-N,I,,,R-N,
Basic Rules,130,Medium,Undead,1.0,False,poison,,,,,,,,,,,I,,,,
Basic Rules,130,Huge,Beast,7.0,False,,,,,,,,,,,,,,,,
Basic Rules,130,Medium,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,130,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,131,Large,Beast,2.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,23,Large,Beast,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,131,Small,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,131,Huge,Beast,2.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Large,Beast,4.0,False,,,,,,,,,,,,,,,,
Basic Rules,131,Medium,Beast,0.125,False,,,,,,,,,,,,,,,,
The Hidden Shrine of Tamoachan,,Large,Beast,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,132,Huge,Beast,5.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,234,Large,Beast,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,132,Large,Beast,1.0,False,,,,,,,,,,,,,,,,
Basic Rules,132,Huge,Beast,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,132,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Large,Elemental,10.0,False,poison,"bludgeoning, piercing, and slashing damage from nonmagical attacks not made with adamantine weapons",,,R-NA,,,,,,R-NA,I,,,R-NA,
Basic Rules,133,Medium,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,133,Large,Beast,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,133,Large,Beast,1.0,False,,,,,,,,,,,,,,,,
Against the Giants,,Large,Monstrosity,3.0,False,cold,,,,,I,,,,,,,,,,
The Hidden Shrine of Tamoachan,,Large,Beast,3.0,False,,lightning,,,,,,,R,,,,,,,
Basic Rules,134,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,134,Large,Beast,1.0,False,,,,,,,,,,,,,,,,
Basic Rules,134,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,134,Medium,Beast,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,135,Small,Beast,0.125,False,,,,,,,,,,,,,,,,
Basic Rules,135,Large,Beast,3.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Large,Beast,0.5,False,,,,,,,,,,,,,,,,
