Book,Page,Type,Category,Legendary,CR,PB,AC,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Magic Resistance
RoT,90.0,humanoid,generic,N,2.0,2,14.0,11,16,13,11,11,13,0.0,3.0,1.0,0.0,0.0,1.0,False,False,False,False,True,False,0,3,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
HotDQ,88.0,dragon,generic,N,0.5,2,13.0,13,15,14,4,11,6,1.0,2.0,2.0,-3.0,0.0,-2.0,False,False,False,False,False,False,1,2,2,-3,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
HotDQ,90.0,humanoid,unique,N,3.0,2,16.0,18,14,14,16,10,8,4.0,2.0,2.0,3.0,0.0,-1.0,True,False,True,False,False,False,6,2,4,3,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PotA,209.0,humanoid,unique,N,7.0,3,18.0,19,10,18,11,8,12,4.0,0.0,4.0,0.0,-1.0,1.0,False,False,False,False,False,False,4,0,4,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TftYP,233.0,undead,generic,N,1.0,2,18.0,15,11,16,10,12,10,2.0,0.0,3.0,0.0,1.0,0.0,False,False,False,False,True,False,2,0,3,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MM,57.0,fiend,generic,N,0.25,2,11.0,11,11,12,5,8,3,0.0,0.0,1.0,-3.0,-1.0,-4.0,False,False,False,False,False,False,0,0,1,-3,-1,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MM,120.0,monstrosity,generic,N,6.0,3,19.0,16,16,18,13,14,12,3.0,3.0,4.0,1.0,2.0,1.0,False,False,False,False,False,False,3,3,4,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
OotA,231.0,humanoid,unique,N,2.0,2,15.0,11,16,13,10,5,16,0.0,3.0,1.0,0.0,-3.0,3.0,False,False,False,False,False,False,0,3,1,0,-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,128.0,humanoid,generic,N,0.25,2,15.0,10,14,10,11,11,12,0.0,2.0,0.0,0.0,0.0,1.0,False,False,False,False,False,False,0,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,182.0,humanoid,generic,N,13.0,5,15.0,11,17,14,19,14,16,0.0,3.0,2.0,4.0,2.0,3.0,False,False,True,True,False,True,0,3,7,9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,128.0,humanoid,generic,N,5.0,3,18.0,13,18,14,11,13,12,1.0,4.0,2.0,0.0,1.0,1.0,False,True,True,False,True,False,1,7,5,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,183.0,humanoid,generic,N,18.0,6,18.0,15,20,16,18,15,18,2.0,5.0,3.0,4.0,2.0,4.0,False,True,True,False,False,True,2,11,9,4,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
WDH,201.0,humanoid,generic,N,4.0,2,18.0,13,18,14,11,13,14,1.0,4.0,2.0,0.0,1.0,2.0,False,True,True,False,True,False,1,6,4,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,184.0,humanoid,generic,N,9.0,4,16.0,14,19,15,12,14,13,2.0,4.0,2.0,1.0,2.0,1.0,False,True,True,False,True,False,2,8,6,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,184.0,humanoid,generic,N,14.0,5,16.0,12,15,14,16,21,20,1.0,2.0,2.0,3.0,5.0,5.0,False,False,True,False,True,True,1,2,7,3,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,129.0,humanoid,generic,N,7.0,3,15.0,9,14,10,17,13,12,-1.0,2.0,0.0,3.0,1.0,1.0,False,False,False,False,False,False,-1,2,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,186.0,humanoid,legendary,L,20.0,6,17.0,12,18,16,17,21,22,1.0,4.0,3.0,3.0,5.0,6.0,False,False,True,False,True,True,1,4,9,3,11,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MM,129.0,humanoid,generic,N,8.0,3,16.0,10,14,12,13,17,18,0.0,2.0,1.0,1.0,3.0,4.0,False,False,True,False,True,True,0,2,4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,187.0,humanoid,generic,N,11.0,4,17.0,14,21,16,12,14,13,2.0,5.0,3.0,1.0,2.0,1.0,False,True,True,False,True,False,2,9,7,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GoS,233.0,undead,generic,N,3.0,2,13.0,12,16,16,3,9,5,1.0,3.0,3.0,-4.0,-1.0,-3.0,False,True,False,False,False,False,1,5,3,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
GoS,234.0,undead,generic,N,4.0,2,14.0,15,16,16,9,9,16,2.0,3.0,3.0,-1.0,-1.0,3.0,False,True,True,False,False,False,2,5,5,-1,-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
GoS,235.0,undead,generic,N,2.0,2,10.0,16,8,16,3,9,5,3.0,-1.0,3.0,-4.0,-1.0,-3.0,False,False,False,False,False,False,3,-1,3,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
GoS,235.0,undead,generic,N,9.0,4,14.0,17,12,16,9,14,12,3.0,1.0,3.0,-1.0,2.0,1.0,False,False,True,False,True,False,3,1,7,-1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MM,346.0,humanoid,generic,N,2.0,2,16.0,10,12,13,12,15,11,0.0,1.0,1.0,1.0,2.0,0.0,False,False,False,False,False,False,0,1,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,230.0,humanoid,generic,N,7.0,3,14.0,11,15,16,10,20,14,0.0,2.0,3.0,0.0,5.0,2.0,False,True,True,False,True,False,0,5,6,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,121.0,fey,generic,N,1.0,2,16.0,10,12,11,14,15,18,0.0,1.0,0.0,2.0,2.0,4.0,False,False,False,False,False,False,0,1,0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,122.0,humanoid,generic,N,1.0,2,16.0,14,11,14,11,10,9,2.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,2,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,188.0,humanoid,generic,N,12.0,4,21.0,20,5,19,15,14,13,5.0,-3.0,4.0,2.0,2.0,1.0,False,False,True,False,True,False,5,-3,8,2,6,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,188.0,construct,generic,N,2.0,2,17.0,17,7,12,5,5,5,3.0,-2.0,1.0,-3.0,-3.0,-3.0,False,False,False,False,False,False,3,-2,1,-3,-3,-3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
MToF,189.0,humanoid,generic,N,2.0,2,16.0,14,11,14,11,10,9,2.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,2,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,189.0,humanoid,generic,N,2.0,2,19.0,11,17,14,15,10,12,0.0,3.0,2.0,2.0,0.0,1.0,False,False,False,False,True,False,0,3,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,190.0,construct,generic,N,3.0,2,15.0,18,7,12,5,5,5,4.0,-2.0,1.0,-3.0,-3.0,-3.0,False,False,False,False,False,False,4,-2,1,-3,-3,-3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
TftYP,234.0,humanoid,generic,N,2.0,2,15.0,10,16,12,12,10,13,0.0,3.0,1.0,1.0,0.0,1.0,False,False,False,False,False,False,0,3,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
OotA,227.0,humanoid,generic,N,2.0,2,18.0,18,11,14,11,10,9,4.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,4,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,192.0,humanoid,generic,N,6.0,3,20.0,18,11,17,12,12,14,4.0,0.0,3.0,1.0,1.0,2.0,False,False,False,False,False,False,4,0,3,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
OotA,228.0,humanoid,generic,N,2.0,2,18.0,16,11,14,11,10,9,3.0,0.0,2.0,0.0,0.0,-1.0,False,False,False,False,False,False,3,0,2,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
BGDiA,38.0,humanoid,unique,N,4.0,2,10.0,17,10,15,13,16,18,3.0,0.0,2.0,1.0,3.0,4.0,False,False,False,False,False,False,3,0,2,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VRGtR,233.0,undead,legendary,L,10.0,4,16.0,18,14,16,11,15,16,4.0,2.0,3.0,0.0,2.0,3.0,False,False,True,False,False,False,4,2,7,0,2,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MM,225.0,construct,generic,N,0.25,2,15.0,11,13,12,6,10,7,0.0,1.0,1.0,-2.0,0.0,-2.0,False,False,False,False,False,False,0,1,1,-2,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
WDH,203.0,humanoid,unique,N,9.0,4,16.0,18,15,18,13,12,10,4.0,2.0,4.0,1.0,1.0,0.0,True,False,True,False,False,False,8,2,8,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ERftLW,292.0,fey,generic,N,6.0,3,17.0,11,14,12,17,16,18,0.0,2.0,1.0,3.0,3.0,4.0,False,False,False,True,True,False,0,2,1,6,6,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MToF,132.0,fiend,generic,N,4.0,2,14.0,6,19,16,16,15,14,-2.0,4.0,3.0,3.0,2.0,2.0,False,False,False,False,False,False,-2,4,3,3,2,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True
ERftLW,288.0,aberration,unique,LL,24.0,7,21.0,26,21,22,26,23,24,8.0,5.0,6.0,8.0,6.0,7.0,False,False,False,True,True,True,8,5,6,15,13,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
IDRotF,270.0,humanoid,unique,N,4.0,2,10.0,10,11,12,16,13,15,0.0,0.0,1.0,3.0,1.0,2.0,False,False,False,True,True,False,0,0,1,5,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRotF,270.0,construct,unique,N,1.0,2,10.0,10,11,12,16,13,15,0.0,0.0,1.0,3.0,1.0,2.0,False,False,False,True,True,False,0,0,1,5,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,324.0,beast,generic,N,1.0,2,13.0,16,17,13,8,14,10,3.0,3.0,1.0,-1.0,2.0,0.0,False,False,False,False,False,False,3,3,1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,124.0,elemental,generic,N,5.0,3,17.0,20,8,20,5,10,5,5.0,-1.0,5.0,-3.0,0.0,-3.0,False,False,False,False,False,False,5,-1,5,-3,0,-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,False
PotA,212.0,elemental,generic,N,7.0,3,18.0,18,10,17,8,10,10,4.0,0.0,3.0,-1.0,0.0,0.0,False,False,False,False,False,False,4,0,3,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False
MOoT,220.0,fiend,generic,N,6.0,3,17.0,19,17,14,12,11,16,4.0,3.0,2.0,1.0,0.0,3.0,False,False,True,False,False,True,4,3,5,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
ToA,219.0,monstrosity,generic,N,1.0,2,13.0,11,16,12,12,14,11,0.0,3.0,1.0,1.0,2.0,0.0,False,False,False,False,False,False,0,3,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,193.0,undead,generic,N,12.0,4,9.0,7,8,9,14,19,16,-2.0,-1.0,-1.0,2.0,4.0,3.0,False,False,False,False,True,False,-2,-1,-1,2,8,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False
MToF,195.0,fey,generic,N,10.0,4,19.0,12,16,16,14,17,18,1.0,3.0,3.0,2.0,3.0,4.0,False,False,False,False,False,False,1,3,3,2,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MToF,196.0,fey,generic,N,10.0,4,19.0,14,16,16,18,11,18,2.0,3.0,3.0,4.0,0.0,4.0,False,False,False,False,False,False,2,3,3,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MToF,196.0,fey,generic,N,10.0,4,19.0,19,21,16,14,12,18,4.0,5.0,3.0,2.0,1.0,4.0,False,False,False,False,False,False,4,5,3,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MToF,197.0,fey,generic,N,10.0,4,19.0,11,10,16,18,17,13,0.0,0.0,3.0,4.0,3.0,1.0,False,False,False,False,False,False,0,0,3,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
VGtM,174.0,aberration,legendary,LL,14.0,5,10.0,15,10,20,21,19,24,2.0,0.0,5.0,5.0,4.0,7.0,False,False,False,True,True,True,2,0,5,10,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MToF,200.0,elemental,legendary,L,23.0,7,19.0,23,28,23,2,21,18,6.0,9.0,6.0,-4.0,5.0,4.0,False,False,False,False,True,True,6,9,6,-4,12,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False
MM,322.0,beast,generic,N,4.0,2,12.0,22,9,17,3,11,6,6.0,-1.0,3.0,-4.0,0.0,-2.0,False,False,False,False,False,False,6,-1,3,-4,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PotA,202.0,humanoid,unique,N,5.0,3,14.0,13,15,14,11,18,10,1.0,2.0,2.0,0.0,4.0,0.0,False,False,False,False,False,False,1,2,2,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,322.0,beast,generic,N,0.25,2,10.0,16,10,12,2,10,6,3.0,0.0,1.0,-4.0,0.0,-2.0,False,False,False,False,False,False,3,0,1,-4,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,325.0,beast,generic,N,2.0,2,14.0,19,16,14,7,14,10,4.0,3.0,2.0,-2.0,2.0,0.0,False,False,False,False,False,False,4,3,2,-2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,130.0,celestial,legendary,L,23.0,7,22.0,30,21,30,21,22,27,10.0,5.0,10.0,5.0,6.0,8.0,True,False,False,True,True,True,17,5,10,12,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
VGtM,213.0,humanoid,generic,N,5.0,3,15.0,9,14,11,17,12,11,-1.0,2.0,0.0,3.0,1.0,0.0,False,False,False,True,True,False,-1,2,0,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,73.0,fiend,generic,N,12.0,4,18.0,18,16,18,14,14,18,4.0,3.0,4.0,2.0,2.0,4.0,False,True,True,False,True,True,4,7,8,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
PotA,200.0,humanoid,generic,N,2.0,2,17.0,15,13,14,8,11,13,2.0,1.0,2.0,-1.0,0.0,1.0,False,False,False,False,False,False,2,1,2,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PotA,200.0,humanoid,generic,N,3.0,2,15.0,12,15,14,10,11,16,1.0,2.0,2.0,0.0,0.0,3.0,False,False,False,False,False,False,1,2,2,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,131.0,monstrosity,generic,N,2.0,2,13.0,14,15,13,7,12,8,2.0,2.0,1.0,-2.0,1.0,-1.0,False,False,False,False,False,False,2,2,1,-2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,132.0,giant,generic,N,4.0,2,12.0,21,8,17,6,10,8,5.0,-1.0,3.0,-2.0,0.0,-1.0,False,False,False,False,False,False,5,-1,3,-2,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,214.0,humanoid,generic,N,9.0,4,15.0,9,14,12,17,12,11,-1.0,2.0,1.0,3.0,1.0,0.0,False,False,False,True,True,False,-1,2,1,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ERftLW,293.0,construct,generic,N,0.125,2,13.0,6,16,13,8,12,7,-2.0,3.0,1.0,-1.0,1.0,-2.0,False,False,False,False,False,False,-2,3,1,-1,1,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
CoS,230.0,humanoid,unique,N,8.0,3,17.0,14,19,16,16,11,17,2.0,4.0,3.0,3.0,0.0,3.0,False,False,False,False,True,False,2,4,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,133.0,dragon,generic,N,2.0,2,15.0,3,20,13,14,12,16,-4.0,5.0,1.0,2.0,1.0,3.0,False,False,False,False,False,False,-4,5,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,133.0,dragon,generic,N,1.0,2,15.0,3,20,13,14,12,16,-4.0,5.0,1.0,2.0,1.0,3.0,False,False,False,False,False,False,-4,5,1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
ERftLW,289.0,beast,generic,N,0.25,2,14.0,12,18,10,4,11,4,1.0,4.0,0.0,-3.0,0.0,-3.0,False,False,False,False,False,False,1,4,0,-3,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PotA,207.0,humanoid,generic,N,2.0,2,13.0,14,11,14,11,11,15,2.0,0.0,2.0,0.0,0.0,2.0,False,False,False,False,False,False,2,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PotA,189.0,humanoid,generic,N,1.0,2,16.0,14,14,12,11,10,14,2.0,2.0,1.0,0.0,0.0,2.0,False,False,False,False,False,False,2,2,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,199.0,celestial,generic,N,5.0,3,17.0,19,16,17,10,17,14,4.0,3.0,3.0,0.0,3.0,2.0,False,True,False,False,True,True,4,6,3,0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,125.0,elemental,generic,N,5.0,3,13.0,10,17,16,6,10,7,0.0,3.0,3.0,-2.0,0.0,-2.0,False,False,False,False,False,False,0,3,3,-2,0,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,False
PotA,213.0,elemental,generic,N,7.0,3,18.0,13,18,15,9,10,10,1.0,4.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,1,4,2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False
MM,154.0,giant,generic,N,9.0,4,18.0,25,9,23,10,14,13,7.0,-1.0,6.0,0.0,2.0,1.0,False,True,True,False,False,True,7,3,10,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,147.0,giant,generic,N,14.0,5,21.0,27,9,23,8,10,11,8.0,-1.0,6.0,-1.0,0.0,0.0,False,True,True,False,False,True,8,4,11,-1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,231.0,humanoid,generic,N,7.0,3,18.0,16,10,14,11,17,13,3.0,0.0,2.0,0.0,3.0,1.0,False,False,True,False,True,False,3,0,5,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,143.0,humanoid,generic,N,1.0,2,13.0,13,11,12,9,11,14,1.0,0.0,1.0,-1.0,0.0,2.0,False,False,False,False,False,False,1,0,1,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,142.0,humanoid,generic,N,0.5,2,16.0,10,13,12,7,11,8,0.0,1.0,1.0,-2.0,0.0,-1.0,False,False,False,False,False,False,0,1,1,-2,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
SaCoC,191.0,humanoid,generic,N,0.5,2,11.0,8,12,13,12,10,11,-1.0,1.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,-1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
BGDiA,232.0,humanoid,generic,N,0.5,2,18.0,16,11,13,10,12,11,3.0,0.0,1.0,0.0,1.0,0.0,False,False,False,False,False,False,3,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,144.0,elemental,generic,N,3.0,2,16.0,17,5,20,3,10,5,3.0,-3.0,5.0,-4.0,0.0,-3.0,False,False,False,False,False,False,3,-3,5,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MM,134.0,undead,generic,N,4.0,2,13.0,1,17,14,16,10,11,-5.0,3.0,2.0,3.0,0.0,0.0,False,False,False,False,False,False,-5,3,2,3,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,True
PotA,201.0,humanoid,generic,N,6.0,3,15.0,10,14,16,11,10,16,0.0,2.0,3.0,0.0,0.0,3.0,False,False,False,False,False,False,0,2,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,223.0,monstrosity,legendary,L,3.0,2,15.0,19,16,14,6,14,10,4.0,3.0,2.0,-2.0,2.0,0.0,True,False,True,False,False,False,6,3,4,-2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
