Monster,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Blood Hawk,MM,319.0,beast,small,generic,N,0.125,2,25.0,-2.0,2.0,0.0,-4.0,2.0,-3.0,-2,2,0,-4,2,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,7.0,7.0,-0.8,-0.8,4.0,5.0,4.5,4.5,
Blue Dragon Wyrmling,MM,91.0,dragon,medium,generic,N,3.0,2,700.0,3.0,0.0,2.0,1.0,0.0,2.0,3,2,4,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,17.0,17.0,52.0,52.0,2.7,2.7,5.0,5.0,22.0,22.0,12.0
Blue Slaad,MM,276.0,aberration,large,generic,N,7.0,3,2900.0,5.0,2.0,4.0,-2.0,-2.0,-1.0,5,2,4,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2,15.0,15.0,123.5,230.3,1.0,5.0,8.0,8.0,36.0,36.0,15.0
Boar,MM,319.0,beast,medium,generic,N,0.25,2,50.0,1.0,0.0,1.0,-4.0,-1.0,-3.0,1,0,1,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,11.0,11.0,11.0,18.0,-1.0,-1.0,3.0,3.0,5.6666665,5.6666665,
Bone Devil,MM,71.0,fiend,large,generic,N,9.0,4,5000.0,4.0,3.0,4.0,1.0,2.0,3.0,4,3,4,5,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3,19.0,20.0,142.5,178.1,4.8,8.8,8.0,8.0,46.0,46.0,14.0
Bone Naga,MM,233.0,undead,large,generic,N,4.0,2,1100.0,2.0,3.0,1.0,2.0,2.0,3.0,2,3,1,2,2,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3,15.0,15.0,58.5,58.5,2.2,2.2,5.0,5.0,44.0,44.0,12.0
Brass Dragon Wyrmling,MM,106.0,dragon,medium,generic,N,1.0,2,200.0,2.0,0.0,1.0,0.0,0.0,1.0,2,2,3,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,16.0,16.0,16.5,16.5,2.0,2.0,4.0,4.0,14.0,14.0,11.0
Bronze Dragon Wyrmling,MM,109.0,dragon,medium,generic,N,2.0,2,450.0,3.0,0.0,2.0,1.0,0.0,2.0,3,2,4,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,17.0,17.0,32.5,32.5,2.7,2.7,5.0,5.0,21.666666,21.666666,12.0
Brown Bear,MM,319.0,beast,large,generic,N,1.0,2,200.0,4.0,0.0,3.0,-4.0,1.0,-2.0,4,0,3,-4,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,11.0,11.0,34.0,34.0,0.3,0.3,6.0,6.0,20.0,20.0,
Bugbear,MM,33.0,humanoid,medium,generic,N,1.0,2,200.0,2.0,2.0,1.0,-1.0,0.0,-1.0,2,2,1,-1,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,16.0,16.0,27.5,27.5,0.5,0.5,5.0,5.0,13.333333,13.333333,
Bugbear Chief,MM,33.0,humanoid,medium,generic,N,3.0,2,700.0,3.0,2.0,2.0,0.0,1.0,0.0,3,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,17.0,17.0,65.0,65.0,1.3,1.3,5.0,5.0,28.666666,28.666666,
Bulette,MM,34.0,monstrosity,large,generic,N,5.0,3,1800.0,4.0,0.0,5.0,-4.0,0.0,-3.0,4,0,5,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,17.0,17.0,94.5,94.5,0.3,0.3,7.0,7.0,38.666668,38.666668,16.0
Bullywug,MM,35.0,humanoid,medium,generic,N,0.25,2,50.0,1.0,1.0,1.0,-2.0,0.0,-2.0,1,1,1,-2,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,15.0,15.0,11.0,11.0,-0.2,-0.2,3.0,3.0,8.0,8.0,
Cambion,MM,36.0,fiend,medium,generic,N,5.0,3,1800.0,4.0,4.0,3.0,2.0,1.0,3.0,7,4,6,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,4,19.0,19.0,82.5,123.8,4.8,4.8,7.0,7.0,24.0,24.0,
Camel,MM,320.0,beast,large,generic,N,0.125,2,25.0,3.0,-1.0,2.0,-4.0,-1.0,-3.0,3,-1,2,-4,-1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,9.0,9.0,15.0,15.0,-0.7,-0.7,5.0,5.0,2.5,2.5,
Carrion Crawler,MM,37.0,monstrosity,large,generic,N,2.0,2,450.0,2.0,1.0,3.0,-5.0,1.0,-3.0,2,1,3,-5,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,13.0,13.0,51.0,51.0,-0.2,-0.2,8.0,8.0,11.5,11.5,13.0
Centaur,MM,38.0,monstrosity,large,generic,N,2.0,2,450.0,4.0,2.0,2.0,-1.0,1.0,0.0,4,2,2,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,45.0,45.0,1.3,1.3,6.0,6.0,24.0,24.0,
Chain Devil,MM,72.0,fiend,medium,generic,N,8.0,3,3900.0,4.0,2.0,4.0,0.0,1.0,2.0,4,2,7,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,16.0,18.0,85.0,127.5,3.7,7.7,8.0,8.0,70.666664,70.666664,14.0
Chasme,MM,57.0,fiend,large,generic,N,6.0,3,2300.0,2.0,2.0,1.0,0.0,2.0,0.0,2,5,1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2,15.0,15.0,84.5,126.8,2.2,6.2,5.0,5.0,40.0,40.0,12.0
Chimera,MM,39.0,monstrosity,large,generic,N,6.0,3,2300.0,4.0,0.0,4.0,-4.0,2.0,0.0,4,0,4,-4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,14.0,14.0,114.0,114.0,1.0,1.0,7.0,7.0,53.333332,53.333332,15.0
Chuul,MM,40.0,aberration,large,generic,N,4.0,2,1100.0,4.0,0.0,3.0,-3.0,0.0,-3.0,4,0,3,-3,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,16.0,16.0,93.5,93.5,0.2,0.2,6.0,6.0,22.0,22.0,13.0
Clay Golem,MM,168.0,construct,large,generic,N,9.0,4,5000.0,5.0,-1.0,4.0,-4.0,-1.0,-5.0,5,-1,4,-4,-1,-5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1,14.0,15.0,133.0,266.0,-0.3,3.7,8.0,8.0,32.0,32.0,15.0
Cloaker,MM,41.0,aberration,large,generic,N,8.0,3,3900.0,3.0,2.0,1.0,1.0,1.0,2.0,3,2,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,14.0,14.0,78.0,156.0,1.7,1.7,6.0,6.0,43.0,43.0,
Cloud Giant,MM,154.0,giant,huge,generic,N,9.0,4,5000.0,8.0,0.0,6.0,1.0,3.0,3.0,8,0,10,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,14.0,14.0,200.0,200.0,5.5,5.5,12.0,12.0,42.0,42.0,15.0
Cockatrice,MM,42.0,monstrosity,small,generic,N,0.5,2,100.0,-2.0,1.0,1.0,-4.0,1.0,-3.0,-2,1,1,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,11.0,11.0,27.0,54.0,-1.0,-1.0,3.0,3.0,3.0,3.0,11.0
Constrictor Snake,MM,320.0,beast,large,generic,N,0.25,2,50.0,2.0,2.0,1.0,-5.0,0.0,-4.0,2,2,1,-5,0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,13.0,13.0,-0.7,-0.7,4.0,4.0,6.5,6.5,
Copper Dragon Wyrmling,MM,112.0,dragon,medium,generic,N,1.0,2,200.0,2.0,1.0,1.0,2.0,0.0,1.0,2,3,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,16.0,16.0,22.0,22.0,2.5,2.5,4.0,4.0,16.666666,16.666666,11.0
Couatl,MM,43.0,celestial,medium,generic,N,4.0,2,1100.0,3.0,5.0,3.0,4.0,5.0,4.0,3,5,5,4,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,5,19.0,19.0,97.5,243.8,5.0,5.0,6.0,6.0,10.0,10.0,13.0
Crawling Claw,MM,44.0,undead,tiny,generic,N,0.0,2,10.0,1.0,2.0,0.0,-3.0,0.0,-3.0,1,2,0,-3,0,-3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,12.0,12.0,2.5,2.5,-0.5,-0.5,3.0,3.0,3.5,3.5,
Crocodile,MM,320.0,beast,large,generic,N,0.5,2,100.0,2.0,0.0,1.0,-4.0,0.0,-3.0,2,0,1,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,12.0,12.0,19.5,19.5,-0.7,-0.7,4.0,4.0,7.0,7.0,
Cult Fanatic,MM,345.0,humanoid,medium,generic,N,2.0,2,450.0,0.0,2.0,1.0,0.0,1.0,2.0,0,2,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,13.0,13.0,33.0,33.0,1.0,1.0,3.0,3.0,23.166666,23.166666,11.0
Cultist,MM,345.0,humanoid,medium,generic,N,0.125,2,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,12.0,12.0,9.0,9.0,0.2,0.2,3.0,3.0,4.5,4.5,
Cyclops,MM,45.0,giant,huge,generic,N,6.0,3,2300.0,6.0,0.0,5.0,-1.0,-2.0,0.0,6,0,5,-1,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,14.0,14.0,138.0,138.0,1.3,1.3,9.0,9.0,38.0,38.0,
Dao,MM,143.0,elemental,large,generic,N,11.0,4,7200.0,6.0,1.0,7.0,1.0,1.0,2.0,6,1,7,5,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,18.0,18.0,187.5,187.5,5.0,5.0,10.0,10.0,40.0,40.0,14.0
Darkmantle,MM,46.0,monstrosity,small,generic,N,0.5,2,100.0,3.0,1.0,1.0,-4.0,0.0,-3.0,3,1,1,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,11.0,11.0,22.5,22.5,-0.3,-0.3,5.0,9.0,6.0,6.0,
Death Dog,MM,321.0,monstrosity,medium,generic,N,1.0,2,200.0,2.0,2.0,2.0,-4.0,1.0,-2.0,2,2,2,-4,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,39.0,39.0,0.2,0.2,4.0,4.0,10.0,10.0,12.0
Death Knight,MM,47.0,undead,medium,generic,N,17.0,6,18000.0,5.0,0.0,5.0,1.0,3.0,4.0,5,6,5,1,9,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,20.0,23.0,180.5,180.5,6.0,10.0,11.0,11.0,110.0,110.0,18.0
Death Slaad,MM,278.0,aberration,medium,generic,N,10.0,4,5900.0,5.0,2.0,4.0,2.0,0.0,3.0,5,2,4,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2,18.0,18.0,170.0,250.0,2.7,6.7,9.0,9.0,54.5,54.5,15.0
Death Tyrant,MM,29.0,undead,large,legendary,L,14.0,5,11500.0,0.0,2.0,2.0,4.0,2.0,4.0,5,2,7,9,7,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,19.0,19.0,187.5,187.5,6.5,6.5,9.0,9.0,136.0,136.0,17.0
Death Tyrant,MM,29.0,undead,large,legendary,LL,15.0,5,13000.0,0.0,2.0,2.0,4.0,2.0,4.0,5,2,7,9,7,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,19.0,19.0,187.5,187.5,6.5,6.5,9.0,9.0,181.0,181.0,17.0
Deep Gnome (Svirfneblin),MM,164.0,humanoid,small,generic,N,0.5,2,100.0,2.0,2.0,2.0,1.0,0.0,-1.0,2,2,2,1,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,15.0,15.0,16.5,16.5,1.0,3.0,4.0,4.0,6.0,6.0,
Demilich,MM,48.0,undead,tiny,legendary,L,18.0,6,20000.0,-5.0,5.0,0.0,5.0,3.0,5.0,-5,5,6,11,9,11,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5,20.0,22.0,80.0,448.8,6.2,8.2,11.0,11.0,63.0,63.0,19.0
Demilich,MM,48.0,undead,tiny,legendary,LL,20.0,6,25000.0,-5.0,5.0,0.0,5.0,3.0,5.0,-5,5,6,11,9,11,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5,20.0,22.0,80.0,523.8,6.2,8.2,11.0,11.0,63.0,63.0,19.0
Deva,MM,16.0,celestial,medium,generic,N,10.0,4,5900.0,4.0,4.0,4.0,3.0,5.0,5.0,4,4,4,3,9,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4,17.0,17.0,136.0,204.0,5.5,9.5,8.0,8.0,50.0,50.0,
Dire Wolf,MM,321.0,beast,large,generic,N,1.0,2,200.0,3.0,2.0,2.0,-4.0,1.0,-2.0,3,2,2,-4,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,14.0,14.0,37.5,37.5,0.3,0.3,5.0,6.0,10.0,10.0,
Diseased Giant Rat,MM,327.0,beast,small,generic,N,0.125,2,25.0,-2.0,2.0,0.0,-4.0,0.0,-3.0,-2,2,0,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,7.0,7.0,-1.2,-1.2,4.0,5.0,4.5,4.5,
Displacer Beast,MM,81.0,monstrosity,large,generic,N,3.0,2,700.0,4.0,2.0,3.0,-2.0,1.0,-1.0,4,2,3,-2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,13.0,15.0,85.0,85.0,1.2,3.2,6.0,6.0,20.0,20.0,17.0
Djinni,MM,144.0,elemental,large,generic,N,11.0,4,7200.0,5.0,2.0,6.0,2.0,3.0,5.0,5,6,6,2,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2,17.0,17.0,161.0,161.0,5.8,5.8,9.0,9.0,46.5,46.5,
Doppelganger,MM,82.0,monstrosity,medium,generic,N,3.0,2,700.0,0.0,4.0,2.0,0.0,1.0,2.0,0,4,2,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,14.0,14.0,52.0,52.0,1.5,1.5,6.0,8.0,20.666666,20.666666,
Draft Horse,MM,321.0,beast,large,generic,N,0.25,2,50.0,4.0,0.0,1.0,-4.0,0.0,-2.0,4,0,1,-4,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,10.0,10.0,19.5,19.5,-0.2,-0.2,6.0,6.0,9.0,9.0,
Dragon Turtle,MM,119.0,dragon,gargantuan,generic,N,17.0,6,18000.0,7.0,0.0,5.0,0.0,1.0,1.0,7,6,11,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,20.0,20.0,341.0,341.0,5.3,5.3,13.0,13.0,73.333336,73.333336,18.0
Dretch,MM,57.0,fiend,small,generic,N,0.25,2,50.0,0.0,0.0,1.0,-3.0,-1.0,-4.0,0,0,1,-3,-1,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0,11.0,11.0,18.0,18.0,-1.2,-1.2,2.0,2.0,8.5,8.5,
Drider,MM,120.0,monstrosity,large,generic,N,6.0,3,2300.0,3.0,3.0,4.0,1.0,2.0,1.0,3,3,4,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,19.0,19.0,123.5,123.5,2.3,2.3,6.0,6.0,33.0,33.0,13.0
Drow,MM,128.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,2.0,0.0,0.0,0.0,1.0,0,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,15.0,17.0,13.5,13.5,0.5,0.5,4.0,4.0,5.5,5.5,13.0
Drow Elite Warrior,MM,128.0,humanoid,medium,generic,N,5.0,3,1800.0,1.0,4.0,2.0,0.0,1.0,1.0,1,7,5,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,18.0,20.0,71.5,71.5,3.0,3.0,7.0,7.0,36.0,36.0,
Drow Mage,MM,129.0,humanoid,medium,generic,N,7.0,3,2900.0,-1.0,2.0,0.0,3.0,1.0,1.0,-1,2,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,15.0,20.0,45.0,45.0,1.0,1.0,6.0,6.0,67.666664,67.666664,14.0
Drow Priestess of Lolth,MM,129.0,humanoid,medium,generic,N,8.0,3,3900.0,0.0,2.0,1.0,1.0,3.0,4.0,0,2,4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,16.0,16.0,71.5,71.5,3.3,3.3,6.0,6.0,80.666664,80.666664,14.0
Druid,MM,346.0,humanoid,medium,generic,N,2.0,2,450.0,0.0,1.0,1.0,1.0,2.0,0.0,0,1,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,16.0,16.0,27.5,27.5,0.8,0.8,4.0,4.0,23.333334,23.333334,12.0
