Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,D-CR DMG,O-CR DMG,CR DMG,XP DMG,eHP,D-eCR,eDPR,O-eCR,eCR,eXP
MM,36.0,fiend,generic,N,5.0,3,1800.0,82.5,19.0,123.0,21.0,7.0,7.0,22.0,7.0,4.0,5.0,1800.0,190.8,7.0,28.1,3.0,4.0,1339.0
MToF,247.0,fiend,generic,N,8.0,3,3900.0,120.0,16.0,180.0,18.0,7.0,7.0,40.0,9.0,6.0,7.0,2900.0,241.2,9.0,51.1,6.0,7.0,3079.0
HotDQ,89.0,humanoid,unique,N,5.0,3,1800.0,93.5,19.0,113.0,19.0,7.0,7.0,21.333334,6.0,4.0,5.0,1800.0,159.0,5.0,27.2,3.0,4.0,1082.0
MM,37.0,monstrosity,generic,N,2.0,2,450.0,51.0,13.0,51.0,13.0,8.0,8.0,11.0,0.25,3.0,2.0,450.0,53.6,0.25,14.7,1.0,1.0,197.0
VGtM,129.0,monstrosity,generic,N,5.0,3,1800.0,84.0,14.0,104.0,15.0,7.0,7.0,32.0,4.0,5.0,4.0,1100.0,120.4,3.0,40.8,5.0,4.0,1229.0
VGtM,130.0,monstrosity,generic,N,3.0,2,700.0,58.5,16.0,58.0,16.0,5.0,5.0,20.0,1.0,3.0,2.0,450.0,70.5,0.5,23.2,3.0,2.0,408.0
MM,38.0,monstrosity,generic,N,2.0,2,450.0,45.0,12.0,45.0,12.0,6.0,6.0,23.333334,0.25,4.0,2.0,450.0,45.0,0.25,28.4,3.0,1.0,319.0
TftYP,231.0,undead,generic,N,6.0,3,2300.0,85.0,13.0,127.5,13.0,8.0,8.0,35.333332,4.0,6.0,5.0,1800.0,133.9,4.0,47.4,6.0,5.0,1585.0
OotA,,plant,generic,N,2.0,2,450.0,45.0,13.0,45.0,15.0,5.0,5.0,20.0,0.5,3.0,2.0,450.0,52.1,0.25,23.2,3.0,1.0,302.0
VGtM,212.0,humanoid,generic,N,9.0,4,5000.0,143.0,18.0,163.0,20.0,9.0,9.0,50.0,9.0,8.0,8.0,3900.0,240.8,9.0,70.4,8.0,9.0,4236.0
IDRotF,280.0,fiend,generic,N,4.0,2,1100.0,90.0,13.0,90.0,15.0,5.0,5.0,21.0,3.0,3.0,3.0,700.0,104.2,2.0,24.3,3.0,3.0,633.0
IDRotF,281.0,construct,unique,N,11.0,4,7200.0,147.0,17.0,220.5,21.0,11.0,11.0,51.333332,12.0,10.0,11.0,7200.0,342.1,13.0,79.6,9.0,11.0,6810.0
MM,57.0,fiend,generic,N,6.0,3,2300.0,84.5,15.0,126.0,17.0,5.0,5.0,40.0,5.0,6.0,5.0,1800.0,160.8,5.0,46.3,5.0,5.0,1862.0
SKT,140.0,giant,unique,N,5.0,3,1800.0,105.0,9.0,160.0,9.0,8.0,8.0,36.0,3.0,6.0,4.0,1100.0,138.2,4.0,48.2,6.0,5.0,1667.0
SKT,173.0,monstrosity,unique,N,4.0,2,1100.0,60.0,11.0,70.0,11.0,6.0,6.0,50.0,0.5,7.0,4.0,1100.0,66.7,0.5,60.8,7.0,4.0,1013.0
MM,39.0,monstrosity,generic,N,6.0,3,2300.0,114.0,14.0,114.0,14.0,7.0,7.0,53.333332,3.0,8.0,5.0,1800.0,125.7,4.0,68.1,8.0,6.0,2139.0
MOoT,216.0,monstrosity,generic,N,7.0,3,2900.0,95.0,15.0,95.0,15.0,7.0,7.0,52.0,3.0,8.0,5.0,1800.0,110.0,3.0,66.4,8.0,5.0,1825.0
VGtM,132.0,monstrosity,generic,N,3.0,2,700.0,66.0,15.0,66.0,16.0,5.0,5.0,21.0,1.0,3.0,2.0,450.0,80.2,1.0,24.3,3.0,2.0,488.0
MM,40.0,aberration,generic,N,4.0,2,1100.0,93.5,16.0,93.0,16.0,6.0,6.0,22.0,3.0,4.0,3.0,700.0,113.0,3.0,26.7,3.0,3.0,756.0
SKT,96.0,dragon,unique,LL,23.0,7,50000.0,385.0,21.0,490.0,23.0,15.0,15.0,175.0,24.0,24.0,24.0,62000.0,838.1,25.0,330.0,24.0,24.0,69138.0
ERftLW,289.0,beast,generic,N,1.0,2,200.0,19.5,13.0,19.0,13.0,6.0,6.0,16.333334,0.125,3.0,2.0,450.0,20.0,0.125,19.9,2.0,0.5,99.0
MM,168.0,construct,generic,N,9.0,4,5000.0,133.0,14.0,270.0,17.0,8.0,8.0,32.0,14.0,5.0,9.0,5000.0,344.6,13.0,42.9,5.0,8.0,3694.0
MM,41.0,aberration,generic,N,8.0,3,3900.0,78.0,14.0,156.0,14.0,6.0,6.0,43.0,6.0,6.0,6.0,2300.0,172.0,6.0,52.3,6.0,6.0,2247.0
MM,154.0,giant,generic,N,9.0,4,5000.0,200.0,14.0,200.0,16.0,12.0,12.0,42.0,9.0,9.0,9.0,5000.0,243.1,9.0,68.4,8.0,8.0,4158.0
CM,146.0,undead,generic,N,9.0,4,5000.0,104.0,15.0,134.0,17.0,12.0,12.0,45.166668,6.0,10.0,8.0,3900.0,171.0,6.0,73.6,9.0,7.0,3146.0
VGtM,146.0,giant,generic,N,11.0,4,7200.0,262.5,15.0,262.0,17.0,12.0,12.0,51.333332,13.0,10.0,11.0,7200.0,334.4,13.0,83.6,10.0,11.0,6990.0
IDRotF,284.0,undead,generic,N,5.0,3,1800.0,82.5,13.0,82.0,14.0,5.0,6.0,50.0,1.0,7.0,4.0,1100.0,90.4,2.0,60.8,7.0,4.0,1374.0
MOoT,218.0,construct,unique,N,23.0,7,50000.0,350.0,21.0,437.5,21.0,16.0,16.0,131.33333,22.0,23.0,22.0,41000.0,678.7,22.0,260.0,22.0,22.0,44121.0
VGtM,212.0,humanoid,generic,N,6.0,3,2300.0,40.5,12.0,60.0,15.0,6.0,6.0,67.333336,1.0,10.0,5.0,1800.0,69.5,0.5,81.8,10.0,4.0,1421.0
MM,324.0,beast,generic,N,2.0,2,450.0,60.0,12.0,60.0,12.0,6.0,6.0,13.0,0.5,2.0,1.0,200.0,60.0,0.5,15.8,2.0,1.0,237.0
MM,112.0,dragon,generic,N,1.0,2,200.0,22.0,16.0,22.0,18.0,4.0,4.0,16.666666,0.5,2.0,1.0,200.0,29.5,0.125,18.4,2.0,0.5,135.0
MM,111.0,dragon,legendary,L,14.0,5,11500.0,184.0,18.0,274.0,20.0,11.0,11.0,109.666664,15.0,17.0,16.0,15000.0,404.8,16.0,170.1,18.0,17.0,17218.0
MM,110.0,dragon,legendary,LL,21.0,7,33000.0,350.0,21.0,440.0,23.0,15.0,15.0,145.66667,23.0,23.0,23.0,50000.0,752.5,23.0,274.7,23.0,23.0,51677.0
MM,111.0,dragon,generic,N,7.0,3,2900.0,119.0,17.0,119.0,19.0,7.0,7.0,51.333332,6.0,8.0,7.0,2900.0,167.4,5.0,65.5,8.0,7.0,2743.0
GoS,236.0,beast,generic,N,4.0,2,1100.0,90.0,13.0,120.0,13.0,5.0,5.0,8.0,4.0,1.0,2.0,450.0,126.0,4.0,9.3,0.5,1.0,292.0
MToF,127.0,plant,generic,N,8.0,3,3900.0,127.5,12.0,160.0,13.0,5.0,5.0,69.0,5.0,10.0,7.0,2900.0,168.0,5.0,79.9,10.0,8.0,3355.0
CM,123.0,monstrosity,unique,N,8.0,3,3900.0,90.0,14.0,120.0,16.0,7.0,7.0,64.0,5.0,10.0,7.0,2900.0,145.9,4.0,81.7,10.0,7.0,2979.0
GGtR,242.0,humanoid,generic,N,4.0,2,1100.0,37.5,15.0,37.0,20.0,6.0,6.0,49.666668,2.0,7.0,4.0,1100.0,54.7,0.5,60.4,7.0,3.0,825.0
MM,43.0,celestial,generic,N,4.0,2,1100.0,97.5,19.0,242.5,21.0,6.0,6.0,10.0,14.0,2.0,8.0,3900.0,376.2,15.0,12.2,1.0,4.0,1143.0
SKT,198.0,giant,unique,N,10.0,4,5900.0,200.0,14.0,200.0,16.0,12.0,12.0,42.0,9.0,9.0,9.0,5000.0,243.1,9.0,68.4,8.0,8.0,4158.0
GGtR,242.0,humanoid,generic,N,2.0,2,450.0,39.0,13.0,39.0,18.0,6.0,6.0,21.0,1.0,4.0,2.0,450.0,52.3,0.25,25.5,3.0,1.0,334.0
SKT,192.0,giant,unique,N,11.0,4,7200.0,200.0,14.0,200.0,21.0,12.0,12.0,76.0,11.0,14.0,12.0,8400.0,310.3,12.0,123.8,14.0,13.0,9602.0
TftYP,103.0,beast,unique,N,8.0,3,3900.0,161.0,15.0,161.0,15.0,9.0,9.0,27.0,7.0,6.0,6.0,2300.0,186.4,7.0,38.0,4.0,5.0,1770.0
SKT,240.0,beast,generic,N,5.0,3,1800.0,76.0,17.0,76.0,17.0,7.0,7.0,40.0,3.0,6.0,4.0,1100.0,97.0,2.0,51.1,6.0,4.0,1238.0
SKT,240.0,monstrosity,generic,N,1.0,2,200.0,34.0,13.0,34.0,15.0,5.0,5.0,10.333333,0.5,2.0,1.0,200.0,39.4,0.25,12.0,1.0,0.5,118.0
TftYP,235.0,beast,generic,N,2.0,2,450.0,45.5,15.0,45.0,15.0,4.0,4.0,7.0,0.5,0.5,0.5,100.0,52.1,0.25,7.7,0.5,0.5,101.0
MM,132.0,beast,generic,N,5.0,3,1800.0,85.5,14.0,85.0,14.0,8.0,8.0,39.0,1.0,7.0,4.0,1100.0,93.7,2.0,52.3,6.0,4.0,1224.0
BGDiA,230.0,fiend,unique,N,14.0,5,11500.0,297.5,15.0,371.3,17.0,14.0,14.0,44.0,19.0,10.0,14.0,11500.0,473.8,18.0,79.0,9.0,13.0,9360.0
PotA,205.0,humanoid,generic,N,2.0,2,450.0,52.0,13.0,52.0,18.0,5.0,5.0,24.0,2.0,3.0,2.0,450.0,69.7,0.5,27.8,3.0,2.0,484.0
MM,345.0,humanoid,generic,N,2.0,2,450.0,33.0,13.0,33.0,13.0,3.0,3.0,22.333334,0.25,3.0,2.0,450.0,34.7,0.25,23.5,3.0,1.0,203.0
MM,45.0,giant,generic,N,6.0,3,2300.0,138.0,14.0,138.0,14.0,9.0,9.0,38.0,5.0,6.0,5.0,1800.0,152.1,5.0,53.5,6.0,6.0,2034.0
GGtR,216.0,giant,generic,N,8.0,3,3900.0,115.0,14.0,115.0,16.0,10.0,10.0,69.0,4.0,12.0,8.0,3900.0,139.8,4.0,101.9,12.0,8.0,3563.0
PotA,205.0,humanoid,generic,N,3.0,2,700.0,58.5,13.0,69.6,13.0,5.0,5.0,19.0,1.0,3.0,2.0,450.0,73.1,1.0,22.0,2.0,2.0,402.0
VGtM,134.0,fey,generic,N,2.0,2,450.0,27.5,15.0,27.0,15.0,5.0,5.0,21.0,0.25,3.0,2.0,450.0,31.3,0.125,24.3,3.0,1.0,190.0
WDH,199.0,humanoid,unique,N,6.0,3,2300.0,82.5,15.0,82.0,15.0,6.0,6.0,47.666668,2.0,7.0,4.0,1100.0,94.9,2.0,57.9,7.0,4.0,1375.0
MM,321.0,monstrosity,generic,N,1.0,2,200.0,39.0,12.0,39.0,12.0,4.0,4.0,10.0,0.25,1.0,0.5,100.0,39.0,0.25,11.0,1.0,0.5,107.0
MM,47.0,undead,generic,N,17.0,6,18000.0,180.5,20.0,180.0,27.0,11.0,11.0,110.0,13.0,17.0,15.0,13000.0,374.2,14.0,170.6,18.0,16.0,15964.0
MM,29.0,undead,legendary,LL,14.0,5,11500.0,187.5,19.0,187.0,23.0,9.0,9.0,181.0,11.0,22.0,16.0,15000.0,319.8,12.0,254.7,22.0,18.0,20364.0
MM,29.0,undead,legendary,L,14.0,5,11500.0,187.5,19.0,187.0,23.0,9.0,9.0,136.0,11.0,20.0,15.0,13000.0,319.8,12.0,191.4,20.0,16.0,15301.0
BGDiA,233.0,humanoid,generic,N,5.0,3,1800.0,76.0,15.0,106.0,17.0,7.0,9.0,30.0,5.0,6.0,5.0,1800.0,135.3,4.0,42.2,5.0,4.0,1428.0
VGtM,124.0,aberration,generic,N,10.0,4,5900.0,161.5,16.0,249.0,16.0,8.0,8.0,58.0,12.0,9.0,10.0,5900.0,302.7,12.0,77.7,9.0,10.0,5881.0
MToF,128.0,undead,generic,N,4.0,2,1100.0,36.0,12.0,72.0,15.0,5.0,5.0,22.333334,2.0,3.0,2.0,450.0,83.3,1.0,25.9,3.0,2.0,539.0
MToF,129.0,undead,generic,N,8.0,3,3900.0,110.0,13.0,165.0,16.0,6.0,6.0,32.666668,7.0,5.0,6.0,2300.0,200.6,7.0,39.7,5.0,6.0,1991.0
TftYP,233.0,undead,generic,N,3.0,2,700.0,37.5,12.0,74.0,15.0,5.0,5.0,16.333334,2.0,3.0,2.0,450.0,85.7,1.0,18.9,2.0,2.0,405.0
VGtM,135.0,humanoid,generic,N,3.0,2,700.0,67.5,11.0,67.0,11.0,6.0,6.0,20.0,0.25,3.0,2.0,450.0,63.8,0.5,24.3,3.0,2.0,388.0
VGtM,139.0,beast,generic,N,1.0,2,200.0,26.0,13.0,26.0,13.0,4.0,4.0,20.0,0.125,2.0,1.0,200.0,27.3,0.125,22.1,2.0,0.5,150.0
MM,48.0,undead,legendary,LL,18.0,6,20000.0,80.0,20.0,523.8,23.0,11.0,11.0,63.0,25.0,12.0,18.0,20000.0,895.8,26.0,97.7,11.0,19.0,21887.0
MM,48.0,undead,legendary,L,18.0,6,20000.0,80.0,20.0,448.8,23.0,11.0,11.0,63.0,24.0,12.0,18.0,20000.0,767.5,24.0,97.7,11.0,18.0,18753.0
OotA,236.0,fiend,unique,LL,26.0,8,90000.0,493.0,22.0,732.5,28.0,17.0,17.0,172.0,30.0,25.0,27.0,105000.0,1599.0,30.0,357.6,25.0,29.0,142937.0
MToF,144.0,fiend,unique,LL,26.0,8,90000.0,406.0,22.0,620.0,28.0,17.0,17.0,118.0,29.0,22.0,25.0,75000.0,1353.4,30.0,245.3,21.0,26.0,83001.0
OotA,225.0,humanoid,generic,N,3.0,2,700.0,36.0,13.0,49.0,15.0,4.0,4.0,46.666668,0.5,6.0,3.0,700.0,56.7,0.5,51.5,6.0,3.0,730.0
MM,70.0,fiend,generic,N,5.0,3,1800.0,110.5,15.0,165.0,19.0,6.0,6.0,22.0,9.0,4.0,6.0,2300.0,232.2,9.0,26.7,3.0,5.0,1552.0
MM,70.0,fiend,generic,N,3.0,2,700.0,52.0,13.0,104.0,17.0,5.0,5.0,19.0,5.0,3.0,4.0,1100.0,132.7,4.0,22.0,2.0,3.0,730.0
MM,71.0,fiend,generic,N,9.0,4,5000.0,142.5,19.0,177.5,23.0,8.0,8.0,46.0,11.0,8.0,9.0,5000.0,303.6,12.0,61.6,7.0,9.0,4679.0
MM,72.0,fiend,generic,N,8.0,3,3900.0,85.0,16.0,106.3,20.0,8.0,8.0,70.666664,6.0,11.0,8.0,3900.0,157.0,5.0,94.7,11.0,8.0,3716.0
MM,74.0,fiend,generic,N,11.0,4,7200.0,178.5,18.0,222.5,22.0,10.0,10.0,53.333332,13.0,9.0,11.0,7200.0,362.4,14.0,78.8,9.0,11.0,7140.0
MM,75.0,fiend,generic,N,14.0,5,11500.0,180.5,18.0,270.0,22.0,10.0,10.0,77.666664,16.0,13.0,14.0,11500.0,439.8,17.0,114.7,13.0,15.0,12617.0
MM,78.0,fiend,generic,N,2.0,2,450.0,22.5,13.0,22.0,17.0,4.0,4.0,14.0,0.5,1.0,0.5,100.0,28.1,0.125,15.4,2.0,0.5,108.0
VGtM,138.0,fiend,generic,N,13.0,5,10000.0,178.5,16.0,222.5,16.0,10.0,10.0,95.333336,11.0,16.0,13.0,10000.0,270.5,10.0,140.9,16.0,13.0,9523.0
MToF,248.0,fiend,generic,N,7.0,3,2900.0,119.0,15.0,238.0,17.0,6.0,6.0,30.666666,12.0,4.0,8.0,3900.0,303.8,12.0,37.3,4.0,7.0,2831.0
MM,81.0,monstrosity,generic,N,3.0,2,700.0,85.0,13.0,85.0,16.0,6.0,6.0,20.0,2.0,3.0,2.0,450.0,103.3,2.0,24.3,3.0,3.0,628.0
VGtM,213.0,humanoid,generic,N,8.0,3,3900.0,67.5,12.0,100.5,15.0,7.0,7.0,83.333336,3.0,13.0,8.0,3900.0,116.3,3.0,106.4,12.0,7.0,3093.0
ERftLW,290.0,aberration,generic,N,3.0,2,700.0,33.0,16.0,54.0,18.0,6.0,6.0,26.0,2.0,4.0,3.0,700.0,72.4,0.5,31.6,4.0,2.0,572.0
MOoT,224.0,giant,generic,N,11.0,4,7200.0,162.5,15.0,162.0,17.0,11.0,11.0,74.0,8.0,12.0,10.0,5900.0,206.8,7.0,114.8,13.0,10.0,5934.0
MM,82.0,monstrosity,generic,N,3.0,2,700.0,52.0,14.0,52.0,14.0,6.0,8.0,20.666666,0.5,5.0,3.0,700.0,57.3,0.5,27.7,3.0,2.0,397.0
MM,84.0,undead,legendary,L,17.0,6,18000.0,225.0,19.0,315.0,23.0,13.0,13.0,126.0,19.0,21.0,20.0,25000.0,538.8,20.0,215.5,21.0,20.0,29026.0
VGtM,141.0,fiend,generic,N,7.0,3,2900.0,123.5,15.0,184.5,15.0,8.0,8.0,48.0,8.0,8.0,8.0,3900.0,213.6,8.0,64.3,8.0,8.0,3435.0
FToD,188.0,humanoid,generic,N,5.0,3,1800.0,75.0,14.0,75.0,14.0,4.0,4.0,56.0,1.0,7.0,4.0,1100.0,82.7,1.0,61.7,7.0,4.0,1276.0
FToD,189.0,humanoid,generic,N,2.0,2,450.0,36.0,13.0,46.5,13.0,5.0,5.0,27.0,0.25,4.0,2.0,450.0,48.8,0.25,31.3,4.0,2.0,382.0
MM,119.0,dragon,generic,N,17.0,6,18000.0,341.0,20.0,341.0,22.0,13.0,13.0,73.333336,20.0,13.0,16.0,15000.0,555.5,20.0,125.4,15.0,17.0,17417.0
ToA,218.0,humanoid,unique,N,5.0,3,1800.0,120.0,17.0,120.0,19.0,8.0,8.0,18.0,6.0,4.0,5.0,1800.0,168.9,6.0,24.1,3.0,4.0,1018.0
HotDQ,89.0,humanoid,generic,N,1.0,2,200.0,16.5,14.0,16.0,14.0,6.0,6.0,19.0,0.125,3.0,2.0,450.0,17.6,0.125,23.1,3.0,0.5,102.0
RoT,89.0,humanoid,generic,N,5.0,3,1800.0,78.0,15.0,78.0,15.0,6.0,6.0,36.0,2.0,5.0,3.0,700.0,90.3,2.0,43.8,5.0,4.0,988.0
RoT,89.0,humanoid,generic,N,7.0,3,2900.0,110.5,16.0,110.0,16.0,8.0,8.0,42.0,4.0,7.0,5.0,1800.0,133.7,4.0,56.3,7.0,5.0,1881.0
RoT,90.0,humanoid,generic,N,2.0,2,450.0,33.0,14.0,33.0,14.0,6.0,6.0,25.0,0.25,4.0,2.0,450.0,36.4,0.25,30.4,4.0,1.0,276.0
HotDQ,90.0,humanoid,unique,N,3.0,2,700.0,52.5,16.0,52.0,21.0,7.0,7.0,18.0,4.0,4.0,4.0,1100.0,80.7,1.0,23.0,3.0,2.0,463.0
PotA,209.0,humanoid,unique,N,7.0,3,2900.0,93.5,18.0,109.0,18.0,7.0,7.0,68.0,5.0,10.0,7.0,2900.0,146.1,4.0,86.8,10.0,7.0,3169.0
TftYP,233.0,undead,generic,N,1.0,2,200.0,37.5,18.0,44.0,18.0,4.0,4.0,12.0,1.0,1.0,1.0,200.0,59.0,0.5,13.2,1.0,1.0,195.0
MM,120.0,monstrosity,generic,N,6.0,3,2300.0,123.5,19.0,123.0,19.0,6.0,6.0,33.0,6.0,5.0,5.0,1800.0,173.1,6.0,40.1,5.0,5.0,1736.0
OotA,,humanoid,unique,N,2.0,2,450.0,31.5,15.0,31.0,18.0,5.0,5.0,22.333334,0.5,3.0,2.0,450.0,41.5,0.25,25.9,3.0,1.0,269.0
MToF,182.0,humanoid,generic,N,13.0,5,10000.0,162.5,15.0,162.0,15.0,7.0,7.0,102.0,7.0,15.0,11.0,7200.0,187.5,7.0,130.2,15.0,10.0,6103.0
MM,128.0,humanoid,generic,N,5.0,3,1800.0,71.5,18.0,71.0,21.0,7.0,7.0,34.0,5.0,5.0,5.0,1800.0,110.1,3.0,43.4,5.0,4.0,1195.0
MToF,183.0,humanoid,generic,N,18.0,6,20000.0,225.0,15.0,225.0,25.0,11.0,11.0,119.0,15.0,19.0,17.0,18000.0,424.3,16.0,184.6,19.0,18.0,19581.0
WDH,201.0,humanoid,generic,N,4.0,2,1100.0,84.5,18.0,84.0,18.0,6.0,6.0,20.0,3.0,3.0,3.0,700.0,112.6,3.0,24.3,3.0,3.0,684.0
MToF,184.0,humanoid,generic,N,9.0,4,5000.0,162.5,16.0,162.0,19.0,8.0,8.0,58.0,9.0,9.0,9.0,5000.0,228.0,8.0,77.7,9.0,9.0,4429.0
MToF,184.0,humanoid,generic,N,14.0,5,11500.0,143.0,16.0,143.0,20.0,10.0,10.0,96.0,7.0,16.0,11.0,7200.0,211.3,8.0,141.8,16.0,11.0,7492.0
MM,129.0,humanoid,generic,N,7.0,3,2900.0,45.0,12.0,45.0,20.0,6.0,6.0,67.333336,2.0,10.0,6.0,2300.0,66.5,0.5,81.8,10.0,4.0,1360.0
MToF,186.0,humanoid,legendary,L,20.0,6,25000.0,262.5,17.0,262.0,21.0,10.0,10.0,136.0,14.0,20.0,17.0,18000.0,406.4,16.0,200.9,20.0,18.0,20417.0
MM,129.0,humanoid,generic,N,8.0,3,3900.0,71.5,16.0,71.0,18.0,6.0,6.0,80.666664,3.0,12.0,7.0,2900.0,95.1,2.0,98.1,11.0,6.0,2332.0
MToF,187.0,humanoid,generic,N,11.0,4,7200.0,150.0,17.0,150.0,19.0,10.0,10.0,72.0,8.0,12.0,10.0,5900.0,211.1,8.0,106.4,12.0,10.0,5613.0
GoS,233.0,undead,generic,N,3.0,2,700.0,75.0,13.0,82.0,13.0,5.0,5.0,21.0,1.0,3.0,2.0,450.0,86.1,1.0,24.3,3.0,2.0,523.0
GoS,234.0,undead,generic,N,4.0,2,1100.0,67.5,14.0,74.0,18.0,5.0,9.0,28.0,3.0,6.0,4.0,1100.0,99.2,2.0,39.4,5.0,4.0,977.0
GoS,235.0,undead,generic,N,2.0,2,450.0,45.0,10.0,52.0,10.0,5.0,5.0,14.0,0.25,2.0,1.0,200.0,47.2,0.25,16.2,2.0,1.0,191.0
GoS,235.0,undead,generic,N,9.0,4,5000.0,157.5,14.0,171.0,14.0,7.0,7.0,50.666668,7.0,8.0,7.0,2900.0,188.5,7.0,64.7,8.0,7.0,3048.0
MM,346.0,humanoid,generic,N,2.0,2,450.0,27.5,11.0,27.0,16.0,4.0,4.0,23.333334,0.25,3.0,2.0,450.0,32.8,0.125,25.7,3.0,1.0,211.0
MM,121.0,fey,generic,N,1.0,2,200.0,22.5,11.0,22.0,18.0,6.0,6.0,8.0,0.5,1.0,0.5,100.0,29.5,0.125,9.7,1.0,0.25,72.0
MM,122.0,humanoid,generic,N,1.0,2,200.0,26.0,16.0,26.0,16.0,4.0,4.0,11.0,0.25,1.0,0.5,100.0,31.6,0.125,12.1,1.0,0.5,96.0
MToF,188.0,humanoid,generic,N,12.0,4,8400.0,119.0,21.0,119.0,23.0,8.0,8.0,144.0,8.0,20.0,14.0,11500.0,203.5,7.0,193.0,20.0,13.0,9819.0
MToF,188.0,construct,generic,N,2.0,2,450.0,33.0,17.0,33.0,17.0,5.0,5.0,21.333334,1.0,3.0,2.0,450.0,42.1,0.25,24.7,3.0,1.0,260.0
MToF,189.0,humanoid,generic,N,2.0,2,450.0,26.0,16.0,26.0,18.0,4.0,4.0,28.0,0.5,4.0,2.0,450.0,34.8,0.25,30.9,4.0,1.0,269.0
MToF,189.0,humanoid,generic,N,2.0,2,450.0,39.0,14.0,39.0,19.0,5.0,5.0,28.0,2.0,4.0,3.0,700.0,54.9,0.5,32.4,4.0,2.0,445.0
MToF,190.0,construct,generic,N,3.0,2,700.0,38.5,15.0,38.0,15.0,6.0,6.0,22.666666,0.5,4.0,2.0,450.0,44.0,0.25,27.6,3.0,1.0,303.0
TftYP,234.0,humanoid,generic,N,2.0,2,450.0,33.0,15.0,33.0,15.0,5.0,5.0,33.0,0.5,5.0,3.0,700.0,38.2,0.25,38.2,4.0,2.0,365.0
OotA,227.0,humanoid,generic,N,2.0,2,450.0,39.0,18.0,39.0,20.0,5.0,5.0,11.0,2.0,2.0,2.0,450.0,57.6,0.5,12.7,1.0,1.0,183.0
MToF,192.0,humanoid,generic,N,6.0,3,2300.0,75.0,20.0,75.0,22.0,7.0,7.0,74.0,5.0,11.0,8.0,3900.0,122.2,3.0,94.4,11.0,7.0,2885.0
OotA,228.0,humanoid,generic,N,2.0,2,450.0,26.0,18.0,26.0,20.0,5.0,5.0,19.333334,1.0,3.0,2.0,450.0,38.4,0.25,22.4,3.0,1.0,215.0
BGDiA,38.0,humanoid,unique,N,4.0,2,1100.0,78.0,10.0,78.0,10.0,6.0,6.0,23.333334,0.5,4.0,2.0,450.0,70.7,0.5,28.4,3.0,2.0,502.0
WDH,203.0,humanoid,unique,N,9.0,4,5000.0,144.5,16.0,154.0,18.0,8.0,8.0,48.0,7.0,8.0,7.0,2900.0,206.4,7.0,64.3,8.0,8.0,3319.0
ERftLW,292.0,fey,generic,N,6.0,3,2300.0,82.5,17.0,82.0,20.0,7.0,7.0,46.333332,4.0,7.0,5.0,1800.0,121.2,3.0,59.1,7.0,5.0,1791.0
BR,,elemental,generic,N,5.0,3,1800.0,90.0,15.0,135.0,15.0,8.0,8.0,33.333332,5.0,6.0,5.0,1800.0,156.3,5.0,44.7,5.0,5.0,1745.0
MToF,132.0,fiend,generic,N,4.0,2,1100.0,37.5,14.0,74.0,16.0,6.0,6.0,13.0,2.0,2.0,2.0,450.0,89.9,2.0,15.8,2.0,2.0,355.0
ERftLW,288.0,aberration,unique,LL,24.0,7,62000.0,325.5,21.0,475.0,25.0,15.0,15.0,208.33333,25.0,25.0,25.0,75000.0,895.7,26.0,392.8,26.0,26.0,87966.0
IDRotF,270.0,humanoid,unique,N,4.0,2,1100.0,49.5,10.0,49.0,10.0,5.0,5.0,84.333336,0.125,12.0,6.0,2300.0,44.4,0.25,97.6,11.0,4.0,1085.0
IDRotF,270.0,construct,unique,N,1.0,2,200.0,49.5,10.0,24.0,10.0,5.0,5.0,21.0,0.0,3.0,1.0,200.0,21.8,0.125,24.3,3.0,0.5,132.0
MM,324.0,beast,generic,N,1.0,2,200.0,26.0,13.0,26.0,13.0,5.0,5.0,16.0,0.125,3.0,2.0,450.0,27.3,0.125,18.5,2.0,0.5,126.0
MM,124.0,elemental,generic,N,5.0,3,1800.0,126.0,17.0,189.0,17.0,8.0,8.0,28.0,8.0,5.0,6.0,2300.0,241.2,9.0,37.5,4.0,6.0,2263.0
PotA,212.0,elemental,generic,N,7.0,3,2900.0,127.5,18.0,190.5,18.0,7.0,7.0,23.666666,9.0,4.0,6.0,2300.0,255.3,9.0,30.2,4.0,5.0,1928.0
MOoT,220.0,fiend,generic,N,6.0,3,2300.0,90.0,17.0,90.0,19.0,7.0,7.0,37.333332,5.0,5.0,5.0,1800.0,126.6,4.0,47.6,6.0,5.0,1509.0
ToA,219.0,monstrosity,generic,N,1.0,2,200.0,26.0,13.0,26.0,15.0,5.0,5.0,10.0,0.25,2.0,1.0,200.0,30.1,0.125,11.6,1.0,0.5,87.0
MToF,193.0,undead,generic,N,12.0,4,8400.0,324.0,9.0,237.0,19.0,8.0,8.0,86.0,13.0,13.0,13.0,10000.0,333.5,13.0,115.2,13.0,13.0,9608.0
MToF,195.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,213.0,21.0,7.0,7.0,25.0,12.0,4.0,8.0,3900.0,330.4,13.0,31.9,4.0,7.0,2636.0
MToF,196.0,fey,generic,N,10.0,4,5900.0,127.5,19.0,213.0,21.0,7.0,7.0,22.0,12.0,4.0,8.0,3900.0,330.4,13.0,28.1,3.0,6.0,2319.0
